,industry,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06,2020-07,2020-08,2020-09,2020-10,2020-11,2020-12
CDW UW Equity,1,-0.726765789,-0.734363459,-0.73653489,-0.725947535,-0.725668055,-0.712499035,-0.694032423,-0.760316678,-0.785653141,-0.76414568,-0.766474093,-0.75026692,-0.731508223,-0.694548861,-0.709824994,-0.725068252,-0.727272464,-0.72031959,-0.704495415,-0.746351819,-0.762382047,-0.796271484,-0.843082301,-0.887943553,-0.86612357,-0.900957775,-0.895858456,-0.948954953,-0.939817706,-0.948280366,-1.012218338,-0.998823741,-0.969033847,-1.041146763,-1.024823709,-1.031570068,-1.007879535,-1.011852784,-1.00646103,-1.021473461,-1.043941347,-1.038499573,-1.029869457,-1.023659826,-1.009007756,-0.991626826,-1.017650046,-1.002417625,-1.051870254,-1.047971428,-1.03615541,-1.058020582,-1.036065246,-1.025857788,-1.058631446,-1.021462499,-1.030941684,-1.035402218,-1.050943095,-1.048540464,-1.055808579,-1.021865281,-0.888822989,-0.875502888,-0.888694561,-0.917592158,-0.857303573,-0.845769289,-0.824592578,-0.82230089,-0.858762743,-0.867816953
HPQ UN Equity,1,1.605773176,1.813871419,2.226010852,2.271512969,2.276011186,2.418034938,2.558859983,2.68631145,2.694641257,2.553519457,2.465651152,2.797008799,3.04906066,-0.299207673,-0.299207673,-0.299207673,-0.299207673,-0.299207673,-0.299207673,-0.299207673,-0.299207673,-0.299207673,-0.299207673,-0.299207673,-0.299207673,-0.299207673,-0.299207673,-0.299207673,-0.299207673,-0.299207673,-0.299207673,-0.299207673,-0.299207673,-0.299207673,-0.299207673,-0.299207673,-0.299207673,-0.299207673,-0.299207673,-0.299207673,-0.299207673,-0.299207673,-0.299207673,-0.299207673,-0.299207673,-0.299207673,-0.299207673,-0.299207673,-0.299207673,-0.299207673,-0.299207673,-0.299207673,-0.299207673,-0.299207673,-0.299207673,-0.299207673,-0.299207673,-0.299207673,-0.299207673,-0.299207673,-0.299207673,-0.299207673,-0.299207673,-0.299207673,-0.299207673,-0.299207673,-0.299207673,-0.299207673,-0.299207673,-0.299207673,-0.299207673,-0.299207673
TDY UN Equity,1,0.12045111,0.139232336,0.089265146,-0.046873146,0.014726579,-0.00216726,0.027991492,0.055313281,0.079108054,0.257960016,0.216069244,0.192237498,0.167750295,0.141686369,0.158165822,0.224215357,0.160874646,0.110955263,0.109078793,0.093303838,0.092210123,0.127638431,0.037159559,0.010668137,0.068870711,0.014349297,0.040873061,0.07379951,0.043006495,0.089246857,0.108267087,-0.017221292,-0.090799414,-0.068812849,-0.177557382,-0.141444838,-0.132982292,-0.156841427,-0.173390389,-0.172542828,-0.187769841,-0.220114647,-0.223827073,-0.323428347,-0.36059549,-0.314351183,-0.307548447,-0.287674063,-0.342951842,-0.346231188,-0.338457958,-0.348807112,-0.349378968,-0.388698039,-0.42622437,-0.491716145,-0.503680505,-0.508460133,-0.525498361,-0.510862975,-0.536825001,-0.551088465,-0.518955113,-0.534817134,-0.5441599,-0.509559023,-0.434882023,-0.431165034,-0.410531357,-0.399854205,-0.445759744,-0.446703992
IBM UN Equity,1,-0.986156566,-0.984616875,-0.979528927,-0.976973662,-1.00444495,-0.994835575,-0.990376174,-0.944430933,-0.929264824,-0.919985649,-0.898006219,-0.884192319,-0.8686769,-0.841955868,-0.86503918,-0.856055598,-0.85843357,-0.85473122,-0.829451854,-0.848019656,-0.851020754,-0.848523207,-0.877007862,-0.898732125,-0.894721994,-0.901190527,-0.879209944,-0.856814639,-0.7990011,-0.785727962,-0.804754511,-0.772780547,-0.753405233,-0.757480493,-0.74620827,-0.75172226,-0.856105095,-0.846896219,-0.839960129,-0.840764303,-0.797815996,-0.771415625,-0.770609519,-0.760183392,-0.75132313,-0.708853188,-0.633167779,-0.652541646,-0.785846451,-0.788254677,-0.780311599,-0.787724812,-0.757279347,-0.748130906,-0.761103182,-0.722232565,-0.729126486,-0.714463027,-0.689049806,-0.667792926,-0.614015336,-0.653802039,-0.594534794,-0.613588159,-0.607998242,-0.588163182,-0.558606819,-0.547091067,-0.526192261,-0.505855228,-0.474218583,-0.484596104
APH UN Equity,1,-0.652887308,-0.661693574,-0.685902425,-0.667123377,-0.670266049,-0.670001213,-0.665527868,-0.64677877,-0.632362675,-0.609577297,-0.627790377,-0.612289664,-0.583821382,-0.607925162,-0.627468386,-0.604452237,-0.59273788,-0.603337497,-0.560766887,-0.585121219,-0.619769845,-0.639898441,-0.664302381,-0.659134107,-0.664891339,-0.655345406,-0.663508747,-0.658141552,-0.668825799,-0.67163646,-0.675883239,-0.710147541,-0.707857769,-0.726520692,-0.733805811,-0.723373643,-0.762819526,-0.77540915,-0.769054642,-0.776507325,-0.778428238,-0.772568146,-0.798242059,-0.811965552,-0.797961788,-0.761953055,-0.773693593,-0.755921223,-0.766068816,-0.778885077,-0.777676225,-0.795724901,-0.743963364,-0.739284557,-0.760799066,-0.702207481,-0.719216301,-0.749153066,-0.757586286,-0.759461935,-0.736124698,-0.700879424,-0.647613837,-0.641827264,-0.664588119,-0.683360639,-0.646148937,-0.65745283,-0.638516175,-0.641597014,-0.672992187,-0.686684107
WU UN Equity,1,-0.767870576,-0.785683092,-0.804919078,-0.802332776,-0.843286178,-0.833549321,-0.827652547,-0.827218043,-0.806123492,-0.786100265,-0.783981093,-0.759031637,-0.74375876,-0.743791319,-0.74812267,-0.801438861,-0.792745643,-0.779141273,-0.748407623,-0.780370142,-0.78427684,-0.78159411,-0.80296785,-0.839856422,-1.01572181,-0.975929269,-0.966506593,-1.021872372,-1.000047179,-0.984289401,-1.059198535,-1.051885939,-1.014408577,-1.033867905,-1.022264284,-1.018819666,-0.299207673,-0.299207673,-0.299207673,-0.299207673,-0.299207673,-0.299207673,-0.299207673,-0.299207673,-0.299207673,-0.299207673,-0.299207673,-0.299207673,-0.299207673,-0.299207673,-0.299207673,-0.299207673,-0.299207673,-1.212278567,-1.241884025,-1.189236301,-1.200318225,-0.299207673,-0.299207673,-0.299207673,-0.299207673,-0.299207673,-0.299207673,-0.299207673,-0.299207673,-0.299207673,-0.299207673,-0.299207673,-0.956094075,-0.961008477,-1.006368645,-1.035597524
ACN UN Equity,1,-0.934266772,-0.926203647,-0.898592273,-0.907438358,-0.929018958,-0.935922253,-0.983747875,-0.962094283,-0.938956053,-0.944826114,-0.950970751,-0.941913359,-0.955637162,-0.920480785,-0.894989539,-0.908454241,-0.917719572,-0.895843551,-0.86621856,-0.879557089,-0.873371294,-0.918568882,-0.9435409,-0.965317141,-0.968401524,-0.963376848,-0.933215531,-0.923215713,-0.921516613,-0.908235947,-0.952741696,-0.953038913,-0.904943037,-0.939362958,-0.948399479,-0.955601215,-0.996620291,-1.00820139,-0.97043416,-0.991232904,-0.985007797,-0.974133069,-0.992403534,-0.975432391,-0.949399217,-0.96139153,-0.960187956,-0.858188873,-0.866916529,-0.853626215,-0.835858377,-0.860015222,-0.844456831,-0.835362765,-0.871379547,-0.851656547,-0.828165032,-0.814666516,-0.822225034,-0.814551799,-0.830240765,-0.815278372,-0.733794889,-0.721710823,-0.744530086,-0.753307472,-0.744778016,-0.745690617,-0.714397584,-0.707750872,-0.734886659,-0.737784422
PTC UW Equity,1,-0.513599715,-0.484027274,-0.493379343,-0.539729695,-0.595613133,-0.628816967,-0.638274691,-0.569960518,-0.539282188,-0.522567071,-0.555239548,-0.531865717,-0.538893644,-0.495973962,-0.503364171,-0.51910638,-0.552319181,-0.571871279,-0.574031819,-0.612468492,-0.650883306,-0.72257982,-0.748442275,-0.741098428,-0.798519227,-0.829541142,-0.815613157,-0.790474744,-0.796215316,-0.808961129,-0.842404707,-0.818510621,-0.804953336,-0.836399732,-0.862358254,-0.824055326,-0.899026719,-0.940107927,-0.96705314,-1.000193528,-1.00526762,-1.012363497,-1.064055903,-1.046318588,-1.047339028,-1.039392266,-1.016369522,-0.993086132,-0.875680205,-0.861626257,-0.851928594,-0.882408619,-0.829931153,-0.822603611,-0.832042458,-0.699988733,-0.693339568,-0.694682685,-0.738634815,-0.732437304,-0.761202606,-0.776529234,-0.661341757,-0.660129242,-0.684803916,-0.708701013,-0.685601594,-0.694005836,-0.673228023,-0.648147181,-0.697039697,-0.747217517
VRSN UW Equity,1,-0.299207673,-0.299207673,-0.299207673,-0.299207673,-0.299207673,-0.299207673,-0.299207673,-0.299207673,-0.299207673,-0.299207673,-0.299207673,-0.299207673,-0.299207673,-0.299207673,-0.299207673,-0.299207673,-0.299207673,-0.299207673,-0.299207673,-0.299207673,-0.299207673,-0.299207673,-0.299207673,-0.299207673,-0.299207673,-0.299207673,-0.299207673,-0.299207673,-0.299207673,-0.299207673,-0.299207673,-0.299207673,-0.299207673,-0.299207673,-0.299207673,-0.299207673,-0.299207673,-0.299207673,-0.299207673,-0.299207673,-0.299207673,-0.299207673,-0.299207673,-0.299207673,-0.299207673,-0.299207673,-0.299207673,-0.299207673,-0.299207673,-0.299207673,-0.299207673,-0.299207673,-0.299207673,-0.299207673,-0.299207673,-0.299207673,-0.299207673,-0.299207673,-0.299207673,-0.299207673,-0.299207673,-0.299207673,-0.299207673,-0.299207673,-0.299207673,-0.299207673,-0.299207673,-0.299207673,-0.299207673,-0.299207673,-0.299207673,-0.299207673
CSCO UW Equity,1,0.149948482,0.162436138,0.164159911,0.187077455,0.160374424,0.191974312,0.198784073,0.190718235,0.200109273,0.114672038,0.163583666,0.152059386,0.182501311,0.150927147,0.124004615,0.136016441,0.206180288,0.147368485,0.10707314,0.118438545,0.106240696,0.103391397,0.154631318,0.25228276,0.293753647,0.225577617,0.161271463,0.190096025,0.242651029,0.324580587,0.317971454,0.316032944,0.26301927,0.23128715,0.168237005,0.104649952,-0.033723539,-0.328251247,-0.372597167,-0.393909278,-0.48147643,-0.442603767,-0.431447166,-0.504367553,-0.537293348,-0.564789454,-0.55291212,-0.574527201,-0.584243816,-0.626843174,-0.66197417,-0.696852861,-0.71307399,-0.717156031,-0.74590419,-0.704855103,-0.683151329,-0.665066502,-0.629380135,-0.609745635,-0.639520505,-0.601754585,-0.589497563,-0.605477171,-0.61034235,-0.605215819,-0.586244378,-0.526256765,-0.467748712,-0.450700937,-0.437699263,-0.473975681
