,industry,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06,2020-07,2020-08,2020-09,2020-10,2020-11,2020-12
CDW UW Equity,1,-0.274058979,-0.296677408,-0.310263123,-0.523600605,-0.507188804,-0.489219989,-0.464170454,-0.590819563,-0.649014272,-0.660754442,-0.641419482,-0.626673512,-0.824352285,-0.794909631,-0.818530292,-0.263711398,-0.266559649,-0.264654049,-0.32506355,-0.387577564,-0.403910214,-0.427428922,-0.494711886,-0.539923277,-0.252818771,-0.3469173,-0.355150411,-0.446032497,-0.437518409,-0.465108952,-0.273748361,-0.258813708,-0.258164232,-0.581635452,-0.53831089,-0.520609632,-0.142766912,-0.156270976,-0.192209288,-0.399285681,-0.499651914,-0.52861,-0.447660973,-0.452012922,-0.456933559,-0.210994883,-0.300096769,-0.335389279,-0.328323826,-0.399231895,-0.42497849,-0.440552967,-0.472901027,-0.458780715,-0.453258102,-0.476451705,-0.483905059,-0.526922595,-0.576350916,-0.575568225,-0.541203368,-0.503413154,-0.441433276,-0.464219191,-0.462234598,-0.478134879,-0.401046443,-0.366744662,-0.365826209,-0.440651861,-0.460353886,-0.411314989
HPQ UN Equity,1,4.925151143,4.245094945,4.881332148,5.046684952,4.086731214,4.136066633,4.00942037,2.952526081,2.994197859,2.867574776,2.549585868,2.905883965,3.373031219,2.841658698,2.664395804,2.541769737,2.798417512,2.470310625,2.207562508,1.764956318,1.703869013,1.776465282,0.628835734,0.750393022,0.806938122,1.227037017,1.035892449,0.882028769,0.185894031,0.325299768,0.312079442,0.653558592,0.619966669,0.469628123,0.450603302,0.563071178,0.428821478,0.582375976,0.44393663,0.567515559,0.829566791,0.721588588,0.650839691,0.511990787,0.423513264,0.343765178,0.487530388,0.519831255,0.540704883,0.466834955,0.818920267,0.816585024,0.761990536,0.673257599,0.611345961,1.149393772,1.307265784,1.393915225,1.042260728,0.974415541,0.869187143,0.920980578,0.571132742,0.645463098,0.304254028,0.379846691,0.349319622,0.112338984,0.050183653,0.105275315,0.711686041,0.593189595
TDY UN Equity,1,-0.140905119,-0.126162894,-0.161318325,-0.260430823,-0.195208198,-0.264051921,-0.42680629,-0.386692222,-0.366671602,-0.265158631,-0.294569007,-0.2897826,-0.38205917,-0.387880704,-0.392123852,-0.14584803,-0.214553912,-0.254373823,-0.166860993,-0.194703625,-0.198968843,-0.078396499,-0.187536743,-0.218129726,-0.179150692,-0.225318428,-0.194644885,-0.280580795,-0.29759203,-0.248383704,-0.292043514,-0.394237646,-0.451102201,-0.486857636,-0.562292372,-0.528737661,-0.40099357,-0.412254235,-0.414718094,-0.425614526,-0.436561271,-0.452288436,-0.475802371,-0.567904747,-0.594358526,-0.54025002,-0.523437666,-0.49678644,-0.596032469,-0.593857277,-0.577427672,-0.596071758,-0.599160611,-0.624412017,-0.71033641,-0.750004767,-0.768414694,-0.76581421,-0.79479494,-0.773258386,-0.773471746,-0.770878629,-0.664527958,-0.659542714,-0.676537956,-0.680697322,-0.599806711,-0.606791908,-0.592152595,-0.585998017,-0.650831346,-0.682680692
IBM UN Equity,1,0.452200645,0.453471895,0.441860817,0.454034544,0.385731132,0.407300072,0.395941196,0.478199553,0.473375027,0.543700173,0.674555963,0.600883121,0.555793582,0.546976139,0.514888945,0.707751861,0.696998487,0.672841971,0.538279797,0.534762222,0.592740995,0.684452248,0.681480106,0.702443788,0.458685467,0.406768035,0.439736556,0.360468118,0.530870648,0.569235262,0.664497408,0.766450036,0.748177234,0.605255235,0.623154062,0.680583405,0.8084906,0.844144676,0.823096535,0.96106511,1.087812774,1.111030603,0.842962293,0.858699392,0.801691021,0.892966577,1.164909468,1.009103489,0.67785459,0.597741673,0.567653006,0.623244802,0.666070233,0.659826146,0.635484837,0.636090507,0.640108087,0.548876358,0.689268778,0.730369469,0.596637113,0.397832601,0.236884441,0.089685444,0.154273412,0.277679331,0.37863303,0.418271689,0.41487852,0.553939628,0.76304683,0.86327009
APH UN Equity,1,-0.629070662,-0.644977558,-0.662497849,-0.667904688,-0.666494097,-0.663416903,-0.589378014,-0.570054226,-0.557322454,-0.517425002,-0.527060052,-0.497888853,-0.440122701,-0.497829504,-0.536111902,-0.546229473,-0.525161789,-0.547997694,-0.50866931,-0.529488796,-0.576710707,-0.636476003,-0.662171823,-0.634389084,-0.596696488,-0.577537567,-0.589133135,-0.585212594,-0.59136003,-0.595364723,-0.571756742,-0.626948043,-0.648338322,-0.763013877,-0.759932184,-0.740735417,-0.681132463,-0.688644076,-0.682030781,-0.753244216,-0.759076841,-0.750968323,-0.802804357,-0.827271259,-0.810256466,-0.716866966,-0.720469986,-0.707104284,-0.778365711,-0.801317953,-0.796619488,-0.712901701,-0.662816147,-0.647053603,-0.620852999,-0.55863456,-0.581227776,-0.589974405,-0.607979723,-0.610113713,-0.595326946,-0.554466999,-0.512466284,-0.490879208,-0.515866378,-0.545737495,-0.54866658,-0.577910833,-0.564986337,-0.580912263,-0.623399155,-0.655212682
WU UN Equity,1,0.442995388,0.362989597,0.261629416,0.238927859,0.138884371,0.150899232,0.29948896,0.203102845,0.227610349,0.231754704,0.236912033,0.256733413,0.292344262,0.205754733,0.251184812,0.220521444,0.259475955,0.291264993,0.273008347,0.207696429,0.239012565,0.331293119,0.343176546,0.344268514,0.280980152,0.455512599,0.438024986,0.233858871,0.277469971,0.278320052,-0.441729657,-0.451649973,-0.407555249,-0.200261792,-0.172890536,-0.093217763,0.068361786,0.0531207,0.08012231,0.192488608,0.13169243,0.109596181,0.603688571,0.766143018,0.743128948,0.239615981,0.177668792,0.129358678,0.107809246,0.176460567,0.168967871,0.336916505,0.280417274,0.240334345,0.222274208,0.072198054,0.054675448,0.012921035,-0.083350595,-0.061963899,-0.109246645,-0.099992254,-0.195415206,-0.249918968,-0.204787094,-0.246560568,-0.150743607,-0.172948342,-0.138764109,-0.091134452,-0.003643774,0.052812804
ACN UN Equity,1,-0.227004724,-0.205977219,-0.218384227,-0.256459887,-0.28106716,-0.288727143,-0.356991779,-0.375077091,-0.395994306,-0.463576484,-0.460382027,-0.498816521,-0.541812607,-0.523139773,-0.527295421,-0.579851404,-0.594478377,-0.552746196,-0.501251746,-0.480251682,-0.383108621,-0.443788939,-0.439585958,-0.295471173,-0.247097828,-0.24915948,-0.322846064,-0.303139601,-0.31991112,-0.279469783,-0.292749121,-0.326143351,-0.385985341,-0.416533843,-0.448344812,-0.473790462,-0.506513736,-0.527026819,-0.364350938,-0.35982644,-0.374115446,-0.368929213,-0.447856745,-0.423332201,-0.443186248,-0.467585038,-0.467111556,-0.466714798,-0.481111394,-0.482966616,-0.455188004,-0.49721115,-0.511709575,-0.502928187,-0.530921881,-0.551766609,-0.528310488,-0.503987402,-0.521710032,-0.571287555,-0.582621904,-0.578709089,-0.52213709,-0.522272803,-0.548517732,-0.528626831,-0.570440324,-0.584922837,-0.509434107,-0.467929078,-0.486580015,-0.440225561
PTC UW Equity,1,-0.334941993,-0.290478204,-0.296378143,-0.430974995,-0.511839414,-0.565391985,-0.574628393,-0.48942806,-0.472185397,-0.742869425,-0.750954781,-0.698930105,-0.519296625,-0.47445872,-0.493346498,-0.722145241,-0.753981086,-0.778954567,-0.86179832,-0.885228058,-0.921192343,-0.936631088,-0.964926459,-0.986528214,-1.298462325,-1.290870084,-1.272804436,-1.239217506,-1.205883133,-1.210458893,-1.200288808,-1.187256246,-1.178718135,-1.170413161,-1.168536929,-1.143259469,-0.977322243,-1.011234856,-1.033887928,-1.023009488,-1.032796314,-1.043218234,-1.133093942,-1.121226731,-1.12033371,-1.07040473,-1.027952893,-1.022314583,-1.087164018,-1.075109385,-1.056876616,-1.021334332,-0.98751938,-0.961453138,-0.914363458,-0.777562547,-0.775585172,-0.767632102,-0.827277685,-0.819296267,-0.87155867,-0.877606365,-0.721629448,-0.744095673,-0.77384701,-0.820923417,-0.811765131,-0.833974115,-0.812525941,-0.820096692,-0.887707705,-0.969100314
VRSN UW Equity,1,-0.047792983,-0.143929012,-0.209008911,-0.215991571,-0.16181179,-0.152241062,-0.099399408,-0.209142918,-0.255358346,-0.354969583,-0.440237642,-0.482220424,-0.348188992,-0.374528151,-0.419102149,-0.377061002,-0.328426952,-0.317683674,-0.293189168,-0.207767055,-0.175771336,-0.160391748,-0.171151984,-0.062359529,-0.065776039,-0.065416691,-0.108696657,-0.156315187,-0.164330397,-0.17448843,-0.188665396,-0.222997312,-0.258565753,-0.278064994,-0.30296741,-0.283806693,-0.260516546,-0.305436586,-0.368024732,-0.490390255,-0.519767002,-0.582889246,-0.678037116,-0.707865487,-0.721135649,-0.7306048,-0.770942088,-0.784958231,-0.886888135,-0.892981559,-0.887465981,-0.843897178,-0.870928952,-0.874554316,-0.928731848,-0.895385796,-0.863137387,-0.816322186,-0.823581544,-0.809721881,-0.849953249,-0.825533158,-0.738824316,-0.73184013,-0.749906279,-0.761373156,-0.739132063,-0.73847758,-0.719555943,-0.731198838,-0.738563787,-0.785828039
CSCO UW Equity,1,-0.036848111,-0.038556804,-0.031265667,-0.009778396,-0.074667952,-0.062410626,-0.049983459,-0.014881878,0.000239148,-0.091059366,-0.030165961,-0.022574962,0.058678734,0.09835864,0.069866286,0.078108193,0.108719599,0.051138023,0.002480627,-0.053573374,-0.070491058,-0.0431752,0.000455336,0.099153205,0.072436209,-0.013556444,-0.062701213,-0.043719364,0.007398435,0.103019527,0.133480551,0.142683046,0.105619806,0.056773973,0.040763815,-0.017204198,-0.094767157,-0.162664788,-0.212862672,-0.230801517,-0.325738559,-0.274748543,-0.297718389,-0.320780471,-0.375186521,-0.415183523,-0.361055393,-0.399511979,-0.420905476,-0.44599787,-0.502617986,-0.513480514,-0.38463764,-0.393761395,-0.393584358,-0.289611649,-0.23534976,-0.217499173,-0.156209723,-0.1220154,-0.169418369,-0.141002761,-0.243927531,-0.316998398,-0.311716507,-0.289723692,-0.292878822,-0.224872733,-0.145374563,-0.074142885,-0.005165829,-0.042605993
