,industry,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06,2020-07,2020-08,2020-09,2020-10,2020-11,2020-12
CDW UW Equity,1,-0.603281572,-0.603281572,-0.603281572,-0.579026943,-0.579026943,-0.579026943,-0.587666508,-0.587666508,-0.587666508,-0.630368708,-0.630368708,-0.630368708,-0.505476041,-0.505476041,-0.505476041,-0.534046757,-0.534046757,-0.534046757,-0.535268135,-0.535268135,-0.535268135,-0.436642828,-0.436642828,-0.436642828,-0.464515513,-0.464515513,-0.464515513,-0.380374483,-0.380374483,-0.380374483,-0.47133381,-0.47133381,-0.47133381,-0.300769581,-0.300769581,-0.300769581,-0.418574719,-0.418574719,-0.418574719,-0.394858858,-0.394858858,-0.394858858,-0.267370737,-0.267370737,-0.267370737,-0.300706109,-0.300706109,-0.300706109,-0.30043918,-0.30043918,-0.30043918,-0.273419954,-0.273419954,-0.273419954,-0.259996334,-0.259996334,-0.259996334,-0.247808968,-0.247808968,-0.247808968,-0.26533841,-0.26533841,-0.26533841,-0.211410069,-0.211410069,-0.211410069,-0.270130518,-0.270130518,-0.270130518,-0.114452572,-0.114452572,-0.114452572
HPQ UN Equity,1,-0.357101355,-0.357101355,-0.357101355,-0.404388474,-0.404388474,-0.404388474,-0.527385094,-0.527385094,-0.527385094,-0.505912796,-0.505912796,-0.505912796,-0.125044398,-0.125044398,-0.125044398,-0.091930754,-0.091930754,-0.091930754,-0.184788181,-0.184788181,-0.184788181,-0.451991561,-0.451991561,-0.451991561,-0.328316318,-0.328316318,-0.328316318,-0.44395158,-0.44395158,-0.44395158,-0.409368155,-0.409368155,-0.409368155,-0.42406425,-0.42406425,-0.42406425,-0.425223638,-0.425223638,-0.425223638,-0.333785509,-0.333785509,-0.333785509,-0.395960085,-0.395960085,-0.395960085,-0.368369775,-0.368369775,-0.368369775,-0.344654223,-0.344654223,-0.344654223,-0.341642107,-0.341642107,-0.341642107,-0.24013822,-0.24013822,-0.24013822,-0.301336022,-0.301336022,-0.301336022,-0.188811403,-0.188811403,-0.188811403,-0.404036186,-0.404036186,-0.404036186,-0.545717256,-0.545717256,-0.545717256,-0.346618829,-0.346618829,-0.346618829
TDY UN Equity,1,-0.145833222,-0.145833222,-0.145833222,-0.189891953,-0.189891953,-0.189891953,-0.170351025,-0.170351025,-0.170351025,-0.242610291,-0.242610291,-0.242610291,-0.063235317,-0.063235317,-0.063235317,0.035962726,0.035962726,0.035962726,0.176455426,0.176455426,0.176455426,0.21500811,0.21500811,0.21500811,-0.250935495,-0.250935495,-0.250935495,-0.216500618,-0.216500618,-0.216500618,-0.18869519,-0.18869519,-0.18869519,-0.012648056,-0.012648056,-0.012648056,0.013710722,0.013710722,0.013710722,0.062815974,0.062815974,0.062815974,0.162298605,0.162298605,0.162298605,0.216461416,0.216461416,0.216461416,0.168081416,0.168081416,0.168081416,0.196424754,0.196424754,0.196424754,0.119201424,0.119201424,0.119201424,0.269256313,0.269256313,0.269256313,0.317054797,0.317054797,0.317054797,0.522892154,0.522892154,0.522892154,0.621057388,0.621057388,0.621057388,0,0,0
IBM UN Equity,1,-0.221763295,-0.221763295,-0.221763295,-0.177376999,-0.177376999,-0.177376999,-0.128392311,-0.128392311,-0.128392311,-0.15340074,-0.15340074,-0.15340074,-0.137074491,-0.137074491,-0.137074491,-0.127691884,-0.127691884,-0.127691884,-0.092742898,-0.092742898,-0.092742898,-0.14660142,-0.14660142,-0.14660142,-0.206414075,-0.206414075,-0.206414075,-0.202654317,-0.202654317,-0.202654317,-0.231520784,-0.231520784,-0.231520784,-0.19213837,-0.19213837,-0.19213837,-0.183105402,-0.183105402,-0.183105402,-0.235521713,-0.235521713,-0.235521713,-0.21473651,-0.21473651,-0.21473651,-0.312292509,-0.312292509,-0.312292509,-0.316620588,-0.316620588,-0.316620588,-0.378678857,-0.378678857,-0.378678857,-0.386652244,-0.386652244,-0.386652244,-0.401026256,-0.401026256,-0.401026256,-0.392821331,-0.392821331,-0.392821331,-0.375155745,-0.375155745,-0.375155745,-0.358964881,-0.358964881,-0.358964881,-0.258452717,-0.258452717,-0.258452717
APH UN Equity,1,-0.061313035,-0.061313035,-0.061313035,-0.004729208,-0.004729208,-0.004729208,0.029539939,0.029539939,0.029539939,0.105553261,0.105553261,0.105553261,0.067457676,0.067457676,0.067457676,0.096154026,0.096154026,0.096154026,0.08268967,0.08268967,0.08268967,0.07356395,0.07356395,0.07356395,0.076739557,0.076739557,0.076739557,0.069384531,0.069384531,0.069384531,-0.046376115,-0.046376115,-0.046376115,-0.035516883,-0.035516883,-0.035516883,-0.067873746,-0.067873746,-0.067873746,-0.148444835,-0.148444835,-0.148444835,-0.065471338,-0.065471338,-0.065471338,-0.150215393,-0.150215393,-0.150215393,0.036417734,0.036417734,0.036417734,0.04734607,0.04734607,0.04734607,0.095189043,0.095189043,0.095189043,0.191483138,0.191483138,0.191483138,0.042483363,0.042483363,0.042483363,0.285629512,0.285629512,0.285629512,0.26609599,0.26609599,0.26609599,0.227109143,0.227109143,0.227109143
WU UN Equity,1,-0.427682579,-0.427682579,-0.427682579,-0.382301953,-0.382301953,-0.382301953,-0.358006425,-0.358006425,-0.358006425,-0.316929847,-0.316929847,-0.316929847,-0.348274039,-0.348274039,-0.348274039,-0.319901184,-0.319901184,-0.319901184,-0.31886093,-0.31886093,-0.31886093,-0.353887921,-0.353887921,-0.353887921,-0.416972865,-0.416972865,-0.416972865,-0.567677167,-0.567677167,-0.567677167,-0.535504889,-0.535504889,-0.535504889,-0.530789725,-0.530789725,-0.530789725,-0.50813789,-0.50813789,-0.50813789,-0.418320809,-0.418320809,-0.418320809,-0.505388895,-0.505388895,-0.505388895,-0.520401053,-0.520401053,-0.520401053,-0.483346068,-0.483346068,-0.483346068,-0.442312232,-0.442312232,-0.442312232,-0.420933902,-0.420933902,-0.420933902,-0.440624883,-0.440624883,-0.440624883,-0.468398329,-0.468398329,-0.468398329,-0.450334085,-0.450334085,-0.450334085,-0.483879599,-0.483879599,-0.483879599,-0.460144023,-0.460144023,-0.460144023
ACN UN Equity,1,0.649353492,0.649353492,0.649353492,0.616851772,0.616851772,0.616851772,0.540315365,0.540315365,0.540315365,0.455911559,0.455911559,0.455911559,0.643877364,0.643877364,0.643877364,0.63749622,0.63749622,0.63749622,0.715408444,0.715408444,0.715408444,0.84196455,0.84196455,0.84196455,0.893385778,0.893385778,0.893385778,0.850651554,0.850651554,0.850651554,0.703669644,0.703669644,0.703669644,0.744982478,0.744982478,0.744982478,0.971163133,0.971163133,0.971163133,0.916214651,0.916214651,0.916214651,0.830810542,0.830810542,0.830810542,0.822678806,0.822678806,0.822678806,1.09676367,1.09676367,1.09676367,1.167465013,1.167465013,1.167465013,1.070631595,1.070631595,1.070631595,0.751633747,0.751633747,0.751633747,0.837743942,0.837743942,0.837743942,0.963013793,0.963013793,0.963013793,1.233665983,1.233665983,1.233665983,1.346382765,1.346382765,1.346382765
PTC UW Equity,1,-0.039164386,-0.039164386,-0.039164386,-0.053847436,-0.053847436,-0.053847436,-0.135149836,-0.135149836,-0.135149836,-0.316419354,-0.316419354,-0.316419354,-0.209102773,-0.209102773,-0.209102773,-0.389138069,-0.389138069,-0.389138069,-0.43676038,-0.43676038,-0.43676038,-0.35580341,-0.35580341,-0.35580341,-0.624636482,-0.624636482,-0.624636482,-0.538146385,-0.538146385,-0.538146385,-0.498175036,-0.498175036,-0.498175036,-0.464958337,-0.464958337,-0.464958337,-0.24458045,-0.24458045,-0.24458045,-0.170330212,-0.170330212,-0.170330212,-0.258000394,-0.258000394,-0.258000394,-0.209661459,-0.209661459,-0.209661459,-0.169877547,-0.169877547,-0.169877547,-0.078166148,-0.078166148,-0.078166148,-0.000269573,-0.000269573,-0.000269573,-0.022569953,-0.022569953,-0.022569953,-0.276943431,-0.276943431,-0.276943431,-0.51787207,-0.51787207,-0.51787207,-0.329256323,-0.329256323,-0.329256323,-0.330074856,-0.330074856,-0.330074856
VRSN UW Equity,1,-0.24257283,-0.24257283,-0.24257283,-0.160120746,-0.160120746,-0.160120746,-0.175982296,-0.175982296,-0.175982296,-0.084886642,-0.084886642,-0.084886642,-0.063852667,-0.063852667,-0.063852667,-0.06788009,-0.06788009,-0.06788009,-0.045806522,-0.045806522,-0.045806522,-0.048957001,-0.048957001,-0.048957001,-0.040433633,-0.040433633,-0.040433633,-0.009265654,-0.009265654,-0.009265654,-0.126313791,-0.126313791,-0.126313791,-0.14128735,-0.14128735,-0.14128735,-0.210241937,-0.210241937,-0.210241937,-0.057404682,-0.057404682,-0.057404682,-0.057108641,-0.057108641,-0.057108641,-0.054079693,-0.054079693,-0.054079693,0.117241602,0.117241602,0.117241602,0.064029369,0.064029369,0.064029369,0.088832298,0.088832298,0.088832298,0.117449324,0.117449324,0.117449324,0.200240858,0.200240858,0.200240858,0.331898006,0.331898006,0.331898006,0.29043381,0.29043381,0.29043381,0.225767604,0.225767604,0.225767604
CSCO UW Equity,1,0.10628551,0.10628551,0.10628551,0.10925103,0.10925103,0.10925103,0.050000223,0.050000223,0.050000223,0.109845872,0.109845872,0.109845872,0.214777963,0.214777963,0.214777963,0.145998578,0.145998578,0.145998578,0.108218573,0.108218573,0.108218573,0.030575086,0.030575086,0.030575086,0.028623568,0.028623568,0.028623568,0.092553608,0.092553608,0.092553608,0.049403387,0.049403387,0.049403387,0.080077757,0.080077757,0.080077757,-0.100695411,-0.100695411,-0.100695411,-0.060279843,-0.060279843,-0.060279843,-0.049856644,-0.049856644,-0.049856644,0.027543673,0.027543673,0.027543673,0.072178189,0.072178189,0.072178189,0.261695112,0.261695112,0.261695112,0.191390771,0.191390771,0.191390771,0.320284335,0.320284335,0.320284335,0.429337562,0.429337562,0.429337562,0.439696099,0.439696099,0.439696099,0.446428902,0.446428902,0.446428902,0.471234114,0.471234114,0.471234114
