,industry,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06,2020-07,2020-08,2020-09,2020-10,2020-11,2020-12
CDW UW Equity,1,-1.170885664,-1.196140013,-1.19135525,-1.240849793,-1.206824894,-1.152345844,-1.177131378,-1.268451129,-1.287304036,-1.285084,-0.973218403,-0.95971355,-0.961586182,-1.008907759,-1.01113735,-0.9439972,-1.007993914,-0.974147882,-1.044929247,-1.086564282,-1.119980369,-1.117630673,-0.846272155,-0.856320984,-0.823078011,-0.92865982,-0.90885448,-0.923556923,-0.918672801,-0.943697771,-0.960375434,-0.961319539,-0.972651103,-0.990983626,-0.743410402,-0.737995035,-0.768287928,-0.798742897,-0.782589484,-0.811852815,-0.909067297,-0.944445502,-0.946125778,-0.967139569,-0.975999668,-0.792186899,-0.798468409,-0.77078391,-0.732158254,-0.821967324,-0.854698983,-0.88917819,-0.884961686,-0.923213607,-0.955816498,-0.931863756,-0.984601118,-0.823722521,-0.856138273,-0.881297499,-0.832873608,-0.818527431,-0.708694173,-0.780990057,-0.740184898,-0.783667438,-0.730079531,-0.691526706,-0.728612382,-0.75373014,-0.704853456,-0.699680784
HPQ UN Equity,1,1.371161597,1.519512872,2.235563409,2.003341117,1.914015729,2.15783177,2.15816337,2.259379989,2.498978281,2.520666331,1.114795782,1.157497302,1.66593518,1.426364993,1.245562197,1.239261114,1.001099814,1.214380362,1.014591012,0.967814494,0.738157306,0.835358084,0.947473683,1.08927808,1.062122669,0.724500458,0.620298015,0.485961935,0.495599278,0.671510366,0.459918266,0.421733938,0.376219854,0.22826593,0.404303374,0.436686664,0.237314556,0.103580089,0.193720047,0.201736042,0.159359709,0.115005682,0.101499972,-0.007759773,-0.100295399,-0.104454021,0.26612551,0.276467331,0.294325239,0.590136926,0.647577347,0.62511586,0.581482305,0.490175652,0.456110369,0.637064848,0.669564139,0.868134443,0.812331581,0.796455956,0.613213877,0.393552362,0.170736442,0.743706838,0.869080122,0.685893627,0.713395184,0.545618616,0.51688518,0.589187211,0.658190021,0.474308538
TDY UN Equity,1,-0.104950122,-0.104950122,-0.104950122,-0.104950122,-0.104950122,-0.104950122,-0.104950122,-0.104950122,-0.104950122,-0.104950122,-0.104950122,-0.104950122,-0.104950122,-0.104950122,-0.104950122,-0.104950122,-0.104950122,-0.104950122,-0.104950122,-0.104950122,-0.104950122,-0.104950122,-0.104950122,-0.104950122,-0.104950122,-0.104950122,-0.104950122,-0.104950122,-0.104950122,-0.104950122,-0.104950122,-0.104950122,-0.104950122,-0.104950122,-0.104950122,-0.104950122,-0.104950122,-0.104950122,-0.104950122,-0.104950122,-0.104950122,-0.104950122,-0.104950122,-0.104950122,-0.104950122,-0.104950122,-0.104950122,-0.104950122,-0.104950122,-0.104950122,-0.104950122,-0.104950122,-0.104950122,-0.104950122,-0.104950122,-0.104950122,-0.104950122,-0.104950122,-0.104950122,-0.104950122,-0.104950122,-0.104950122,-0.104950122,-0.104950122,-0.104950122,-0.104950122,-0.104950122,-0.104950122,-0.104950122,-0.104950122,-0.104950122,-0.104950122
IBM UN Equity,1,0.638820772,0.539263836,0.537741804,0.766141417,0.771163702,0.782061638,0.833120998,0.916518753,0.884859596,1.141623413,1.079162937,1.001501442,1.174978948,1.093917881,0.919952583,1.220529347,1.080444377,1.146352273,1.103666257,1.164700027,1.147961799,1.145542379,1.084016443,1.052241934,0.923893325,0.896263912,0.947638773,1.377204935,1.52568974,1.511489204,1.714038967,1.677551799,1.709842565,1.499078533,1.621147631,1.610554478,1.387130426,1.31281316,1.318436162,1.593889051,1.6922637,1.798979395,1.672457457,1.635153241,1.471944405,2.231920501,2.028556554,1.933537324,1.658474114,1.662584358,1.634098218,1.799550447,1.837786587,1.776239482,1.512055089,1.586576393,1.539951662,1.804379185,1.887023486,1.953634912,1.568647648,1.466254456,0.91468075,1.172557878,1.265921437,1.550072683,1.537932563,1.598858797,1.486257802,1.684181358,1.833850442,1.849252079
APH UN Equity,1,-1.054298964,-1.058994892,-1.091805818,-1.079881585,-1.088362414,-1.095733833,-0.991306493,-0.984375931,-0.979782663,-0.968196913,-0.958259664,-0.926682279,-0.954078601,-1.030289638,-1.06216009,-1.028999122,-1.05016201,-1.047192568,-1.094172119,-1.139644952,-1.184048395,-1.107175023,-1.100422875,-1.085166253,-1.065866506,-1.064576257,-1.081281902,-1.084199722,-1.083333507,-1.06926534,-0.97409614,-1.01600511,-1.029971732,-1.023023565,-1.03971908,-1.017320719,-1.009622994,-1.033563947,-1.008895033,-0.86867685,-0.902570106,-0.932474302,-0.957228997,-0.957258938,-0.951688535,-0.98743076,-0.958203235,-0.97097441,-0.987248038,-1.01899523,-1.035963227,-1.0289247,-0.977743822,-0.996150988,-0.90546444,-0.855566543,-0.930946626,-0.953344959,-0.970891494,-0.980660561,-0.940894438,-0.959788612,-0.801913384,-0.895760457,-0.904261635,-0.925825833,-0.923497449,-0.924313189,-0.906263482,-0.859682792,-0.905165589,-0.897727889
WU UN Equity,1,0.586977246,0.809801148,0.625764459,0.667889149,0.464723747,0.557427596,0.603844523,0.684411193,0.61924424,0.649509448,0.64352494,0.671121868,0.590638955,0.648530584,0.711031069,0.610590185,0.690799248,0.746620739,0.738522653,0.573548118,0.639375459,0.64977029,0.618155071,0.567126419,0.848960642,1.151306616,1.007663579,1.057379728,1.177067148,1.183328592,1.073899815,1.137717062,1.163779749,1.06398089,1.190354714,1.275152047,1.013652697,1.168635089,1.215609529,1.101246888,1.091851037,1.074646987,1.104934909,1.287414012,1.212505776,1.209148881,1.160922011,1.103034162,1.158341244,1.46179746,1.396179841,1.278085585,1.037047846,1.148012035,0.98301361,0.708494716,0.714367002,0.532036178,0.43882384,0.482692798,0.389065588,0.764127527,0.497944557,0.827958309,0.790838693,0.749934748,0.551875194,0.660238818,0.76615826,0.942012544,0.926512639,1.049432486
ACN UN Equity,1,0.167738658,0.067128907,-0.020621689,-0.026123982,-0.093708065,-0.154417427,-0.231828168,-0.187757165,-0.179497074,-0.214499534,-0.228244972,-0.235900782,-0.325285831,-0.249645431,-0.354257315,-0.323535412,-0.382997167,-0.313629338,-0.27537754,-0.302324212,-0.262029514,-0.226999363,-0.211874739,-0.162411089,-0.094629998,-0.182420651,-0.160846724,-0.183626457,-0.213338739,-0.194945978,-0.262625362,-0.304780645,-0.174632987,-0.239816318,-0.252928816,-0.307693494,-0.345653764,-0.431844173,-0.392587414,-0.395525402,-0.433545088,-0.505775849,-0.449737855,-0.514400199,-0.42151883,-0.41866491,-0.445433331,-0.3865856,-0.398690465,-0.430039243,-0.539913554,-0.541366261,-0.595116078,-0.561186604,-0.598730743,-0.646207497,-0.503821465,-0.460089636,-0.530560994,-0.55817251,-0.566570848,-0.558842293,-0.589130402,-0.609795682,-0.634066591,-0.685886531,-0.668046878,-0.693545243,-0.582611766,-0.562134929,-0.594454491,-0.618826691
PTC UW Equity,1,-0.104950122,-0.104950122,-0.104950122,-0.104950122,-0.104950122,-0.104950122,-0.104950122,-0.104950122,-0.104950122,-0.104950122,-0.104950122,-0.104950122,-0.104950122,-0.104950122,-0.104950122,-0.104950122,-0.104950122,-0.104950122,-0.104950122,-0.104950122,-0.104950122,-0.104950122,-0.104950122,-0.104950122,-0.104950122,-0.104950122,-0.104950122,-0.104950122,-0.104950122,-0.104950122,-0.104950122,-0.104950122,-0.104950122,-0.104950122,-0.104950122,-0.104950122,-0.104950122,-0.104950122,-0.104950122,-0.104950122,-0.104950122,-0.104950122,-0.104950122,-0.104950122,-0.104950122,-0.104950122,-0.104950122,-0.104950122,-0.104950122,-0.104950122,-0.104950122,-0.104950122,-0.104950122,-0.104950122,-0.104950122,-0.104950122,-0.104950122,-0.104950122,-0.104950122,-0.104950122,-0.104950122,-0.104950122,-0.104950122,-0.104950122,-0.104950122,-0.104950122,-0.104950122,-0.104950122,-0.104950122,-0.104950122,-0.104950122,-0.104950122
VRSN UW Equity,1,-0.104950122,-0.104950122,-0.104950122,-0.104950122,-0.104950122,-0.104950122,-0.104950122,-0.104950122,-0.104950122,-0.104950122,-0.104950122,-0.104950122,-0.104950122,-0.104950122,-0.104950122,-0.104950122,-0.104950122,-0.104950122,-0.104950122,-0.104950122,-0.104950122,-0.104950122,-0.104950122,-0.104950122,-0.104950122,-0.104950122,-0.104950122,-0.104950122,-0.104950122,-0.104950122,-0.104950122,-0.104950122,-0.104950122,-0.104950122,-0.104950122,-0.104950122,-0.104950122,-0.104950122,-0.104950122,-0.104950122,-0.104950122,-0.104950122,-0.104950122,-0.104950122,-0.104950122,-0.104950122,-0.104950122,-0.104950122,-0.104950122,-0.104950122,-0.104950122,-0.104950122,-0.104950122,-0.104950122,-0.104950122,-0.104950122,-0.104950122,-0.104950122,-0.104950122,-0.104950122,-0.104950122,-0.104950122,-0.104950122,-0.104950122,-0.104950122,-0.104950122,-0.104950122,-0.104950122,-0.104950122,-0.104950122,-0.104950122,-0.104950122
CSCO UW Equity,1,0.539134245,0.54081396,0.684204409,0.551381918,0.497647707,0.564456858,0.521024559,0.599545274,0.495070465,0.420901219,0.499017876,0.4247915,0.627254872,0.968984654,0.964031399,1.045823905,0.906482354,0.965678788,0.906045769,0.849187865,0.808162138,0.808981329,0.980772814,0.977092528,0.94534982,1.008254355,1.001249969,0.960101588,1.176026005,1.208682811,1.189522843,1.060954434,1.00690644,0.963295186,0.824833451,0.743196141,0.557426979,0.518293717,0.581838049,0.479478736,0.564567871,0.572829254,0.624905729,0.362985105,0.296091149,0.293482071,0.246000329,0.222983227,0.213469966,0.204662963,0.13689323,0.11196494,0.095493159,0.123178827,0.098472812,0.312912314,0.292688997,0.36588132,0.518311437,0.434323341,0.437367585,0.520805143,0.027180304,0.192732018,0.063688224,0.172221513,0.204844979,0.43956356,0.488501844,0.632608789,0.547436835,0.513917959
