,industry,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06,2020-07,2020-08,2020-09,2020-10,2020-11,2020-12
CDW UW Equity,1,0.73848282,0.73848282,0.73848282,0.213728854,0.213728854,0.213728854,0.125196916,0.125196916,0.125196916,1.017980762,1.017980762,1.017980762,0.160782944,0.160782944,0.160782944,0.698278044,0.698278044,0.698278044,-0.05824685,-0.05824685,-0.05824685,0.301787274,0.301787274,0.301787274,0.842507616,0.842507616,0.842507616,-0.05824685,-0.05824685,-0.05824685,-0.004768222,-0.004768222,-0.004768222,-0.05824685,-0.05824685,-0.05824685,0.535410829,0.535410829,0.535410829,0.358538991,0.358538991,0.358538991,0.623804719,0.623804719,0.623804719,0.08275247,0.08275247,0.08275247,0.1890599,0.1890599,0.1890599,0.459584972,0.459584972,0.459584972,0.157431475,0.157431475,0.157431475,0.374664161,0.374664161,0.374664161,0.157362494,0.157362494,0.157362494,0.242188526,0.242188526,0.242188526,0.234178021,0.234178021,0.234178021,0.273874162,0.273874162,0.273874162
HPQ UN Equity,1,-0.02426973,-0.02426973,-0.02426973,0.010588353,0.010588353,0.010588353,0.008533162,0.008533162,0.008533162,0.010980612,0.010980612,0.010980612,0.025728277,0.025728277,0.025728277,0.306253042,0.306253042,0.306253042,-0.05824685,-0.05824685,-0.05824685,0.185561596,0.185561596,0.185561596,0.237274689,0.237274689,0.237274689,-0.05824685,-0.05824685,-0.05824685,-0.02674276,-0.02674276,-0.02674276,-0.05824685,-0.05824685,-0.05824685,-0.063097293,-0.063097293,-0.063097293,0.08964277,0.08964277,0.08964277,0.288549339,0.288549339,0.288549339,-0.050367661,-0.050367661,-0.050367661,0.091910262,0.091910262,0.091910262,0.257869718,0.257869718,0.257869718,-0.000105512,-0.000105512,-0.000105512,0.795915376,0.795915376,0.795915376,0.113472308,0.113472308,0.113472308,0.127599902,0.127599902,0.127599902,0.177714875,0.177714875,0.177714875,0.317166013,0.317166013,0.317166013
TDY UN Equity,1,0.028522703,0.028522703,0.028522703,-0.000372285,-0.000372285,-0.000372285,-0.032285033,-0.032285033,-0.032285033,0.066985123,0.066985123,0.066985123,-0.0236476,-0.0236476,-0.0236476,0.09991693,0.09991693,0.09991693,-0.05824685,-0.05824685,-0.05824685,-0.025251555,-0.025251555,-0.025251555,0.199455547,0.199455547,0.199455547,-0.05824685,-0.05824685,-0.05824685,-0.044027733,-0.044027733,-0.044027733,-0.05824685,-0.05824685,-0.05824685,0.021912464,0.021912464,0.021912464,-0.025846697,-0.025846697,-0.025846697,-0.107517566,-0.107517566,-0.107517566,-0.071458094,-0.071458094,-0.071458094,-0.016226713,-0.016226713,-0.016226713,-0.119289868,-0.119289868,-0.119289868,-0.064298877,-0.064298877,-0.064298877,-0.100942083,-0.100942083,-0.100942083,-0.001643097,-0.001643097,-0.001643097,-0.014456251,-0.014456251,-0.014456251,0.051531437,0.051531437,0.051531437,-0.05824685,-0.05824685,-0.05824685
IBM UN Equity,1,-0.057074299,-0.057074299,-0.057074299,-0.067061562,-0.067061562,-0.067061562,-0.097618776,-0.097618776,-0.097618776,-0.139283538,-0.139283538,-0.139283538,-0.053798443,-0.053798443,-0.053798443,-0.011330033,-0.011330033,-0.011330033,-0.05824685,-0.05824685,-0.05824685,-0.099054642,-0.099054642,-0.099054642,0.058634764,0.058634764,0.058634764,-0.05824685,-0.05824685,-0.05824685,-0.04887546,-0.04887546,-0.04887546,-0.05824685,-0.05824685,-0.05824685,0.047648488,0.047648488,0.047648488,-0.030915032,-0.030915032,-0.030915032,-0.157124946,-0.157124946,-0.157124946,-0.045365214,-0.045365214,-0.045365214,0.003438824,0.003438824,0.003438824,-0.112286737,-0.112286737,-0.112286737,-0.021254141,-0.021254141,-0.021254141,-0.136160646,-0.136160646,-0.136160646,0.050177502,0.050177502,0.050177502,0.076712038,0.076712038,0.076712038,0.077486735,0.077486735,0.077486735,0.151459862,0.151459862,0.151459862
APH UN Equity,1,-0.076680257,-0.076680257,-0.076680257,-0.049755729,-0.049755729,-0.049755729,-0.089572937,-0.089572937,-0.089572937,-0.062695878,-0.062695878,-0.062695878,-0.053869155,-0.053869155,-0.053869155,-0.029294146,-0.029294146,-0.029294146,-0.05824685,-0.05824685,-0.05824685,-0.068964277,-0.068964277,-0.068964277,-0.000494439,-0.000494439,-0.000494439,-0.05824685,-0.05824685,-0.05824685,-0.049615557,-0.049615557,-0.049615557,-0.05824685,-0.05824685,-0.05824685,-0.07631505,-0.07631505,-0.07631505,-0.064363434,-0.064363434,-0.064363434,-0.168138462,-0.168138462,-0.168138462,-0.085980091,-0.085980091,-0.085980091,-0.04928648,-0.04928648,-0.04928648,-0.136871668,-0.136871668,-0.136871668,-0.064653181,-0.064653181,-0.064653181,-0.113656628,-0.113656628,-0.113656628,-0.019404674,-0.019404674,-0.019404674,-0.018187475,-0.018187475,-0.018187475,0.037558614,0.037558614,0.037558614,-0.022812882,-0.022812882,-0.022812882
WU UN Equity,1,-0.093799285,-0.093799285,-0.093799285,-0.052510288,-0.052510288,-0.052510288,-0.104468667,-0.104468667,-0.104468667,-0.085214935,-0.085214935,-0.085214935,-0.069753209,-0.069753209,-0.069753209,-0.054052885,-0.054052885,-0.054052885,-0.05824685,-0.05824685,-0.05824685,-0.219298717,-0.219298717,-0.219298717,0.018729503,0.018729503,0.018729503,-0.05824685,-0.05824685,-0.05824685,-0.050881254,-0.050881254,-0.050881254,-0.05824685,-0.05824685,-0.05824685,-0.091324431,-0.091324431,-0.091324431,-0.075949489,-0.075949489,-0.075949489,-0.171461287,-0.171461287,-0.171461287,-0.085729473,-0.085729473,-0.085729473,-0.044120513,-0.044120513,-0.044120513,-0.310006224,-0.310006224,-0.310006224,-0.035780882,-0.035780882,-0.035780882,-0.033386688,-0.033386688,-0.033386688,-0.028568149,-0.028568149,-0.028568149,-0.032199735,-0.032199735,-0.032199735,0.024409136,0.024409136,0.024409136,-0.014639317,-0.014639317,-0.014639317
ACN UN Equity,1,0.001102651,0.001102651,0.001102651,-0.016924169,-0.016924169,-0.016924169,-0.033388147,-0.033388147,-0.033388147,0.048016365,0.048016365,0.048016365,-0.074339946,-0.074339946,-0.074339946,0.04745104,0.04745104,0.04745104,-0.05824685,-0.05824685,-0.05824685,-0.041994678,-0.041994678,-0.041994678,0.059880092,0.059880092,0.059880092,-0.05824685,-0.05824685,-0.05824685,-0.042628287,-0.042628287,-0.042628287,-0.05824685,-0.05824685,-0.05824685,0.050909308,0.050909308,0.050909308,0.01650599,0.01650599,0.01650599,-0.006883073,-0.006883073,-0.006883073,-0.07052816,-0.07052816,-0.07052816,-0.023920659,-0.023920659,-0.023920659,-0.068614324,-0.068614324,-0.068614324,-0.034471099,-0.034471099,-0.034471099,-0.068907054,-0.068907054,-0.068907054,-0.006640229,-0.006640229,-0.006640229,0.002755918,0.002755918,0.002755918,0.056320767,0.056320767,0.056320767,-0.000682395,-0.000682395,-0.000682395
PTC UW Equity,1,-0.012866699,-0.012866699,-0.012866699,0.529169024,0.529169024,0.529169024,0.047437888,0.047437888,0.047437888,-2.264775,-2.264775,-2.264775,-0.203370452,-0.203370452,-0.203370452,-1.878091224,-1.878091224,-1.878091224,-0.05824685,-0.05824685,-0.05824685,-0.305802373,-0.305802373,-0.305802373,-0.658632926,-0.658632926,-0.658632926,-0.05824685,-0.05824685,-0.05824685,-0.639604187,-0.639604187,-0.639604187,-0.05824685,-0.05824685,-0.05824685,0.355068066,0.355068066,0.355068066,0.718307335,0.718307335,0.718307335,0.378705703,0.378705703,0.378705703,0.065992507,0.065992507,0.065992507,0.061484323,0.061484323,0.061484323,-0.628920573,-0.628920573,-0.628920573,-0.427496943,-0.427496943,-0.427496943,0.640943234,0.640943234,0.640943234,0.003137608,0.003137608,0.003137608,0.702244699,0.702244699,0.702244699,0.075301879,0.075301879,0.075301879,-0.011680753,-0.011680753,-0.011680753
VRSN UW Equity,1,-0.161105012,-0.161105012,-0.161105012,-0.103730615,-0.103730615,-0.103730615,-0.146564859,-0.146564859,-0.146564859,-0.217647764,-0.217647764,-0.217647764,-0.100179741,-0.100179741,-0.100179741,-0.18183736,-0.18183736,-0.18183736,-0.05824685,-0.05824685,-0.05824685,-0.128416633,-0.128416633,-0.128416633,-0.077172874,-0.077172874,-0.077172874,-0.05824685,-0.05824685,-0.05824685,-0.057324164,-0.057324164,-0.057324164,-0.05824685,-0.05824685,-0.05824685,-0.213726335,-0.213726335,-0.213726335,-0.177219447,-0.177219447,-0.177219447,-0.376939698,-0.376939698,-0.376939698,-0.129430118,-0.129430118,-0.129430118,-0.119083993,-0.119083993,-0.119083993,-0.313763317,-0.313763317,-0.313763317,-0.137022342,-0.137022342,-0.137022342,-0.242133793,-0.242133793,-0.242133793,-0.08412773,-0.08412773,-0.08412773,-0.113888558,-0.113888558,-0.113888558,-0.015605588,-0.015605588,-0.015605588,-0.123657396,-0.123657396,-0.123657396
CSCO UW Equity,1,-0.122216462,-0.122216462,-0.122216462,-0.079097128,-0.079097128,-0.079097128,-0.110954178,-0.110954178,-0.110954178,-0.129692481,-0.129692481,-0.129692481,-0.092046587,-0.092046587,-0.092046587,-0.102657382,-0.102657382,-0.102657382,-0.05824685,-0.05824685,-0.05824685,-0.092381841,-0.092381841,-0.092381841,-0.034983915,-0.034983915,-0.034983915,-0.05824685,-0.05824685,-0.05824685,-0.052685383,-0.052685383,-0.052685383,-0.05824685,-0.05824685,-0.05824685,-0.316309447,-0.316309447,-0.316309447,-0.121415285,-0.121415285,-0.121415285,-0.323325862,-0.323325862,-0.323325862,-0.111705451,-0.111705451,-0.111705451,-0.086663867,-0.086663867,-0.086663867,-0.235223798,-0.235223798,-0.235223798,-0.083174256,-0.083174256,-0.083174256,-0.175803412,-0.175803412,-0.175803412,-0.053125806,-0.053125806,-0.053125806,-0.075646405,-0.075646405,-0.075646405,0.014592632,0.014592632,0.014592632,-0.050534806,-0.050534806,-0.050534806
