,industry,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06,2020-07,2020-08,2020-09,2020-10,2020-11,2020-12
CDW UW Equity,1,-0.0282889,-0.112490467,-0.007717356,-0.082269295,0.010136751,0.278083506,0.183553697,-0.166300481,0.065319132,0.009058173,0.088811684,0.158633309,0.1777027,0.133089871,0.254099396,0.425501146,0.230478226,0.383958033,0.338531764,0.273202658,0.107404797,0.100962704,-0.057797019,0.021804642,0.071784137,-0.135187835,-0.029707987,-0.071159843,-0.091272238,-0.032706165,-0.047981279,-0.075143594,-0.0499831,-0.145854576,-0.076038274,-0.048917448,-0.115704687,-0.161102942,-0.063559482,-0.110612881,-0.29233766,-0.261957179,-0.283409681,-0.320227102,-0.282023973,-0.415770234,-0.416001868,-0.316710765,-0.227438798,-0.363273755,-0.345902682,-0.425816365,-0.425129243,-0.432694595,-0.498573334,-0.496564671,-0.476867438,-0.507765251,-0.541538444,-0.521398882,-0.438718522,-0.390913606,-0.314056463,-0.37461161,-0.30760453,-0.243906515,-0.16007349,-0.08449014,-0.162454476,-0.208609463,-0.138552883,-0.021169266
HPQ UN Equity,1,4.905031128,4.962487346,5.019229871,4.949420486,4.961334527,5.022622534,4.343333394,4.44361332,4.809339325,2.757195771,2.648719053,2.609051115,2.848541381,2.416451341,2.270776099,2.411517663,2.0781145,2.196640328,2.310909595,2.276783148,1.888021867,1.764058655,1.801227233,2.110620132,2.166733245,1.716576376,1.556316928,1.37311305,1.37598034,1.634056191,1.226249304,1.133390983,1.12618575,1.484158808,1.599254134,1.420833363,1.393745112,1.207309363,1.217640273,2.118324442,2.005093199,1.769329437,1.953136842,1.675032532,1.322654757,1.425590074,1.660802321,1.775535594,1.949333768,2.472198794,2.395424726,1.793938642,1.603570435,1.507739597,1.561804367,1.749051169,1.876759101,2.35878853,1.999940264,1.822341384,1.748409398,1.400593794,1.117853029,1.848451694,2.104262198,2.162126196,2.2752454,2.013655799,1.96204236,2.205157701,1.981692761,1.807707386
TDY UN Equity,1,0.186621141,0.176932735,0.031840194,0.056346432,0.159912006,-0.000571392,0.053516373,0.040409443,0.158039719,0.332505695,0.253144602,0.229150529,0.242152085,0.158949203,0.276836117,0.127200311,0.048918423,0.00609948,-0.042460129,-0.068629239,-0.095366633,-0.134386238,-0.311621594,-0.340349128,-0.32078881,-0.376073018,-0.321719253,-0.427186627,-0.361301291,-0.178727564,-0.29115049,-0.465153078,-0.426013736,-0.511863192,-0.591975752,-0.466337146,-0.486091448,-0.517200792,-0.466494974,-0.471959319,-0.559482808,-0.475010064,-0.565058729,-0.62503851,-0.662429063,-0.639551765,-0.622311655,-0.636428003,-0.651581908,-0.662901421,-0.627409227,-0.649066448,-0.649875236,-0.687690609,-0.737779623,-0.784245255,-0.777196471,-0.792105403,-0.812615114,-0.734453596,-0.783979509,-0.769099962,-0.701626854,-0.707058383,-0.745453893,-0.59781445,-0.52459388,-0.512052823,-0.51250139,-0.527980053,-0.61163539,-0.649481935
IBM UN Equity,1,2.918640402,2.959800934,2.942810546,2.671107433,2.737237337,2.673325427,2.722293989,2.836652337,2.148930261,2.584789962,2.614091074,2.25812985,2.226179132,2.032716018,1.83857623,2.03091929,1.857339234,1.554682154,1.529158247,1.618844881,1.433843231,1.506378622,1.559612712,1.661182095,1.533515633,1.544388433,1.465189292,1.784643028,1.963430658,1.93351506,2.229473744,2.12652952,2.297639315,2.066250165,2.176630596,1.890967606,1.778522046,1.756423053,1.694624745,1.798130785,1.876991917,1.873719688,1.821998662,1.742416607,1.46141158,2.114334164,1.926574506,2.020673497,1.819006576,1.78824234,1.431206128,1.629032589,1.561289665,1.722579115,1.498763635,1.521942113,1.362649512,1.701784082,1.866555355,1.616446251,1.239387836,1.14822013,0.84922788,0.886100992,1.026344733,1.175313961,1.306396981,1.391272728,1.220107177,1.455408046,1.553682767,1.37324377
APH UN Equity,1,-0.420039299,-0.420124503,-0.455341514,-0.369224473,-0.39910893,-0.443403443,-0.382459753,-0.359130547,-0.292234427,-0.290895374,-0.311922845,-0.251042747,-0.274130216,-0.360962128,-0.360150134,-0.322374774,-0.370467971,-0.295169943,-0.28095897,-0.348053642,-0.392066222,-0.458694617,-0.453562123,-0.35755838,-0.347980798,-0.328515396,-0.345125641,-0.365042014,-0.396914639,-0.294524921,-0.350313244,-0.451694553,-0.418320307,-0.441603281,-0.444646766,-0.349772956,-0.37580864,-0.427750918,-0.352059459,-0.320363088,-0.368694138,-0.447548263,-0.505261346,-0.491318249,-0.505161645,-0.549386949,-0.492961701,-0.513894221,-0.524825621,-0.561431599,-0.555012736,-0.582100435,-0.491766497,-0.45870149,-0.408389495,-0.363827076,-0.463818595,-0.496974184,-0.507675655,-0.540969287,-0.465969867,-0.473526203,-0.426510738,-0.503127856,-0.519726598,-0.465290013,-0.493947487,-0.495530841,-0.458271698,-0.514478707,-0.552031537,-0.509842829
WU UN Equity,1,1.6967798,1.409100389,1.160571576,1.262161933,1.021219356,1.265138196,1.30240887,1.395877049,1.32421666,1.379944817,1.458262366,1.442878656,1.143868428,1.081787428,1.182828877,1.09935302,1.214089111,1.229867307,1.251322816,1.072202049,1.138728152,1.211850244,1.277238179,1.394621941,1.840959583,1.959909199,1.719672191,1.821406887,1.977842264,2.121184507,2.006934602,2.040609311,2.355667808,2.234163282,2.383222431,2.033800442,1.822776792,1.794618591,1.868671136,1.669531555,1.632316227,1.375089337,1.476154476,1.652335167,1.297869592,1.213684945,1.175258422,1.371680104,1.515669728,1.656477035,1.368218451,1.3726845,1.035798566,1.165604885,1.028837814,0.710446954,0.78615031,0.642224151,0.584019689,0.408592995,0.314642137,0.439026122,0.409853351,0.565964593,0.582036688,0.655518237,0.555312419,0.6843756,0.907552831,1.140992635,1.099106048,1.441246035
ACN UN Equity,1,0.140509332,0.132268784,0.009389756,0.02087786,-0.016891557,-0.091337465,-0.202525287,-0.119966672,-0.240417596,-0.284578609,-0.282652063,-0.268477934,-0.383496541,-0.213162559,-0.305868076,-0.286584849,-0.304438927,-0.23566119,-0.151843416,-0.126190216,-0.256957235,-0.218460565,-0.083361129,-0.02399685,0.061493639,-0.014384368,-0.015545354,-0.032368182,-0.031423444,-0.02958224,-0.099429245,-0.096137831,-0.113720732,-0.193939365,-0.132558641,-0.257459897,-0.274627348,-0.297166599,-0.299777404,-0.289683241,-0.264028824,-0.384702057,-0.307954059,-0.347740964,-0.431611654,-0.443572888,-0.429188519,-0.402143022,-0.411930478,-0.399911119,-0.520606719,-0.526774021,-0.547304269,-0.512664084,-0.549033704,-0.573729255,-0.515268534,-0.455732318,-0.514288793,-0.542809476,-0.533455066,-0.472446932,-0.505007989,-0.525661789,-0.540582834,-0.526167753,-0.504486096,-0.535822846,-0.489048169,-0.469135591,-0.477423557,-0.519574408
PTC UW Equity,1,-0.234798474,-0.205302301,-0.310485933,-0.491796116,-0.588315341,-0.616916857,-0.3648705,-0.308171653,-0.304473021,-0.386934759,-0.409214783,-0.490623231,-0.348032127,-0.394184781,-0.382171596,-0.825480537,-0.770987404,-0.806565581,-1.187153792,-1.252461706,-1.701889629,-1.760535013,-1.831755581,-2.103775668,-2.124937538,-2.11382088,-2.155901446,-0.113568504,-0.113568504,-0.113568504,-0.113568504,-0.113568504,-2.080524308,-2.070483517,-2.030553769,-1.837215915,-1.843811639,-1.83429965,-1.779606112,-1.735883181,-1.718881114,-1.63790171,-1.621855918,-1.573621604,-1.592718319,-1.576741316,-1.569527368,-1.602403925,-1.661003039,-1.637619252,-1.652520383,-1.684003115,-1.582933405,-1.704107687,-1.678277465,-1.567989904,-1.598636352,-1.6115267,-1.666272395,-1.535157867,-1.497162544,-1.424065444,-1.093651765,-1.136573519,-1.127986115,-1.022450102,-1.03131274,-1.041578087,-0.89174145,-0.921041376,-1.007251433,-1.059118825
VRSN UW Equity,1,-0.224625719,-0.425332488,-0.472839635,-0.404900192,-0.372188229,-0.36994745,-0.587524981,-0.634615338,-0.689871576,-0.784954484,-0.907375363,-0.739403991,-0.618012305,-0.727560765,-0.653285953,-0.648724052,-0.602739636,-0.540033251,-0.481624671,-0.25576716,-0.27468391,-0.427882131,-0.258744683,-0.153314991,-0.234866597,-0.219851408,-0.302094726,-0.331271538,-0.334434778,-0.342428814,-0.477506906,-0.520860273,-0.530921352,-0.524354402,-0.568336566,-0.558006923,-0.508056201,-0.587512761,-0.623502202,-0.611163614,-0.721980839,-0.784781011,-0.811090202,-0.854446797,-0.862044686,-0.838029529,-0.88650248,-0.950593764,-1.031278231,-1.02552367,-0.970923986,-1.029283075,-1.022388702,-1.01112714,-1.005121241,-0.94876855,-0.935326304,-0.938290896,-0.935973424,-0.879271143,-0.92935111,-0.894353503,-0.703188149,-0.747569978,-0.725778121,-0.634128007,-0.595691692,-0.577309734,-0.466446712,-0.415098088,-0.350962488,-0.407194589
CSCO UW Equity,1,0.659886167,0.508334341,0.647463007,0.547081326,0.524632059,0.620781404,0.519856952,0.597454478,0.487774372,0.515546122,0.674427874,0.568240839,0.778474991,0.549783035,0.578689514,0.717758258,0.604958978,0.580275796,0.627182402,0.582224311,0.514041022,0.576489838,0.815220796,0.859710593,0.855851955,0.645877873,0.628296981,0.685228251,0.913550256,0.932988534,0.90085651,0.75441096,0.741731899,0.706226352,0.547184036,0.347729122,0.322433074,0.052966178,0.03213826,-0.012940519,0.05793307,-0.015756895,0.128127171,-0.077252472,-0.199038668,-0.113646336,-0.141846726,-0.175998487,-0.102300945,-0.20332958,-0.282567809,-0.208924827,-0.221812987,-0.192540788,-0.132855428,0.064605604,0.053213439,0.142588678,0.317833896,0.193097436,0.204794239,0.248795647,-0.063931298,-0.000814162,-0.078892684,0.126299709,0.20038042,0.453401454,0.520843529,0.613507863,0.508612247,0.523147325
