,industry,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06,2020-07,2020-08,2020-09,2020-10,2020-11,2020-12
CDW UW Equity,1,-0.377954539,-0.377954539,-0.377954539,-0.298176308,-0.298176308,-0.298176308,-0.067456341,-0.067456341,-0.067456341,0.03113962,0.03113962,0.03113962,0.089199518,0.089199518,0.089199518,0.092867464,0.092867464,0.092867464,0.014481424,0.014481424,0.014481424,0.003191578,0.003191578,0.003191578,-0.050110452,-0.050110452,-0.050110452,-0.041389967,-0.041389967,-0.041389967,-0.053563454,-0.053563454,-0.053563454,0.160524854,0.160524854,0.160524854,0.282068656,0.282068656,0.282068656,0.251729704,0.251729704,0.251729704,0.302043816,0.302043816,0.302043816,0.196718593,0.196718593,0.196718593,0.211313676,0.211313676,0.211313676,0.205877069,0.205877069,0.205877069,0.307358955,0.307358955,0.307358955,0.344218528,0.344218528,0.344218528,0.335364298,0.335364298,0.335364298,0.383934014,0.383934014,0.383934014,0.355971245,0.355971245,0.355971245,0.424507727,0.424507727,0.424507727
HPQ UN Equity,1,-0.28148695,-0.28148695,-0.28148695,-0.273234057,-0.273234057,-0.273234057,-0.247244355,-0.247244355,-0.247244355,-0.219782108,-0.219782108,-0.219782108,0.002017156,0.002017156,0.002017156,-0.068210311,-0.068210311,-0.068210311,-0.134940054,-0.134940054,-0.134940054,-0.337313897,-0.337313897,-0.337313897,0.427961516,0.427961516,0.427961516,0.374338677,0.374338677,0.374338677,0.201153362,0.201153362,0.201153362,0.256512152,0.256512152,0.256512152,0.810412716,0.810412716,0.810412716,1.063349077,1.063349077,1.063349077,0.903812542,0.903812542,0.903812542,1.071414227,1.071414227,1.071414227,0.666664831,0.666664831,0.666664831,0.651619604,0.651619604,0.651619604,0.76277017,0.76277017,0.76277017,0.280173319,0.280173319,0.280173319,0.333232608,0.333232608,0.333232608,0.410457502,0.410457502,0.410457502,0.244735331,0.244735331,0.244735331,0.341828345,0.341828345,0.341828345
TDY UN Equity,1,0.145004381,0.145004381,0.145004381,0.135415176,0.135415176,0.135415176,0.13431286,0.13431286,0.13431286,0.128003883,0.128003883,0.128003883,0.122072404,0.122072404,0.122072404,0.107780902,0.107780902,0.107780902,0.125706134,0.125706134,0.125706134,0.108662062,0.108662062,0.108662062,-0.091495999,-0.091495999,-0.091495999,-0.060262383,-0.060262383,-0.060262383,-0.019324741,-0.019324741,-0.019324741,0.062293813,0.062293813,0.062293813,0.038501068,0.038501068,0.038501068,0.087246118,0.087246118,0.087246118,0.110847185,0.110847185,0.110847185,0.147187746,0.147187746,0.147187746,0.125585824,0.125585824,0.125585824,0.18589902,0.18589902,0.18589902,0.24752308,0.24752308,0.24752308,0.326740194,0.326740194,0.326740194,0.323465376,0.323465376,0.323465376,0.381957252,0.381957252,0.381957252,0.309436608,0.309436608,0.309436608,0,0,0
IBM UN Equity,1,0.496552038,0.496552038,0.496552038,0.439998992,0.439998992,0.439998992,0.837218529,0.837218529,0.837218529,0.719415028,0.719415028,0.719415028,0.671001738,0.671001738,0.671001738,0.561793998,0.561793998,0.561793998,0.612688197,0.612688197,0.612688197,0.573678111,0.573678111,0.573678111,0.492945206,0.492945206,0.492945206,0.456312116,0.456312116,0.456312116,0.428295864,0.428295864,0.428295864,-0.255539773,-0.255539773,-0.255539773,-0.294811297,-0.294811297,-0.294811297,-0.314287341,-0.314287341,-0.314287341,-0.347249778,-0.347249778,-0.347249778,-0.075838615,-0.075838615,-0.075838615,-0.115015537,-0.115015537,-0.115015537,-0.18435988,-0.18435988,-0.18435988,-0.221935576,-0.221935576,-0.221935576,-0.057867182,-0.057867182,-0.057867182,-0.039704649,-0.039704649,-0.039704649,-0.061139652,-0.061139652,-0.061139652,-0.032236421,-0.032236421,-0.032236421,-0.181194399,-0.181194399,-0.181194399
APH UN Equity,1,0.615251376,0.615251376,0.615251376,0.608726835,0.608726835,0.608726835,0.580030657,0.580030657,0.580030657,0.588284093,0.588284093,0.588284093,0.512135527,0.512135527,0.512135527,0.527038103,0.527038103,0.527038103,0.529803885,0.529803885,0.529803885,0.559773034,0.559773034,0.559773034,0.622955209,0.622955209,0.622955209,0.644153442,0.644153442,0.644153442,0.642546101,0.642546101,0.642546101,0.087453644,0.087453644,0.087453644,0.142159762,0.142159762,0.142159762,0.117899615,0.117899615,0.117899615,0.09629252,0.09629252,0.09629252,0.579668938,0.579668938,0.579668938,0.657131805,0.657131805,0.657131805,0.621638381,0.621638381,0.621638381,0.600602794,0.600602794,0.600602794,0.534379439,0.534379439,0.534379439,0.417488536,0.417488536,0.417488536,0.515923542,0.515923542,0.515923542,0.544134485,0.544134485,0.544134485,0.569426649,0.569426649,0.569426649
WU UN Equity,1,0.23921846,0.23921846,0.23921846,0.295506944,0.295506944,0.295506944,0.321685181,0.321685181,0.321685181,0.341237454,0.341237454,0.341237454,0.300693396,0.300693396,0.300693396,0.34088553,0.34088553,0.34088553,0.336669814,0.336669814,0.336669814,-0.471135062,-0.471135062,-0.471135062,-0.558088556,-0.558088556,-0.558088556,-0.638548526,-0.638548526,-0.638548526,-0.645501762,-0.645501762,-0.645501762,-1.857915864,-1.857915864,-1.857915864,-1.788559288,-1.788559288,-1.788559288,-1.704680451,-1.704680451,-1.704680451,-1.708152597,-1.708152597,-1.708152597,0.229298127,0.229298127,0.229298127,0.158486559,0.158486559,0.158486559,0.804454509,0.804454509,0.804454509,0.778471082,0.778471082,0.778471082,0.653044441,0.653044441,0.653044441,0.633764686,0.633764686,0.633764686,0.143559815,0.143559815,0.143559815,0.275450638,0.275450638,0.275450638,0.320557164,0.320557164,0.320557164
ACN UN Equity,1,1.657514484,1.657514484,1.657514484,1.60343247,1.60343247,1.60343247,1.424257263,1.424257263,1.424257263,1.430979851,1.430979851,1.430979851,1.935398251,1.935398251,1.935398251,1.873001208,1.873001208,1.873001208,2.033033627,2.033033627,2.033033627,2.18784271,2.18784271,2.18784271,1.929221153,1.929221153,1.929221153,1.639818117,1.639818117,1.639818117,1.356713558,1.356713558,1.356713558,1.491632493,1.491632493,1.491632493,1.471323857,1.471323857,1.471323857,1.572176975,1.572176975,1.572176975,1.392518742,1.392518742,1.392518742,1.22556114,1.22556114,1.22556114,1.405439645,1.405439645,1.405439645,1.496215682,1.496215682,1.496215682,1.465975963,1.465975963,1.465975963,1.257629533,1.257629533,1.257629533,1.163170356,1.163170356,1.163170356,1.166859476,1.166859476,1.166859476,1.088354997,1.088354997,1.088354997,1.046204806,1.046204806,1.046204806
PTC UW Equity,1,0.101378727,0.101378727,0.101378727,-0.134855023,-0.134855023,-0.134855023,-0.229095239,-0.229095239,-0.229095239,-0.502106312,-0.502106312,-0.502106312,-0.811227777,-0.811227777,-0.811227777,-0.84104239,-0.84104239,-0.84104239,-0.984711266,-0.984711266,-0.984711266,-1.156916171,-1.156916171,-1.156916171,-1.158299743,-1.158299743,-1.158299743,-1.148610305,-1.148610305,-1.148610305,-1.208134176,-1.208134176,-1.208134176,-0.924668622,-0.924668622,-0.924668622,-0.795312717,-0.795312717,-0.795312717,-0.762326575,-0.762326575,-0.762326575,-0.656272532,-0.656272532,-0.656272532,-0.704714005,-0.704714005,-0.704714005,-0.726697216,-0.726697216,-0.726697216,-1.035973743,-1.035973743,-1.035973743,-1.163326027,-1.163326027,-1.163326027,-1.170514387,-1.170514387,-1.170514387,-0.855262526,-0.855262526,-0.855262526,-0.521213449,-0.521213449,-0.521213449,-0.289484072,-0.289484072,-0.289484072,-0.104223541,-0.104223541,-0.104223541
VRSN UW Equity,1,0.956455997,0.956455997,0.956455997,1.082759368,1.082759368,1.082759368,1.061767265,1.061767265,1.061767265,1.502105229,1.502105229,1.502105229,1.297734117,1.297734117,1.297734117,1.400700193,1.400700193,1.400700193,1.595333406,1.595333406,1.595333406,1.704191965,1.704191965,1.704191965,1.85115264,1.85115264,1.85115264,1.923888503,1.923888503,1.923888503,1.612230684,1.612230684,1.612230684,1.628530694,1.628530694,1.628530694,1.706321064,1.706321064,1.706321064,2.251420466,2.251420466,2.251420466,1.915972816,1.915972816,1.915972816,2.147770232,2.147770232,2.147770232,2.462065245,2.462065245,2.462065245,3.610181912,3.610181912,3.610181912,3.818257918,3.818257918,3.818257918,3.534532646,3.534532646,3.534532646,4.336448991,4.336448991,4.336448991,4.290398461,4.290398461,4.290398461,4.29994575,4.29994575,4.29994575,4.405798755,4.405798755,4.405798755
CSCO UW Equity,1,0.252725078,0.252725078,0.252725078,0.302614765,0.302614765,0.302614765,0.26890106,0.26890106,0.26890106,0.369659093,0.369659093,0.369659093,0.45697221,0.45697221,0.45697221,0.406681599,0.406681599,0.406681599,0.423079982,0.423079982,0.423079982,0.373115278,0.373115278,0.373115278,0.26686618,0.26686618,0.26686618,0.251928481,0.251928481,0.251928481,0.153192972,0.153192972,0.153192972,0.163456677,0.163456677,0.163456677,-1.153625729,-1.153625729,-1.153625729,-1.151045749,-1.151045749,-1.151045749,-0.98693285,-0.98693285,-0.98693285,-0.854695139,-0.854695139,-0.854695139,0.475088477,0.475088477,0.475088477,0.691264429,0.691264429,0.691264429,0.565554856,0.565554856,0.565554856,0.539967464,0.539967464,0.539967464,0.576967809,0.576967809,0.576967809,0.674843538,0.674843538,0.674843538,0.683949763,0.683949763,0.683949763,0.653668948,0.653668948,0.653668948
