,industry,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06,2020-07,2020-08,2020-09,2020-10,2020-11,2020-12
CDW UW Equity,1,0.402840635,0.402840635,0.402840635,0.52734609,0.52734609,0.52734609,0.771064852,0.771064852,0.771064852,0.696186354,0.696186354,0.696186354,0.608938483,0.608938483,0.608938483,0.677103984,0.677103984,0.677103984,0.481117483,0.481117483,0.481117483,0.580021655,0.580021655,0.580021655,0.420411188,0.420411188,0.420411188,0.733125767,0.733125767,0.733125767,0.836270316,0.836270316,0.836270316,0.965470865,0.965470865,0.965470865,0.853953024,0.853953024,0.853953024,1.666933593,1.666933593,1.666933593,1.701213841,1.701213841,1.701213841,1.205927979,1.205927979,1.205927979,0.93618579,0.93618579,0.93618579,1.563097939,1.563097939,1.563097939,1.604212505,1.604212505,1.604212505,1.900111128,1.900111128,1.900111128,1.674595044,1.674595044,1.674595044,1.547270483,1.547270483,1.547270483,1.400092894,1.400092894,1.400092894,1.274785071,1.274785071,1.274785071
HPQ UN Equity,1,-0.016574423,-0.016574423,-0.016574423,-0.048993364,-0.048993364,-0.048993364,-0.052131092,-0.052131092,-0.052131092,-0.065655525,-0.065655525,-0.065655525,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TDY UN Equity,1,-0.129325266,-0.129325266,-0.129325266,-0.194492766,-0.194492766,-0.194492766,-0.158028179,-0.158028179,-0.158028179,-0.151354107,-0.151354107,-0.151354107,-0.157800852,-0.157800852,-0.157800852,-0.170473686,-0.170473686,-0.170473686,-0.177504947,-0.177504947,-0.177504947,-0.195510009,-0.195510009,-0.195510009,-0.200423385,-0.200423385,-0.200423385,-0.257093979,-0.257093979,-0.257093979,-0.269460361,-0.269460361,-0.269460361,-0.262210532,-0.262210532,-0.262210532,-0.208372675,-0.208372675,-0.208372675,-0.241479891,-0.241479891,-0.241479891,-0.236807102,-0.236807102,-0.236807102,-0.228318144,-0.228318144,-0.228318144,-0.208583665,-0.208583665,-0.208583665,-0.258023499,-0.258023499,-0.258023499,-0.219121903,-0.219121903,-0.219121903,-0.197917864,-0.197917864,-0.197917864,-0.168157392,-0.168157392,-0.168157392,-0.092446243,-0.092446243,-0.092446243,-0.128173657,-0.128173657,-0.128173657,0,0,0
IBM UN Equity,1,2.582790252,2.582790252,2.582790252,2.554994966,2.554994966,2.554994966,3.397525768,3.397525768,3.397525768,2.730271514,2.730271514,2.730271514,2.044063484,2.044063484,2.044063484,1.735833114,1.735833114,1.735833114,1.424918866,1.424918866,1.424918866,1.560384381,1.560384381,1.560384381,1.014689189,1.014689189,1.014689189,1.350078351,1.350078351,1.350078351,1.263795284,1.263795284,1.263795284,0.34708636,0.34708636,0.34708636,0.164089662,0.164089662,0.164089662,0.372400943,0.372400943,0.372400943,0.260719225,0.260719225,0.260719225,0.777351723,0.777351723,0.777351723,0.51941525,0.51941525,0.51941525,0.853022167,0.853022167,0.853022167,0.660194729,0.660194729,0.660194729,0.988367275,0.988367275,0.988367275,0.754053018,0.754053018,0.754053018,0.62987721,0.62987721,0.62987721,0.625285747,0.625285747,0.625285747,0.207782928,0.207782928,0.207782928
APH UN Equity,1,0.256061763,0.256061763,0.256061763,0.29016772,0.29016772,0.29016772,0.278397625,0.278397625,0.278397625,0.204177855,0.204177855,0.204177855,0.094880474,0.094880474,0.094880474,0.11397268,0.11397268,0.11397268,0.069166361,0.069166361,0.069166361,0.115282018,0.115282018,0.115282018,0.074413987,0.074413987,0.074413987,0.124070996,0.124070996,0.124070996,0.131091227,0.131091227,0.131091227,-0.134885207,-0.134885207,-0.134885207,-0.124717177,-0.124717177,-0.124717177,-0.092595298,-0.092595298,-0.092595298,-0.104704476,-0.104704476,-0.104704476,0.179931093,0.179931093,0.179931093,0.098599836,0.098599836,0.098599836,0.248464067,0.248464067,0.248464067,0.236211396,0.236211396,0.236211396,0.178951683,0.178951683,0.178951683,0.122202226,0.122202226,0.122202226,0.177352265,0.177352265,0.177352265,0.199580645,0.199580645,0.199580645,0.140389023,0.140389023,0.140389023
WU UN Equity,1,2.076413342,2.076413342,2.076413342,2.497564939,2.497564939,2.497564939,1.960808362,1.960808362,1.960808362,1.435297632,1.435297632,1.435297632,1.179817747,1.179817747,1.179817747,1.249456378,1.249456378,1.249456378,0.979734176,0.979734176,0.979734176,0.060885416,0.060885416,0.060885416,0.03038942,0.03038942,0.03038942,-0.053021112,-0.053021112,-0.053021112,-0.041657045,-0.041657045,-0.041657045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACN UN Equity,1,1.41254681,1.41254681,1.41254681,1.606965903,1.606965903,1.606965903,1.341607877,1.341607877,1.341607877,1.153098326,1.153098326,1.153098326,1.020178373,1.020178373,1.020178373,1.087438271,1.087438271,1.087438271,0.981493021,0.981493021,0.981493021,1.31085677,1.31085677,1.31085677,0.630607928,0.630607928,0.630607928,0.75834231,0.75834231,0.75834231,0.639957798,0.639957798,0.639957798,0.699018742,0.699018742,0.699018742,0.376097828,0.376097828,0.376097828,0.866975641,0.866975641,0.866975641,0.729543428,0.729543428,0.729543428,0.427570857,0.427570857,0.427570857,0.285573997,0.285573997,0.285573997,0.560984217,0.560984217,0.560984217,0.580114751,0.580114751,0.580114751,0.455473154,0.455473154,0.455473154,0.342086423,0.342086423,0.342086423,0.411471112,0.411471112,0.411471112,0.403150768,0.403150768,0.403150768,0.326542227,0.326542227,0.326542227
PTC UW Equity,1,-0.085502379,-0.085502379,-0.085502379,-0.275436711,-0.275436711,-0.275436711,-0.299952069,-0.299952069,-0.299952069,-0.436135455,-0.436135455,-0.436135455,-0.560858634,-0.560858634,-0.560858634,-0.59468026,-0.59468026,-0.59468026,-0.587999794,-0.587999794,-0.587999794,-0.771076781,-0.771076781,-0.771076781,-0.555515475,-0.555515475,-0.555515475,-0.742089008,-0.742089008,-0.742089008,-0.809227687,-0.809227687,-0.809227687,-0.652551058,-0.652551058,-0.652551058,-0.451902237,-0.451902237,-0.451902237,-0.652200618,-0.652200618,-0.652200618,-0.543816678,-0.543816678,-0.543816678,-0.519642204,-0.519642204,-0.519642204,-0.425066107,-0.425066107,-0.425066107,-0.77368072,-0.77368072,-0.77368072,-0.854476562,-0.854476562,-0.854476562,-0.860936438,-0.860936438,-0.860936438,-0.639130648,-0.639130648,-0.639130648,-0.418244699,-0.418244699,-0.418244699,-0.324401154,-0.324401154,-0.324401154,-0.21729986,-0.21729986,-0.21729986
VRSN UW Equity,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CSCO UW Equity,1,-0.138592184,-0.138592184,-0.138592184,-0.120707065,-0.120707065,-0.120707065,-0.091319537,-0.091319537,-0.091319537,-0.075173902,-0.075173902,-0.075173902,-0.066369252,-0.066369252,-0.066369252,-0.064227893,-0.064227893,-0.064227893,-0.067770211,-0.067770211,-0.067770211,-0.07755972,-0.07755972,-0.07755972,-0.122637039,-0.122637039,-0.122637039,-0.158612443,-0.158612443,-0.158612443,-0.200862432,-0.200862432,-0.200862432,-0.197300831,-0.197300831,-0.197300831,-0.583515509,-0.583515509,-0.583515509,-0.903277826,-0.903277826,-0.903277826,-0.779478501,-0.779478501,-0.779478501,-0.62358469,-0.62358469,-0.62358469,0.049791968,0.049791968,0.049791968,0.284742816,0.284742816,0.284742816,0.288901771,0.288901771,0.288901771,0.216673334,0.216673334,0.216673334,0.188929307,0.188929307,0.188929307,0.314679928,0.314679928,0.314679928,0.370495778,0.370495778,0.370495778,0.253743272,0.253743272,0.253743272
