,industry,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06,2020-07,2020-08,2020-09,2020-10,2020-11,2020-12
CDW UW Equity,1,0,0,0,0,0,0,0,0,0,0,0,1.454747139,1.202018241,1.354769207,1.261881689,0.848566659,1.070007057,0.664638469,0.788491664,1.008333744,1.17643018,1.294817785,1.63491984,1.688025779,1.475321814,1.734441335,1.555439208,1.537504052,1.421967661,1.597731229,1.590868112,1.562538771,1.643368604,1.635738615,1.575562053,1.625212451,1.602948199,1.579528786,1.387704615,1.512165163,1.775934248,1.924233661,1.961425121,1.887296146,1.940310906,2.826561909,2.774339607,1.971708134,1.789110645,2.009765915,1.999459854,2.186378474,1.693343648,1.865928455,1.991773082,1.691207052,2.066564614,2.218360578,2.308527726,2.44689197,1.425916288,1.029436225,0.645412421,0.798790936,0.590230307,0.755203011,0.562289957,0.371280915,0.617752772,0.797179064,0.714280509,0.657178689
HPQ UN Equity,1,-0.087560797,-0.364392607,-0.69759874,-0.509863764,-0.475556104,-0.702459977,-0.683559582,-0.642664965,-0.752703977,-0.832359622,-0.765706717,-0.791048549,-1.007984107,-0.825497708,-0.766278301,-0.808688465,-0.591747964,-0.743076364,-0.589057715,-0.486748539,-0.19670349,-0.312104702,-0.243344745,-0.444303843,-0.462501642,-0.121762674,0.008862575,0.152024778,0.085705039,-0.241947679,0.015400336,0.058583037,0.137263575,0.299074374,0.18590111,0.111809409,0.290341777,0.55192522,0.289263687,0.231312322,0.275013247,0.40742685,0.376859777,0.512611416,0.689175112,0.81283676,0.383099236,0.284865405,0.241393687,-0.466650871,-0.528002889,-0.542676504,-0.494180116,-0.363004019,-0.333358582,-0.702677885,-0.715797348,-1.032331311,-0.650121561,-0.651936543,-0.407771232,-0.088441265,-0.085429536,-0.70719442,-0.851925141,-0.484697237,-0.554994776,-0.3735932,-0.379391242,-0.49192265,-0.280506457,-0.03625713
TDY UN Equity,1,-0.056353702,0.0108525,0.252731284,0.276452778,-0.006390707,0.266552849,0.108085117,0.086970486,-0.234794603,-0.496176608,-0.352591024,-0.43710583,-0.58329595,-0.406566567,-0.538681971,-0.310686262,-0.114955219,-0.04981435,0.086908182,0.238086205,0.342734951,0.542945841,1.136654716,0.973631001,0.868622289,1.006615796,0.65704476,0.883683062,0.561477909,0.350650263,0.598634547,0.971903741,1.13284247,1.208876635,1.408877793,1.258669517,1.212055139,1.215790386,1.389141134,1.462331954,1.611065321,1.595862845,1.828184769,1.866650439,1.977962547,1.651864985,1.577970142,1.558040369,1.589112256,1.537942458,1.468557047,1.522659159,1.293961051,1.595181415,1.734533295,1.81686953,2.13248439,2.241623011,2.279805589,2.292256577,2.277442273,2.111605296,1.725346128,1.61662465,1.760151592,0.73743087,0.486421031,0.456648189,0.507116078,0.584041372,0.934068317,0.956643713
IBM UN Equity,1,-2.710658568,-2.558381601,-2.475580206,-2.301950923,-2.249118568,-2.221486022,-2.225253394,-2.324326695,-2.230362296,-2.519154691,-2.509936167,-2.408784268,-2.486128598,-2.359315745,-1.985861419,-2.25346282,-1.951219815,-1.883150983,-1.786981905,-1.863203801,-1.84269957,-1.903664224,-1.710376346,-1.628006137,-1.369989048,-1.29363378,-1.436124214,-1.805297518,-1.883918286,-1.886048449,-2.093678658,-1.983975902,-2.002117816,-1.635354264,-1.764669688,-1.852144646,-1.55418069,-1.478687968,-1.520317739,-1.736251438,-1.776466229,-1.908666939,-1.824581828,-1.703040415,-1.475809316,-2.260195459,-2.024955678,-1.976661714,-1.627860601,-1.544069454,-1.403098974,-1.529561091,-1.502232418,-1.419847524,-1.125181982,-1.213829898,-1.13516345,-1.451719409,-1.523103639,-1.628499661,-1.150269587,-1.136269422,-0.929974786,-0.835646112,-0.932023123,-1.012328633,-1.009122845,-1.083372836,-1.059793661,-1.261999883,-1.339882161,-1.363152691
APH UN Equity,1,1.92700385,1.889926406,2.012342253,1.48966009,1.489094614,1.64129399,1.256368511,0.900590948,0.787820514,0.835589297,0.892911593,0.558332722,0.450022297,0.800196903,0.936035147,0.701869926,0.847683452,0.618994943,0.699011373,1.000773373,1.279249961,1.625510031,1.662275519,1.461319715,1.378294773,1.314630927,1.468743873,1.452417506,1.41973309,1.347715962,1.4625679,1.652896793,1.779051972,1.693534632,1.763494226,1.495700906,1.465898559,1.524514953,1.038207885,0.825994384,0.923970244,1.005152124,1.223738711,1.132852674,1.096359472,1.210183056,0.903606681,0.737722193,0.886379679,1.028491775,0.990518872,1.124717382,0.27399987,0.475186564,0.251406681,-0.053602896,0.320500301,0.483934102,0.554616411,0.66853731,0.112569364,0.107972728,-0.213599228,0.09438709,0.213216149,0.203344498,0.34387621,0.362617145,0.396057218,0.619245257,0.816188399,0.723560084
WU UN Equity,1,-1.786786575,-1.439978019,-1.146454576,-1.256964531,-0.949084247,-1.109887601,-1.13797345,-1.20248876,-1.069558581,-1.104088802,-1.167238029,-1.210484438,-0.983891712,-0.925743607,-0.991803951,-0.879857278,-1.025332897,-1.01650648,-0.986408208,-0.643581983,-0.783069868,-0.832223529,-0.728700599,-0.606779284,-1.249573853,-1.335506383,-1.118680151,-1.204690944,-1.324534257,-1.341122028,-1.17141057,-1.249582615,-1.262364062,-1.077359994,-1.23112129,-1.43207144,-1.095576936,-1.031380552,-1.117226159,-0.982336445,-0.935041603,-0.875306187,-1.012841277,-1.281650991,-1.180183141,-1.191894486,-1.094574579,-1.118156995,-1.148103046,-1.312954218,-1.110768784,-0.966449946,-0.647163415,-0.76406099,-0.50583419,-0.152895655,0.01156693,0.372516839,0.606992761,0.518248283,0.551719171,-0.149660752,-0.37779933,-0.517872464,-0.462827725,-0.185924073,0.064636678,-0.136958596,-0.396896365,-0.656611021,-0.55337745,-0.741126333
ACN UN Equity,1,-0.209392709,-0.076233733,0.130688604,0.176233443,0.284093659,0.441665098,0.630748446,0.29091229,0.593578775,0.718183165,0.716837553,0.642085435,0.998760183,0.627591228,0.984898443,0.885760089,1.017611308,0.577755004,0.450834978,0.618127585,0.98377729,0.748866821,0.756613464,0.549565266,0.206710498,0.427519653,0.263553516,0.289170774,0.342411283,0.313826847,0.479860682,0.571326564,0.663746039,0.78026663,0.854060863,1.076896242,1.063034264,1.310628267,0.969181013,0.888758517,0.949316413,1.232616241,0.870433258,0.998200083,1.052206467,0.917630073,1.008411431,0.346847639,0.447492067,0.510647229,0.857735853,0.895238303,0.94083987,0.861959849,0.98966414,1.084480044,0.921043143,0.6282754,0.903097626,1.045921023,0.799920271,0.412466877,0.498755921,0.61945743,0.71514563,0.961751757,0.893335151,1.000039492,0.763851331,0.64340783,0.825778184,0.894689201
PTC UW Equity,1,-0.509947621,-0.531942858,-0.345349511,-0.085968955,0.103358945,0.201582942,-0.422130826,-0.478225648,-0.49023446,-0.380859707,-0.327081875,-0.352478025,-0.627637508,-0.519075848,-0.583356304,-0.283172611,-0.409998294,-0.211838381,-0.149220698,0.148878887,0.352630174,0.834201479,0.805461919,0.41689195,0.821778385,0.742328466,0.581591295,0.63573411,0.750439577,0.482758895,0.461622592,0.537418062,0.503255054,0.933021906,0.554569413,0.301882884,0.694844563,0.982571246,1.287243318,1.520494104,1.555516602,1.89645997,1.620154565,1.675383368,1.837273829,0.675703671,0.715755789,1.094433311,0.847597288,0.964976108,0.860414682,0.618814334,0.464851115,0.451751674,-0.729623279,-0.671635565,-0.675914744,-0.761666613,-0.437807152,-0.600970927,-0.176764107,-0.102906181,-0.092385668,-0.120683367,-0.026170521,0.037474675,0.128104138,0.197909984,-0.029897493,0.070221934,0.421945318,0.610526985
VRSN UW Equity,1,-1.117990035,-0.772748785,-0.569772382,-0.753464381,-0.760081598,-0.709100835,-0.321769983,-0.126135896,0.088147318,0.298635551,0.607769111,0.599269956,0.148239786,0.51924336,0.417936645,0.33008948,0.200534081,0.250969262,0.153344731,-0.612506078,-0.377482112,0.086828007,-0.393114026,-0.614554352,-0.466611468,-0.485002608,-0.230933857,-0.161032276,-0.135495097,-0.009893079,0.280169434,0.401514683,0.436024556,0.395518951,0.537548402,0.560796617,0.417458057,0.701373754,0.908593693,0.891707675,1.202364798,1.471450282,1.57154281,1.670592991,1.71268277,1.333287094,1.546689192,1.806246304,2.041216516,1.937717539,1.902539352,2.052094531,2.126128362,2.115892962,2.072816783,1.646705612,1.132374188,1.175129043,1.109665268,1.101745044,1.337916642,1.147572269,1.415079029,1.567409443,1.44084221,1.103677393,0.9528449,0.905263383,0.731864965,0.439883427,0.319336804,0.507189308
CSCO UW Equity,1,0.154599575,0.357932629,-0.024733874,0.24679501,0.264791171,-0.009850738,0.06358704,-0.108874671,0.079536256,0.190243264,-0.118979801,-0.0016088,-0.339050831,-0.010302343,0.020056608,-0.147783911,0.009804732,-0.037535566,0.079222907,0.253978155,0.360623963,0.337433812,0.010351631,0.042611508,0.044237184,0.374437473,0.3171944,0.317012811,-0.247347199,-0.283084894,-0.272087176,-0.113739388,0.003337368,0.018753588,0.262036888,0.416893685,0.55845032,1.05520402,0.841890603,1.023404328,0.672606093,0.756633405,0.527263034,0.878061926,0.969688379,1.073061927,1.140025051,0.983975932,1.059470327,1.218420281,1.309926952,1.321083548,0.986024908,0.94250652,0.944895116,-0.004845326,0.156316721,-0.061719124,-0.385325464,-0.239829527,-0.346652611,-0.5084897,0.07107166,-0.0148483,0.219866065,0.139695922,0.026029789,-0.437945815,-0.569169156,-0.786726734,-0.626187566,-0.593858666
