,industry,Jan-15,Feb-15,Mar-15,Apr-15,May-15,Jun-15,Jul-15,Aug-15,Sep-15,Oct-15,Nov-15,Dec-15,Jan-16,Feb-16,Mar-16,Apr-16,May-16,Jun-16,Jul-16,Aug-16,Sep-16,Oct-16,Nov-16,Dec-16,Jan-17,Feb-17,Mar-17,Apr-17,May-17,Jun-17,Jul-17,Aug-17,Sep-17,Oct-17,Nov-17,Dec-17,Jan-18,Feb-18,Mar-18,Apr-18,May-18,Jun-18,Jul-18,Aug-18,Sep-18,Oct-18,Nov-18,Dec-18,Jan-19,Feb-19,Mar-19,Apr-19,May-19,Jun-19,Jul-19,Aug-19,Sep-19,Oct-19,Nov-19,Dec-19,Jan-20,Feb-20,Mar-20,Apr-20,May-20,Jun-20,Jul-20,Aug-20,Sep-20,Oct-20,Nov-20,Dec-20
SPX Index,0,-0.0153,-0.0549,0.027,0.1324,-0.0654,0.1386,0.1645,-0.0639,-0.0718,0.0546,-0.099,-0.0191,-0.149,-0.0672,-0.0014,0.0474,-0.0401,0.2577,0.1284,0.1259,0.0396,0.0375,-0.0083,0.0978,-0.0914,-0.023,0.2096,-0.014,0.117,0.1768,0.1087,0.0378,0.1122,0.0675,0.0171,0.0857,0.037,0.0309,0.009,0.0231,0.1153,-0.0127,0.1414,0.1581,-0.0107,0.078,-0.0113,-0.1685,-0.167,-0.0505,-0.0809,0.0663,0.2875,0.0557,0.2593,0.0826,-0.0219,0.0905,0.0743,0.0121,0.08,0.044,-0.148,-0.066,-0.1247,-0.0078,0.1333,0.2206,0.2185,0.288,0.0392,0.152
S5INFT Index,1,-0.0062,-0.043,0.0484,0.1371,-0.0576,0.1552,0.1664,-0.0643,-0.0519,0.0801,-0.0608,0.0346,-0.1166,-0.0533,0.0097,0.0397,-0.0771,0.2349,0.118,0.1441,0.0842,0.132,0.0561,0.1467,-0.0694,-0.0027,0.2294,0.0314,0.2283,0.2658,0.1751,0.1032,0.1742,0.104,0.102,0.1379,0.077,0.0847,0.0777,0.0338,0.199,0.0681,0.2117,0.1929,0.0305,0.0789,-0.0518,-0.2025,-0.2077,-0.0717,-0.0706,0.1427,0.3689,0.1398,0.356,0.1353,-0.0043,0.1321,0.1327,0.0526,0.1644,0.1559,-0.0435,0.0449,0.0077,0.1158,0.2681,0.369,0.3462,0.3774,0.0746,0.186
S5COND Index,2,-0.004634,-0.013784,0.102418,0.218183,-0.021281,0.201805,0.225767,-0.028349,-0.018693,0.127528,-0.046915,0.009853,-0.135056,-0.080664,-0.011005,0.031742,-0.051004,0.231061,0.120917,0.098443,0.004134,0.006261,-0.02212,0.078073,-0.099312,-0.020523,0.204996,-0.002566,0.137913,0.184121,0.108801,0.03118,0.07108,0.014917,-0.014747,0.083991,0.068191,0.103047,0.085317,0.095026,0.176592,0.049293,0.184938,0.198911,0.033279,0.086135,-0.037821,-0.188437,-0.163158,-0.072591,-0.07278,0.112074,0.33333,0.065779,0.307162,0.10428,-0.029467,0.078264,0.027725,-0.050611,0.023522,0.005251,-0.176003,-0.034055,-0.0576,0.09482,0.279587,0.406435,0.373334,0.423897,0.089537,0.146566
S5HLTH Index,3,0.0763,-0.0019,0.0939,0.1911,-0.034,0.1769,0.2388,-0.0312,-0.0564,0.0274,-0.135,-0.057,-0.1701,-0.0971,-0.0221,0.0342,-0.0681,0.2139,0.129,0.1515,0.0296,0.0049,-0.073,-0.0228,-0.1772,-0.0893,0.1718,-0.0256,0.1472,0.227,0.155,0.0538,0.1612,0.0972,-0.0064,0.04,0.0096,-0.0224,-0.0343,0.0054,0.0897,-0.0348,0.1396,0.188,0.0306,0.165,0.0824,-0.0835,-0.1149,-0.0214,-0.0907,-0.0194,0.1658,-0.0104,0.1739,0.0363,-0.0348,0.0745,0.0558,0.0428,0.0928,0.0677,-0.0689,0.0505,-0.0545,0.0231,0.1896,0.1572,0.093,0.1708,-0.0079,0.0742
S5FINL Index,4,-0.0034,-0.0634,0.0159,0.1103,-0.0895,0.149,0.1964,-0.0395,-0.0583,0.0498,-0.1068,-0.0385,-0.1924,-0.1297,-0.0507,-0.0121,-0.0766,0.2174,0.1182,0.1228,0.045,0.0376,0.0944,0.2969,0.0463,0.1178,0.3597,-0.006,0.0552,0.132,0.091,0.0235,0.12,0.1204,0.047,0.1197,0.0721,0.0912,0.0292,0.0436,0.0931,-0.0639,0.0578,0.0842,-0.0732,0.0075,-0.0256,-0.2022,-0.1863,-0.0727,-0.1085,0.0147,0.2928,0.0277,0.2456,0.0704,-0.017,0.0811,0.0968,0.0315,0.0966,0.0265,-0.2404,-0.2303,-0.3111,-0.1735,-0.0869,0.0654,0.1219,0.2334,0.0094,0.2079
S5TELS Index,5,-0.0868,-0.1067,-0.0607,0.0657,-0.0663,0.1196,0.1171,-0.0802,-0.0798,0.0166,-0.1395,-0.0241,-0.096,0.0662,0.1615,0.2037,0.0663,0.3443,0.1336,0.0898,0.0198,-0.02,-0.1253,-0.0076,-0.1459,-0.1118,0.1415,-0.0586,-0.0441,0.0037,-0.0483,-0.0628,0.0009,-0.0092,-0.1161,0.0702,-0.0643,-0.0471,-0.0577,0.0352,-0.0184,-0.0991,0.0438,0.099,-0.0592,0.102,0.0066,-0.1377,-0.131,-0.0278,-0.0609,0.1164,0.3361,0.0441,0.2757,0.0962,-0.0204,0.0795,0.0943,0.0187,0.0836,0.0419,-0.1267,-0.0491,-0.0774,0.0227,0.1784,0.237,0.2443,0.2542,0.0505,0.1625
S5INDU Index,6,-0.0102,-0.0466,0.0307,0.1038,-0.0879,0.1085,0.1058,-0.1037,-0.0962,0.0408,-0.0979,-0.0045,-0.1416,-0.0398,0.0291,0.0731,-0.0108,0.2964,0.1395,0.1197,0.0301,0.0295,0.025,0.1368,-0.0625,0.0099,0.2405,-0.0227,0.0982,0.172,0.1088,0.0332,0.1101,0.0732,-0.0098,0.0725,0.0482,0.0306,-0.0091,0.0306,0.0879,-0.0648,0.0688,0.1033,-0.0428,0.0464,-0.0391,-0.1904,-0.1827,-0.0461,-0.0832,0.0861,0.3167,0.0596,0.2072,0.0493,-0.0411,0.0718,0.0785,-0.0039,0.0665,0.003,-0.2281,-0.2099,-0.2589,-0.1181,-0.0005,0.1769,0.2648,0.3853,0.1082,0.2498
S5CONS Index,7,0.0515,-0.0124,0.0248,0.13,-0.0855,0.0791,0.1589,-0.0426,-0.0446,0.1104,-0.0724,0.0128,-0.0906,0.0203,0.0543,0.1267,0.0041,0.2583,0.0956,0.0922,0.0106,-0.008,-0.0871,-0.0177,-0.168,-0.0851,0.1504,-0.0264,0.1239,0.189,0.0748,0.0039,0.0489,-0.0239,-0.0778,0.0346,-0.0446,-0.0524,-0.0611,-0.0485,-0.044,-0.1183,0.0613,0.1105,-0.0505,0.141,0.0946,-0.0915,-0.1241,-0.0049,-0.0682,0.0149,0.2526,0.0723,0.2799,0.1341,0.0233,0.1133,0.0507,-0.0019,0.0117,-0.0097,-0.1188,-0.0035,-0.1237,-0.0239,0.1146,0.0911,0.1051,0.2412,0.021,0.1027
S5ENRS Index,8,-0.239,-0.2224,-0.141,0.0367,-0.0801,0.0996,0.0424,-0.1724,-0.2193,-0.0694,-0.1879,-0.1375,-0.2247,-0.1278,-0.0755,0.0047,0.0278,0.3987,0.2085,0.157,0.0523,0.0507,-0.0149,0.1469,-0.0608,-0.056,0.0865,-0.1126,-0.0717,-0.0377,-0.0408,-0.0875,0.0097,0.0187,0.005,0.0772,0.0978,-0.0163,-0.0595,0.0414,0.1893,-0.0106,0.2256,0.2123,-0.0543,-0.0013,-0.1154,-0.2793,-0.2401,-0.1285,-0.1702,0.0092,0.2024,-0.051,0.1286,-0.0816,-0.1496,-0.0382,-0.0341,-0.0913,-0.01,-0.1523,-0.4466,-0.391,-0.3879,-0.2804,-0.1839,0.0755,-0.0398,-0.1293,-0.2275,0.0496
S5MATR Index,9,-0.0857,-0.0889,0.0017,0.1172,-0.0462,0.1452,0.0735,-0.1467,-0.1634,-0.0525,-0.1763,-0.0603,-0.2011,-0.0724,0.0091,0.0702,0.0029,0.3862,0.1803,0.1498,0.0329,0.0092,-0.0229,0.1067,-0.0822,-0.008,0.2206,-0.015,0.0934,0.155,0.1055,0.0361,0.1235,0.105,0.0343,0.0862,0.0604,0.0176,-0.0388,-0.0124,0.0794,-0.0602,0.0809,0.1005,-0.0712,-0.0318,-0.0835,-0.2151,-0.1917,-0.0838,-0.0731,0.0582,0.2377,0.0451,0.2487,0.0741,-0.0412,0.0983,0.0445,-0.017,0.0129,-0.0272,-0.2188,-0.1416,-0.1719,-0.0082,0.1752,0.2787,0.3171,0.3632,0.1123,0.191
S5UTIL Index,10,0.1024,-0.0114,-0.0323,0.0811,-0.1405,-0.0326,0.0731,-0.0447,-0.0625,0.1021,-0.0827,-0.0076,-0.1048,0.0535,0.0884,0.1878,0.0891,0.3361,0.1293,0.0943,0.0231,-0.0141,-0.1069,-0.0373,-0.1604,-0.0958,0.1688,-0.0079,0.1357,0.2094,0.1089,0.0588,0.1021,0.0439,-0.0058,0.038,-0.1441,-0.1387,-0.1287,-0.0924,0.0158,-0.019,0.1803,0.1783,-0.0456,0.1209,0.0903,-0.0557,-0.0897,0.0456,-0.0185,0.0623,0.2321,0.0731,0.2549,0.1073,0.0457,0.1503,0.0456,0.0042,0.0373,0.0263,-0.142,-0.032,-0.1565,-0.0722,-0.0014,-0.0036,0.0203,0.2367,-0.0008,0.0505
S5RLST Index,11,0.0914,0.0392,0.0629,0.1525,-0.1075,-0.0096,0.0685,-0.0931,-0.0892,0.1109,-0.0545,0.0371,-0.0959,-0.041,0.0203,0.1043,-0.003,0.2579,0.2001,0.1368,0.0304,-0.0209,-0.1166,-0.0613,-0.1954,-0.1317,0.1027,-0.0245,0.0905,0.1474,0.0815,0.0371,0.0742,0.0275,-0.0129,0.025,-0.0998,-0.1152,-0.0979,-0.0816,0.0356,-0.001,0.1891,0.1902,-0.0213,0.0706,0.0341,-0.1029,-0.1137,0.0475,0.0207,0.0931,0.2933,0.0983,0.2493,0.1339,0.0375,0.1387,0.0266,-0.0274,-0.0231,-0.0214,-0.1992,-0.0938,-0.1829,-0.0509,0.0115,0.044,0.0804,0.2058,-0.0646,0.0321
