,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06,2020-07,2020-08,2020-09,2020-10,2020-11,2020-12
A UN Equity,40.95,36.31,34.33,37.76,41.82,41.81,37.65,37.35,39.85,40.92,45.89,44.36,48.11,46.98,47.09,43.57,43.98,45.56,48.97,51.3,52.87,55.05,60.34,59.31,59.79,64.72,64.2,68.03,69.24,66.97,73.43,68.59,66.9,65.74,61.92,61.84,66.04,67.54,70.54,64.79,72.35,67.46,76.05,79.44,80.38,78.5,67.05,74.67,69.41,71.11,76.63,75.75,80.77,85.31,82.56,77.07,71.62,76.66,88.14,88.37,96.33,100.42,100.94,102.09,116.9,118.49
AAL UW Equity,174.21,175.25,38.83,46.22,41.26,42.35,38.99,41,41.01,34.69,31.91,28.31,35.5,36.3,36.61,40.6,46.44,46.69,44.25,46.36,42.3,42.62,48.41,50.32,50.44,44.74,47.49,46.82,50.49,52.03,54.32,54.25,51.96,42.93,43.54,37.96,39.54,40.48,41.33,35.08,40.16,32.11,35.77,35.63,31.76,34.18,27.23,32.61,30.51,26.31,26.97,30.06,28.74,28.68,26.84,19.05,12.19,12.01,10.5,13.07,11.12,13.05,12.29,11.28,14.13,15.77
AAP UN Equity,174.21,175.25,189.53,198.43,162.73,150.51,152.05,148.44,160.34,156.1,153.84,161.63,169.86,157.38,149.12,140.08,169.72,169.12,164.24,156.61,148.26,142.14,133.63,116.59,112.01,97.9,99.2,81.74,101,99.69,116.99,114.25,118.55,114.45,128.62,135.7,141.23,164.03,168.33,159.76,177.71,157.46,159.2,161.78,170.53,166.32,155,154.14,150.64,137.95,165.4,162.48,157.08,160.16,131.75,132.98,93.32,120.91,139.32,142.45,150.14,156.31,153.5,147.28,147.7,157.51
AAPL UW Equity,70.01,62.41,27.58,29.88,29.58,26.32,24.33,24.17,27.25,23.43,24.97,23.9,26.05,26.52,28.26,28.39,27.63,28.95,30.34,34.25,35.92,35.91,38.19,36.01,37.18,41,38.53,42.26,42.96,42.31,41.86,44.53,41.94,41.31,46.72,46.28,47.57,56.91,56.44,54.72,44.65,39.44,41.61,43.29,47.49,50.17,43.77,49.48,53.26,52.19,55.99,62.19,66.81,73.41,77.38,68.34,63.57,73.45,79.49,91.2,106.26,129.04,115.81,108.86,119.05,132.69
ABBV UN Equity,70.01,62.41,54.41,59.55,58.15,59.24,54.9,54.61,57.12,61,62.93,61.91,66.23,64.1,63.07,55.78,60.8,62.62,61.11,61.84,65.16,65.94,66.02,72.51,69.91,75.3,88.86,90.25,96.92,96.71,112.22,115.83,94.65,96.55,98.94,92.65,92.23,95.98,94.58,77.85,94.27,92.19,80.29,79.24,80.59,79.39,76.71,72.72,66.62,65.74,75.72,79.55,87.73,88.54,81.02,85.71,76.19,82.2,92.67,98.18,94.91,95.77,87.59,85.1,104.58,107.15
ABC UN Equity,105.75,100.04,94.99,96.51,98.64,103.71,89.56,86.62,86.55,85.1,74.98,79.32,85.19,86.97,80.78,70.32,77.99,78.19,87.28,91.51,88.5,82.05,91.77,94.53,93.82,80.25,82.75,76.95,84.82,91.82,99.67,95.16,86.21,90.58,82.14,85.27,81.83,89.97,92.22,88,88.9,74.4,83.37,83.3,79.52,74.76,77.86,85.26,87.15,82.27,82.33,85.38,87.91,85.02,85.56,84.32,88.5,89.66,95.34,100.77,100.19,97.03,96.92,96.07,103.11,97.76
ABMD UW Equity,50.69,45.29,92.76,73.66,81.57,90.28,85.33,80.01,94.81,97.14,99.31,109.29,117.97,117.94,128.58,104.99,112.24,112.68,106.37,117.97,125.2,130.32,137.43,143.3,148.09,150.8,168.6,192.92,194.84,187.41,235,268.18,290.99,300.95,381.14,409.05,354.53,406.58,449.75,341.2,332.68,325.04,351.07,334.5,285.59,277.41,261.92,260.49,278.56,193.07,177.89,207.58,196.18,170.59,186.29,150.26,145.16,191.25,223.9,241.56,299.94,307.62,277.06,251.88,274.1,324.2
ABT UN Equity,50.69,45.29,40.22,44.8,44.92,44.91,37.85,38.74,41.83,38.9,39.63,39.31,44.75,42.02,42.29,39.24,38.07,38.41,41.77,45.08,44.41,43.64,45.66,48.61,49.18,50.94,53.36,54.23,56.37,57.07,62.16,60.33,59.92,58.13,61.53,60.99,65.54,66.84,73.36,68.94,74.05,72.33,72.98,77.62,79.94,79.56,76.13,84.1,87.1,85.32,83.67,83.61,85.45,86.86,87.14,77.03,78.91,92.09,94.92,91.43,100.64,109.47,108.83,105.11,108.22,109.49
ACN UN Equity,103.11,94.27,98.26,107.2,107.22,104.5,105.54,100.26,115.4,112.92,118.97,113.29,112.81,115,122.17,116.24,119.43,117.13,113.87,122.5,119.88,121.3,124.47,123.68,128.82,130.76,135.07,142.36,148.01,153.09,160.7,161.01,153.5,151.2,155.74,163.59,159.33,169.07,170.2,157.62,164.52,141.01,153.55,161.38,176.02,182.67,178.07,184.77,192.58,198.17,192.35,185.42,201.16,210.57,205.21,180.59,163.26,185.19,201.62,214.72,224.78,239.93,225.99,216.91,249.09,261.21
ADBE UW Equity,47.42,44.99,82.22,88.66,91.46,93.94,89.13,85.15,93.8,94.22,99.47,95.79,97.86,102.31,108.54,107.51,102.81,102.95,113.38,118.34,130.13,133.74,141.86,141.44,146.49,155.16,149.18,175.16,181.47,175.24,199.76,209.13,216.08,221.6,249.28,243.81,244.68,263.51,269.95,245.76,250.89,226.24,247.82,262.5,266.49,289.25,270.9,294.65,298.86,284.51,276.25,277.93,309.53,329.81,351.14,345.12,318.24,353.64,386.6,435.31,444.32,513.39,490.43,447.1,478.47,500.12
ADI UW Equity,47.42,44.99,56.41,60.12,61.63,55.32,53.86,52.99,59.19,56.32,58.5,56.64,63.83,62.56,64.45,64.1,74.24,72.62,74.94,81.93,81.95,76.2,85.76,77.8,79.01,83.67,86.17,91.3,86.11,89.03,91.88,90.15,91.13,87.35,97.18,95.92,96.14,98.85,92.46,83.71,91.92,85.83,98.86,106.96,105.27,116.24,96.62,112.87,117.46,109.83,111.73,106.63,112.95,118.84,109.75,109.05,89.65,109.6,112.95,122.64,114.85,116.88,116.74,118.53,139.08,147.73
ADM UN Equity,47.42,44.99,41.45,45.66,36.49,36.68,35.35,34.96,36.31,39.94,42.77,42.89,45.08,43.76,42.17,43.57,43.23,45.65,44.26,46.97,46.04,45.75,41.58,41.38,42.18,41.32,42.51,40.87,39.88,40.08,42.95,41.52,43.37,45.38,43.72,45.83,48.26,50.4,50.27,47.25,46.02,40.97,44.9,42.5,43.13,44.6,38.32,40.8,41.08,38.05,41.07,42.04,42.93,46.35,44.76,37.65,35.18,37.14,39.31,39.9,42.83,44.76,46.49,46.24,49.77,50.41
ADP UW Equity,41.08,40.29,80.36,86.99,86.26,84.72,83.09,84.69,89.71,88.44,87.84,91.87,88.95,89.81,88.2,87.06,96.02,102.78,100.99,102.62,102.39,104.49,102.37,102.46,118.91,106.47,109.32,116.26,114.46,117.19,123.63,115.32,113.48,118.08,130.02,134.14,134.99,146.75,150.66,144.08,147.42,131.12,139.84,153.03,159.74,164.39,160.12,165.33,166.52,169.84,161.42,162.23,170.78,170.5,171.39,154.74,136.68,146.69,146.49,148.89,132.91,139.09,139.49,157.96,173.88,176.2
ADSK UW Equity,41.08,40.29,44.14,55.19,63.47,60.93,46.82,51.74,58.31,59.82,58.27,54.14,59.45,67.4,72.33,72.28,72.61,74.01,81.34,86.3,86.47,90.07,111.77,100.82,110.79,114.46,112.26,124.96,109.7,104.83,115.62,117.47,125.58,125.9,129.1,131.09,128.44,154.35,156.11,129.25,144.5,128.61,147.2,163.01,155.82,178.21,160.91,162.9,156.17,142.82,147.7,147.36,180.9,183.46,196.85,190.88,156.1,187.13,210.38,239.19,236.43,245.7,231.01,235.54,280.23,305.34
AEE UN Equity,41.08,40.29,42.27,43.68,43.76,43.23,44.92,46.95,50.1,48,49.55,53.58,52.44,49.42,49.18,49.95,49.12,52.46,52.65,54.69,54.59,54.69,56.75,54.67,56.1,59.99,57.84,61.99,63.96,58.99,56.63,54.3,56.63,58.62,59.19,60.85,62.06,63.23,63.22,64.58,68.62,65.23,69.34,71.24,73.55,72.77,73.34,75.11,75.69,77.15,80.05,77.7,74.33,76.8,82.05,79,72.83,72.75,74.73,70.36,80.24,79.11,79.08,81.12,77.78,78.06
AEP UW Equity,12.8,12,9.79,10.95,9.99,9.57,9.5,9.8,11.8,11.16,11.09,12.48,12.35,12.07,12.85,11.77,11.45,11.62,11.44,11.52,11.18,11.31,11.68,11.11,11.18,11.04,11.02,10.63,10.58,10.83,11.56,10.87,11.37,12.24,12.75,13.41,13.36,13.46,14,14.58,15.49,14.46,16.39,17.23,18.08,17.12,15.8,16.76,16.79,15.33,16.34,17.05,18.91,19.9,19.86,16.73,13.6,13.25,12.49,14.49,15.23,17.75,18.11,89.93,84.89,83.27
AES UN Equity,12.8,12,9.79,10.95,9.99,9.57,9.5,9.8,11.8,11.16,11.09,12.48,12.35,12.07,12.85,11.77,11.45,11.62,11.44,11.52,11.18,11.31,11.68,11.11,11.18,11.04,11.02,10.63,10.58,10.83,11.56,10.87,11.37,12.24,12.75,13.41,13.36,13.46,14,14.58,15.49,14.46,16.39,17.23,18.08,17.12,15.8,16.76,16.79,15.33,16.34,17.05,18.91,19.9,19.86,16.73,13.6,13.25,12.49,14.49,15.23,17.75,18.11,19.5,20.44,23.5
AFL UN Equity,32.03,29.3,29.07,31.88,32.62,29.95,28.98,29.76,31.57,34.49,34.73,36.08,36.14,37.09,35.94,34.44,35.69,34.8,34.99,36.17,36.21,37.44,37.69,38.84,39.88,41.28,40.69,41.94,43.82,43.89,44.1,44.44,43.76,45.57,45.06,43.02,46.54,46.24,47.07,43.07,45.74,45.56,47.7,49.14,50,50.38,51.3,54.81,52.64,50.18,52.32,53.16,54.84,52.9,51.57,42.85,34.24,37.24,36.47,36.03,35.57,36.32,36.35,33.95,43.93,44.47
AIG UN Equity,64.12,60.34,56.82,63.06,63.58,61.97,56.48,50.2,54.05,55.82,57.88,52.89,54.44,59.83,59.34,61.7,63.33,65.31,64.26,63.92,62.43,60.91,63.63,62.52,65.45,60.48,61.39,64.61,59.96,59.58,63.92,57.34,54.42,56,52.79,53.02,55.21,53.17,53.24,41.29,43.25,39.41,43.23,43.2,43.06,47.57,51.07,53.28,55.99,52.04,55.7,52.96,52.66,51.33,50.26,42.16,24.25,25.43,30.06,31.18,32.14,29.14,27.53,31.49,38.44,37.86
AIZ UN Equity,74.6,74.35,79.01,81.53,85.52,80.54,81.31,71.1,77.15,84.57,87.39,86.31,83.01,89.55,92.25,80.52,86.34,92.86,97.13,99,95.67,96.24,97.98,103.69,105.27,94.69,95.52,100.65,100.87,100.84,91.48,85.47,91.41,92.82,93.35,103.49,110.3,102.82,107.95,97.21,97.24,89.44,96.39,102.99,94.91,95,99.96,106.38,113.36,123,125.82,126.07,132.87,131.08,130.56,120.59,104.09,106.24,102.58,103.29,107.47,121.56,121.31,124.37,129.12,136.22
AJG UN Equity,47.43,43.72,41.28,43.73,43.75,40.94,37.64,39.85,44.48,46.04,48.33,47.6,49.19,49.41,50.87,48.23,50.35,51.96,53.83,56.95,56.54,55.81,56.73,57.25,58.79,57.9,61.55,63.33,65.83,63.28,68.32,69.11,68.73,69.99,66.28,65.28,71.35,72.14,74.44,74.01,77.07,73.7,74.71,80.28,78.1,83.62,84.2,87.59,90.43,90.71,89.57,91.22,93.27,95.23,102.57,97.49,81.51,78.5,94.28,97.49,107.49,105.3,105.58,103.71,115.41,123.71
AKAM UW Equity,54.2,45.21,69.06,60.82,57.61,52.63,45.62,53.97,55.57,50.99,54.58,55.93,50.53,54.9,52.99,69.47,66.7,66.68,68.59,62.6,59.7,60.94,47.15,49.81,47.14,47.15,48.72,52.25,55.78,65.04,66.99,67.46,70.98,71.65,75.38,73.23,75.26,75.14,73.15,72.25,68.75,61.08,65.1,69.66,71.71,80.06,75.36,80.14,88.13,89.13,91.38,86.5,87.12,86.38,93.35,86.51,91.49,97.71,105.8,107.09,112.44,116.43,110.54,95.12,103.51,104.99
ALB UN Equity,54.2,45.21,44.1,53.52,53.56,56.01,52.64,56.22,63.93,66.16,78.5,79.31,84.17,79.97,85.49,83.55,87.78,86.08,92.64,101.51,105.64,108.91,113.6,105.54,115.8,116.26,136.31,140.89,134.32,127.89,111.59,100.43,92.74,96.96,93.47,94.33,94.2,95.52,99.78,99.22,96.32,77.07,80.73,91.29,81.98,75.06,63.3,70.41,72.96,61.73,69.52,60.74,65.38,73.04,80.28,81.85,56.37,61.43,76.52,77.21,82.46,91.01,89.28,93.21,135.97,147.52
ALGN UW Equity,75.75,74.86,56.76,65.46,66.74,65.85,66.14,66.03,72.69,72.19,78.83,80.55,89.15,92.9,93.75,85.92,93.05,96.13,91.69,102.76,114.71,134.62,145.2,150.12,167.23,176.74,186.27,238.98,260.88,222.19,262,262.52,251.13,249.85,331.95,342.14,356.65,386.49,391.22,221.2,229.89,209.43,248.95,258.97,284.33,324.68,284.35,273.7,209.08,183.11,180.92,252.29,277.34,279.04,257.1,218.35,173.95,214.85,245.62,274.44,293.82,296.98,327.36,426.08,481.29,534.38
ALK UN Equity,75.75,74.86,79.45,76.25,79.73,80.51,70.4,73.9,82.02,70.43,66.4,58.29,67.22,67.53,65.86,72.22,82.27,88.73,93.82,97.82,92.22,85.09,87.05,89.76,85.23,74.66,76.27,66.03,69.17,73.51,65.73,64.5,61.96,64.93,60.81,60.39,62.83,67.49,68.86,61.42,73.26,60.85,63.95,61.7,56.12,61.9,58.2,63.91,63.36,59.72,64.91,69.43,69.01,67.75,64.59,50.46,28.47,32.52,34.19,36.26,34.44,38.95,36.63,37.89,50.97,52
ALL UN Equity,68.95,58.28,58.24,61.88,62.76,62.09,60.6,63.46,67.37,65.05,67.51,69.95,68.33,68.96,69.18,67.9,69.92,74.12,75.21,82.16,81.49,81.29,86.34,88.44,91,90.5,91.91,93.86,102.66,104.71,98.77,92.26,94.8,97.82,93.48,91.27,95.12,100.57,98.7,95.72,89.19,82.63,87.87,94.38,94.18,99.06,95.51,101.69,107.4,102.39,108.68,106.42,111.35,112.45,118.54,105.25,91.73,101.72,97.81,96.99,94.39,93,94.14,88.75,102.35,109.93
ALLE UN Equity,63.22,59.61,57.66,65.17,67.21,65.92,60.56,63,63.71,65.45,67.64,69.43,72.39,71.22,68.91,63.84,66.91,64,65.67,72.59,75.7,78.64,78.63,81.12,81.24,78.71,86.47,83.39,84.14,79.56,86.11,84.11,85.29,77.18,76.43,77.36,81.54,87.22,90.57,85.73,91.59,79.71,85.86,89.96,90.71,99.23,97.05,110.55,103.54,96.27,103.65,116.04,120.03,124.54,129.32,114.99,92.02,100.54,99.7,102.22,99.46,103.39,98.91,98.5,114.04,116.38
