,Jul-15,Aug-15,Sep-15,Oct-15,Nov-15,Dec-15,Jan-16,Feb-16,Mar-16,Apr-16,May-16,Jun-16,Jul-16,Aug-16,Sep-16,Oct-16,Nov-16,Dec-16,Jan-17,Feb-17,Mar-17,Apr-17,May-17,Jun-17,Jul-17,Aug-17,Sep-17,Oct-17,Nov-17,Dec-17,Jan-18,Feb-18,Mar-18,Apr-18,May-18,Jun-18,Jul-18,Aug-18,Sep-18,Oct-18,Nov-18,Dec-18,Jan-19,Feb-19,Mar-19,Apr-19,May-19,Jun-19,Jul-19,Aug-19,Sep-19,Oct-19,Nov-19,Dec-19,Jan-20,Feb-20,Mar-20,Apr-20,May-20,Jun-20,Jul-20,Aug-20,Sep-20,Oct-20,Nov-20,Dec-20
A UN Equity,0.059617803,-0.120258625,-0.056073578,0.095230734,0.102124353,-0.000239149,-0.104802591,-0.008000043,0.064789494,0.026496536,0.114628287,-0.033909066,0.081151893,-0.023768076,0.002338685,-0.077691824,0.009366145,0.035295153,0.072177727,0.046482886,0.030145318,0.040405793,0.091753371,-0.017217308,0.008060497,0.07923185,-0.008067062,0.057945574,0.017629946,-0.033333972,0.092087814,-0.06818582,-0.024947784,-0.017491399,-0.059864339,-0.001292825,0.065710215,0.022459396,0.04345991,-0.085028654,0.110364183,-0.069980623,0.119856189,0.043611001,0.011763369,-0.023666764,-0.157660015,0.107639795,-0.073047456,0.024197025,0.074760671,-0.011550201,0.064167165,0.054686071,-0.032766379,-0.068811202,-0.073339735,0.068005695,0.139546399,0.002606086,0.086247251,0.041581594,0.00516489,0.011328496,0.135464091,0.0135097
AAL UW Equity,0,0,0,0.174219461,-0.113519097,0.026074913,-0.082663218,0.050266864,0.000243873,-0.167364478,-0.083532021,-0.119704341,0.226317597,0.022285045,0.008503686,0.103446639,0.13439309,0.005368852,-0.053674638,0.046581647,-0.091649932,0.007536541,0.127382777,0.038696208,0.002381899,-0.119916555,0.059651206,-0.0142087,0.075464835,0.030045178,0.043072008,-0.001289491,-0.043128801,-0.19090331,0.014109174,-0.137147082,0.040779844,0.023495207,0.020780604,-0.163957461,0.135240308,-0.223703967,0.107942045,-0.003921574,-0.114980343,0.073433041,-0.227321371,0.180299683,-0.066564491,-0.148105404,0.024776042,0.108470247,-0.044905504,-0.002089865,-0.066306704,-0.342826211,-0.446451158,-0.014876307,-0.134364379,0.21894427,-0.161574239,0.160042845,-0.06000221,-0.085754678,0.225268951,0.109809204
AAP UN Equity,0.089535028,0.005952058,0.078333797,0.04588907,-0.198344007,-0.078062859,0.010179887,-0.024028578,0.077115724,-0.026799733,-0.014583726,0.049396671,0.049664796,-0.076311305,-0.053911912,-0.062537663,0.191936332,-0.003541498,-0.029279749,-0.047570134,-0.054791149,-0.042155002,-0.061737701,-0.13641128,-0.040075354,-0.134641603,0.013191465,-0.193594536,0.211577039,-0.013055146,0.16002309,-0.023699431,0.036945783,-0.035196766,0.116724274,0.053584246,0.0399432,0.149659571,0.025877001,-0.052253649,0.106480319,-0.12098155,0.010989816,0.016076114,0.052673847,-0.024997591,-0.070488527,-0.005563837,-0.022968396,-0.088001584,0.181475482,-0.017811865,-0.033799688,0.019418086,-0.195267128,0.009292554,-0.354164294,0.25901202,0.141726978,0.022217615,0.052577131,0.040273023,-0.018140648,-0.04136503,0.002847653,0.064305759
AAPL UW Equity,0,0,0,0.080098488,-0.010090903,-0.116769351,-0.07861895,-0.006597962,0.119941326,-0.151036269,0.063657852,-0.043796645,0.086139309,0.017881397,0.063548212,0.004589593,-0.027134832,0.046668065,0.04689677,0.121219591,0.047607679,-0.000278435,0.061557893,-0.058777024,0.031974305,0.097801084,-0.062134908,0.092403854,0.016428438,-0.015245985,-0.010692748,0.061832402,-0.059923094,-0.015135424,0.123067737,-0.009462436,0.027492408,0.179268762,-0.008292946,-0.030948854,-0.203374966,-0.124073778,0.053559993,0.039581138,0.092597501,0.054898076,-0.136468587,0.122619896,0.073617033,-0.020294675,0.070282198,0.105021112,0.071658555,0.094207396,0.052668183,-0.124233103,-0.072353586,0.144463242,0.079026325,0.137423669,0.152834024,0.194233513,-0.108171517,-0.061888264,0.08948092,0.108472008
ABBV UN Equity,0.041113662,-0.11491257,-0.137177558,0.090268335,-0.023790417,0.01857111,-0.076083641,-0.005296332,0.044937302,0.065719546,0.031149133,-0.01634128,0.067451815,-0.032689169,-0.016199143,-0.122829838,0.086174407,0.029494927,-0.024409197,0.011874885,0.052295379,0.011899454,0.001212489,0.093766757,-0.036515783,0.074271434,0.165581963,0.0155215,0.071302299,-0.002169086,0.148744421,0.031662369,-0.201937721,0.019875131,0.024452597,-0.065684653,-0.004543495,0.039854379,-0.014693799,-0.194662139,0.191379107,-0.022311341,-0.138206585,-0.013163858,0.016893351,-0.015002157,-0.034340338,-0.053415628,-0.087611617,-0.013297265,0.141334758,0.049343428,0.097878161,0.009190511,-0.08875839,0.056273467,-0.117739284,0.075925082,0.119889494,0.057757733,-0.033873454,0.009020409,-0.089282647,-0.028839801,0.206125293,0.024277393
ABC UN Equity,-0.00556369,-0.055507712,-0.051798483,0.015875007,0.021830229,0.050121684,-0.146689751,-0.033378056,-0.000808454,-0.016895246,-0.126605624,0.056268892,0.071393752,0.020679176,-0.073833821,-0.138673157,0.10352436,0.002561149,0.109979579,0.047326914,-0.033445704,-0.075673734,0.111956629,0.029631798,-0.007539192,-0.156231291,0.030677252,-0.072668154,0.097375504,0.079298775,0.08203459,-0.046305044,-0.098773505,0.049447258,-0.09780833,0.037397584,-0.041178768,0.094832357,0.024700745,-0.046840212,0.010175328,-0.178056201,0.113832591,-0.000839983,-0.046439987,-0.06172558,0.04062936,0.090793069,0.021925361,-0.057624251,0.00072904,0.03637632,0.029201683,-0.033427041,0.006331361,-0.014598799,0.048383467,0.013022187,0.061424711,0.055391243,-0.005772309,-0.032048174,-0.001134313,-0.008808804,0.070719287,-0.053280884
ABMD UW Equity,0,0,0,-0.230555601,0.102001636,0.101454405,-0.056389859,-0.064374466,0.169723262,0.024278348,0.022093034,0.095758629,0.076425455,-0.000254334,0.086375258,-0.202686171,0.066774328,0.003912507,-0.057628361,0.103506773,0.059482104,0.040080506,0.053121732,0.041825638,0.032879862,0.018134259,0.11157459,0.13474655,0.009903114,-0.038879979,0.226286784,0.132072883,0.081630505,0.033655236,0.236222624,0.070670636,-0.143044429,0.136987743,0.100911161,-0.276223057,-0.025287749,-0.023232815,0.077037382,-0.048348754,-0.158079664,-0.02906066,-0.057457443,-0.005474641,0.067069003,-0.366580659,-0.081887436,0.154351426,-0.056484202,-0.139769588,0.088041583,-0.214937472,-0.034530545,0.27574489,0.157618051,0.075918366,0.216464565,0.0252828,-0.104631166,-0.095281306,0.08454022,0.167867606
ABT UN Equity,0.032277033,-0.112642395,-0.118721873,0.107843755,0.00267499,-0.000222643,-0.171029507,0.023241678,0.076741127,-0.072619535,0.018592157,-0.008107468,0.129612505,-0.062945749,0.006404956,-0.074854017,-0.030270064,0.008891272,0.083860536,0.076260311,-0.01497402,-0.017490508,0.04524848,0.06260663,0.011657766,0.035161433,0.046412932,0.016172859,0.038702841,0.012341482,0.085433122,-0.029882214,-0.006819153,-0.030328457,0.056842979,-0.008814944,0.071950727,0.01964106,0.093077124,-0.062142267,0.07150398,-0.02350156,0.00894645,0.061639695,0.029451227,-0.004764899,-0.044069049,0.099564162,0.035050317,-0.02064799,-0.019528403,-0.00071736,0.021768279,0.016366218,0.003218394,-0.123321064,0.024113006,0.154458397,0.030268072,-0.037460779,0.095976141,0.084100746,-0.005863507,-0.034779611,0.029158771,0.011667029
ACN UN Equity,0.063356018,-0.089633374,0.041454021,0.087079222,0.00018655,-0.025695727,0.009902957,-0.051323216,0.140637542,-0.021724751,0.052191757,-0.048920458,-0.004245915,0.019227141,0.060481389,-0.049756498,0.027073406,-0.019445997,-0.028226982,0.073053583,-0.021619788,0.011775574,0.025797907,-0.006367138,0.040718496,0.014947501,0.032429581,0.052565898,0.038920778,0.033746145,0.048513289,0.001927202,-0.047765908,-0.015097103,0.029584486,0.049175347,-0.026385775,0.059335307,0.006661386,-0.076787143,0.04284507,-0.154201334,0.085195437,0.049735586,0.086835793,0.037083621,-0.025504515,0.036935077,0.041399843,0.028613596,-0.029808619,-0.036693107,0.081477089,0.045717528,-0.025784294,-0.127804577,-0.100885246,0.126038303,0.085002413,0.062950116,0.045787292,0.065225068,-0.059856464,-0.04100823,0.138331756,0.047510405
ADBE UW Equity,0,0,0,0.075410248,0.031092889,0.026754562,-0.052560302,-0.045681571,0.096750449,0.004467617,0.054223618,-0.037697796,0.02137959,0.044469534,0.059111349,-0.009534902,-0.044701242,0.001360809,0.096501575,0.042816828,0.094972114,0.027363666,0.058943039,-0.002965057,0.035081568,0.057499676,-0.039303212,0.160546211,0.035390509,-0.034933888,0.130960183,0.045839422,0.032692641,0.025225245,0.117702808,-0.022187529,0.003562001,0.074140084,0.024145439,-0.093881307,0.020659146,-0.103418213,0.091106293,0.057548406,0.015085637,0.081954647,-0.065541617,0.084038462,0.014187025,-0.049206834,-0.02946215,0.006063031,0.107685735,0.063461713,0.062668273,-0.017292822,-0.081086368,0.105473631,0.08911112,0.118667854,0.020486603,0.144490767,-0.045753233,-0.092500274,0.06781123,0.044254557
