,industry,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06,2020-07,2020-08,2020-09,2020-10,2020-11,2020-12
CDW UW Equity,1,-0.661811556,-0.688034313,-0.681346889,-0.683329663,-0.637891936,-0.690735746,-0.688945442,-0.556537045,-0.683338111,-0.66644597,-0.389681985,-0.581011666,-0.635909223,-0.625251156,-0.692461642,-0.697295187,-0.688805921,-0.662258144,-0.72111249,-0.645066521,-0.646974298,-0.755991598,-0.669662551,-0.66060188,-0.695428598,-0.581720318,-0.615630828,-0.650552636,-0.572599183,-0.538409449,-0.570844664,-0.59329193,-0.562497853,-0.531834866,-0.577478819,-0.589547006,-0.576723744,-0.448096545,-0.481228082,-0.511446152,-0.531287866,-0.406737098,-0.434226851,-0.403937985,-0.383299838,-0.413649372,-0.38730994,-0.378185619,-0.431615072,-0.446812398,-0.472771543,-0.434335859,-0.423986182,-0.429019735,-0.38682931,-0.42589611,0.591120545,-0.195362825,-0.305967927,-0.208042017,-0.250313508,-0.253083136,-0.288471997,-0.339250042,-0.368492313,-0.320777849,-0.279513086,-0.256269483,-0.246418798,-0.318534564,-0.313653404,-0.310567454
HPQ UN Equity,1,0.303134951,0.542732471,0.518983426,0.276642211,0.406780959,0.492140247,0.278379443,0.307674033,0.519091326,0.450373743,0.154846892,0.057940674,-0.191573591,-0.329472836,-0.240368106,-0.222017776,-0.275009852,-0.307898772,-0.290122778,-0.104707134,-0.27667099,-0.267040517,-0.138876801,-0.289142621,-0.193644075,-0.044390421,-0.219713339,-0.126682155,-0.105186374,-0.193840713,-0.207319772,-0.111778114,-0.233934716,-0.161418001,-0.075207035,-0.156687637,-0.230498404,-0.143695974,-0.080374162,-0.256355084,-0.209237694,-0.182045504,-0.276880689,-0.237685085,-0.109914634,-0.165694992,-0.195240912,-0.116288512,-0.222063874,-0.211533255,-0.065307938,-0.282286662,-0.253749562,-0.32630994,-0.357992796,-0.312661703,-0.181873584,0.003956713,0.112897228,-0.192253084,-0.251857024,-0.167707039,-0.317376837,-0.272718485,-0.327131934,-0.250952915,-0.222504006,-0.148262964,-0.154705799,-0.191709297,-0.291708089,-0.214803493
TDY UN Equity,1,-0.649725115,-0.578333005,-0.701572612,-0.699677861,-0.757069759,-0.751128714,-0.712198401,-0.712407007,-0.753882928,-0.719178554,-0.725832928,-0.72840068,-0.71691594,-0.747568005,-0.773211265,-0.772461189,-0.842105861,-0.834184764,-0.813380325,-0.840317152,-0.784825155,-0.811378454,-0.767582004,-0.720665545,-0.768534784,-0.77870945,-0.786761652,-0.777607041,-0.736030122,-0.559882975,-0.668728464,-0.703364779,-0.701571855,-0.71373558,-0.70847914,-0.666072384,-0.678464555,-0.610596391,-0.577218571,-0.577599964,-0.657532829,-0.637479995,-0.572169432,-0.53513374,-0.564657194,-0.535063087,-0.605629748,-0.59283818,-0.585439205,-0.682381886,-0.59557717,-0.570352216,-0.593195714,-0.615193026,-0.594904157,-0.646411167,-0.62162929,-0.556099107,-0.369518326,-0.48733946,-0.456351109,-0.466170004,-0.48610711,-0.454059362,-0.448261502,-0.196658663,-0.344058791,-0.338003597,-0.363998191,-0.413692063,-0.462458032,-0.393460294
IBM UN Equity,1,1.405492066,1.187058898,1.967080841,1.52528642,1.047888326,1.738215528,1.501832152,1.316806673,1.332613075,1.464444288,1.307608538,1.430343894,1.46629146,1.089681441,1.730826009,1.549508686,1.626690249,1.422766856,1.60569811,1.470674523,1.372282708,1.335231926,1.276531954,1.310238658,1.972947891,1.280037069,1.324652068,1.734352087,1.447077114,1.060215126,1.176280667,0.917406104,1.098949054,1.595573942,1.016458924,1.153518128,1.638514296,0.742294987,0.682235966,0.978086908,0.844839714,0.752379393,0.725122883,0.455390757,1.249549561,0.951747436,0.809601643,0.572570114,0.70536406,0.560804195,0.474429012,0.499541176,0.417853055,0.467222373,0.517694835,0.575802733,0.422078895,0.662188215,0.490926297,0.488040989,0.535927103,0.633963244,0.494637579,0.398727572,0.295800106,0.293833707,0.171351458,0.102464398,0.088767072,0.480945854,0.31242209,0.270460669
APH UN Equity,1,-0.534583815,-0.581533125,-0.501445285,-0.507477562,-0.614155569,-0.566314249,-0.522438343,-0.549684329,-0.507409652,-0.538726788,-0.554020117,-0.584009981,-0.479519317,-0.557491501,-0.552059822,-0.491759097,-0.558060719,-0.547613837,-0.50631861,-0.497684473,-0.436175896,-0.414886079,-0.495480217,-0.520753547,-0.535662408,-0.444799045,-0.553511847,-0.545149258,-0.509288596,-0.437667228,-0.447217871,-0.357270243,-0.477416143,-0.388827382,-0.298212228,-0.432691957,-0.339129537,-0.340762318,-0.418386469,-0.347438035,-0.446127211,-0.420652194,-0.422006083,-0.387203157,-0.375970303,-0.338305702,-0.407174001,-0.412593382,-0.395995212,-0.459785052,-0.477968692,-0.392897826,-0.370726706,-0.42450869,-0.388129133,-0.454751442,-0.459285617,-0.392019773,-0.422241477,-0.436056569,-0.381541175,-0.334683755,-0.346954062,-0.318193133,-0.410402556,-0.361249869,-0.275464559,-0.267712475,-0.254856994,-0.247442578,-0.334763199,-0.271228786
WU UN Equity,1,-0.47694662,-0.423981727,-0.38963259,-0.381064151,-0.282916624,-0.427262291,-0.422516567,-0.471933346,-0.464513491,-0.466280738,-0.504124029,-0.546935302,-0.512886477,-0.48481736,-0.487746263,-0.506463417,-0.545844476,-0.616012257,-0.646582647,-0.597550863,-0.53384947,-0.583083133,-0.578924881,-0.551144834,-0.369602343,-0.400532668,-0.507810729,-0.541907743,-0.575327872,-0.543067002,-0.604811233,-0.585203956,-0.584498348,-0.591905669,-0.565291172,-0.4732306,-0.436515505,-0.444956873,-0.400413071,-0.476404208,-0.541672609,-0.515132928,-0.480343754,-0.420988281,-0.450737295,-0.473489116,-0.483009558,-0.498836806,-0.483399227,-0.458465085,-0.447215446,-0.464299622,-0.445403392,-0.457373554,-0.515138912,-0.439978609,-0.376588516,-0.403623765,-0.077110645,-0.379197782,-0.338061172,-0.29233607,-0.388413468,-0.405271328,-0.379893333,-0.397934675,-0.297143136,-0.28429876,-0.357455074,-0.373894275,-0.442888459,-0.363755942
ACN UN Equity,1,0.077553574,0.087637348,0.248820989,0.14226535,0.135836095,0.176257112,0.157181618,0.268979079,0.382680994,0.245966274,0.264911724,0.241020911,0.252380405,0.206613771,0.513535614,0.252794849,0.061582243,0.243345757,0.333258835,0.17698953,0.29125501,0.362297729,0.278348457,0.285244113,0.277737815,0.104891001,0.362844827,0.079471587,-0.04066165,0.107337275,-0.000512139,-0.077940584,0.156016649,0.088731732,0.035417122,0.190541008,0.175780648,0.107867782,0.273955303,0.037295924,0.106858481,0.538261872,0.159798324,0.016951098,0.099295616,0.032650372,0.118140546,0.1429752,-0.00068306,0.050644519,0.113512145,0.10222323,0.102595068,0.319609468,0.17879543,0.304653478,0.330191054,0.322322741,0.193650778,0.284376069,0.388763835,0.186608193,0.351422274,0.186254212,0.169284897,0.203485489,0.078896243,0.11683731,0.209301637,0.179865686,0.199343219,0.306282247
PTC UW Equity,1,-0.636364139,-0.700492111,-0.703001122,-0.657404567,-0.691276559,-0.708005513,-0.631202569,-0.659006243,-0.689571331,-0.681831535,-0.678491863,-0.702886531,-0.683251857,-0.728657863,-0.764865773,-0.706617378,-0.777452395,-0.711596161,-0.675727666,-0.735927616,-0.712332874,-0.574149549,-0.576093183,-0.627216872,-0.507995402,-0.596144202,-0.524574922,-0.534727239,-0.539697433,-0.508696886,-0.402843847,-0.599105829,-0.62214896,-0.514102715,-0.552559052,-0.603879343,-0.507973965,-0.520667437,-0.466090063,-0.378965161,-0.483209781,-0.414628346,-0.365246048,-0.375902432,-0.317825663,-0.258728409,-0.246266355,-0.388203974,-0.315445002,-0.419200186,-0.425882201,-0.327008747,-0.393241223,-0.466488694,-0.313288922,-0.505563045,-0.596997239,-0.466837459,-0.585437971,-0.601763663,-0.492420682,-0.488136582,-0.470834971,-0.452611983,-0.483771912,-0.496527136,-0.316508823,-0.311852298,-0.32271016,-0.366035908,-0.448003995,-0.386920226
VRSN UW Equity,1,-0.484779047,-0.436188415,-0.548611934,-0.478444372,-0.558600365,-0.549244547,-0.470726917,-0.460238944,-0.555182282,-0.475340737,-0.411582014,-0.393760353,-0.441488721,-0.426155903,-0.478217705,-0.464267498,-0.531244694,-0.624648535,-0.476451113,-0.36623804,-0.396581232,-0.453654274,-0.577438019,-0.533289622,-0.582939533,-0.504404631,-0.53523021,-0.525304772,-0.495678338,-0.51125474,-0.424336214,-0.492855512,-0.50067312,-0.453362068,-0.297562021,-0.431741748,-0.438403012,-0.342490897,-0.289627984,-0.240728553,-0.235959348,-0.193173139,-0.328441518,-0.268057672,-0.197265155,-0.293172777,-0.18356552,-0.189251924,-0.282548627,-0.308808625,-0.300155233,-0.238020985,-0.295745361,-0.240693436,-0.137225374,-0.29032507,-0.229883551,-0.252113381,-0.305461679,-0.324018183,-0.322001534,-0.252697233,-0.266008803,-0.193873569,-0.287861635,-0.292235024,-0.161505105,-0.152192062,-0.140894887,-0.235854604,-0.326575541,-0.276765522
CSCO UW Equity,1,2.461647196,2.51751907,2.367012602,1.866765255,2.599625635,2.041177352,1.515652723,2.158968217,1.731478126,1.398675083,1.891999896,1.435755724,1.705470329,1.578145871,1.434265579,1.317225821,1.984369688,1.618145639,1.702514889,2.043819818,1.560791221,1.248011631,1.709578772,1.569586369,1.195613244,1.944291472,1.39963906,1.348149949,2.049732451,1.25005,1.003737377,1.619213145,1.41657969,0.988642977,1.716537089,1.592084922,1.735222222,2.355175271,2.185485106,1.797308333,2.42236395,1.938916021,1.581708645,1.621675031,1.739578264,1.684003246,2.325592876,2.58243842,1.808438189,2.650976694,2.165977145,1.844298195,2.977235453,3.706837012,1.839355091,2.687979563,2.138624404,1.755804557,1.965268883,1.634079583,1.152782645,1.329115567,1.621507319,1.120822958,1.379825098,1.461298131,0.771487782,0.888844198,0.901407628,1.01777725,1.284999191,0.750174379
INTC UW Equity,1,3.371181139,2.249612789,3.650846756,2.439611851,2.602103295,2.987395981,2.663203582,2.073619251,2.462755552,2.2760706,1.82635727,1.795595342,1.932103245,1.585402253,1.850003535,1.969881673,1.709775395,1.797149997,2.531051493,1.739154021,2.226693786,2.102806602,1.214862328,1.749148219,1.850964529,2.106288605,1.872075174,2.028205945,1.619323435,1.498024692,1.666524964,1.935447264,1.716866778,2.429886428,2.668801442,3.22810779,3.621601949,2.280430866,2.713642981,2.90979654,2.89795994,3.08944363,2.149180336,2.020594322,1.88525032,2.084894126,2.241657219,2.417332181,2.380041487,2.346222196,2.257632386,2.56067947,2.850142612,2.035477432,2.041060398,2.698235994,2.616667809,2.591827942,2.218671305,2.728677636,2.639624364,1.949619228,2.73963399,2.407759663,1.831618473,2.607152077,2.081579376,1.490055089,1.642160639,2.135539075,1.892351027,2.234805846
