,industry,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06,2020-07,2020-08,2020-09,2020-10,2020-11,2020-12
CDW UW Equity,1,-0.169465401,-0.169465401,-0.169465401,-0.214756484,-0.214756484,-0.214756484,-0.337806729,-0.337806729,-0.337806729,-0.293630668,-0.293630668,-0.293630668,-0.321189513,-0.321189513,-0.321189513,-0.345336491,-0.345336491,-0.345336491,-0.333172936,-0.333172936,-0.333172936,-0.292067169,-0.292067169,-0.292067169,-0.325671499,-0.325671499,-0.325671499,-0.363664736,-0.363664736,-0.363664736,-0.34198741,-0.34198741,-0.34198741,-0.336462349,-0.336462349,-0.336462349,-0.325927337,-0.325927337,-0.325927337,-0.30924472,-0.30924472,-0.30924472,-0.281054126,-0.281054126,-0.281054126,-0.286403566,-0.286403566,-0.286403566,-0.318365711,-0.318365711,-0.318365711,-0.328450673,-0.328450673,-0.328450673,-0.282490635,-0.282490635,-0.282490635,-0.33359766,-0.33359766,-0.33359766,-0.347259734,-0.347259734,-0.347259734,-0.255465943,-0.255465943,-0.255465943,-0.263888463,-0.263888463,-0.263888463,-0.200349877,-0.200349877,-0.200349877
HPQ UN Equity,1,-0.571833098,-0.571833098,-0.571833098,-0.578733579,-0.578733579,-0.578733579,-0.620178843,-0.620178843,-0.620178843,-0.47005364,-0.47005364,-0.47005364,-0.68626863,-0.68626863,-0.68626863,-0.708985494,-0.708985494,-0.708985494,-0.662191701,-0.662191701,-0.662191701,-0.609769265,-0.609769265,-0.609769265,-0.633855224,-0.633855224,-0.633855224,-0.592219356,-0.592219356,-0.592219356,-0.602885021,-0.602885021,-0.602885021,-0.580380808,-0.580380808,-0.580380808,-0.622956258,-0.622956258,-0.622956258,-0.674680657,-0.674680657,-0.674680657,-0.684673834,-0.684673834,-0.684673834,-0.677442406,-0.677442406,-0.677442406,-0.692748481,-0.692748481,-0.692748481,-0.702615264,-0.702615264,-0.702615264,-0.671897078,-0.671897078,-0.671897078,-0.671837129,-0.671837129,-0.671837129,-0.777962618,-0.777962618,-0.777962618,-0.764308893,-0.764308893,-0.764308893,-0.858549402,-0.858549402,-0.858549402,-0.881601077,-0.881601077,-0.881601077
TDY UN Equity,1,-0.091166823,-0.091166823,-0.091166823,-0.126790278,-0.126790278,-0.126790278,0.117090868,0.117090868,0.117090868,0.142968801,0.142968801,0.142968801,0.134723969,0.134723969,0.134723969,0.129197082,0.129197082,0.129197082,-0.186844627,-0.186844627,-0.186844627,-0.098717982,-0.098717982,-0.098717982,-0.149979291,-0.149979291,-0.149979291,-0.134382446,-0.134382446,-0.134382446,0.06794713,0.06794713,0.06794713,0.028720018,0.028720018,0.028720018,0.054564814,0.054564814,0.054564814,0.109424287,0.109424287,0.109424287,0.067056961,0.067056961,0.067056961,-0.137599114,-0.137599114,-0.137599114,-0.125777079,-0.125777079,-0.125777079,-0.058631432,-0.058631432,-0.058631432,-0.166225528,-0.166225528,-0.166225528,0.032237637,0.032237637,0.032237637,0.059112767,0.059112767,0.059112767,0.113873336,0.113873336,0.113873336,0.412148036,0.412148036,0.412148036,0,0,0
IBM UN Equity,1,-0.462228269,-0.462228269,-0.462228269,-0.48420374,-0.48420374,-0.48420374,-0.487700141,-0.487700141,-0.487700141,-0.460997308,-0.460997308,-0.460997308,-0.371697706,-0.371697706,-0.371697706,-0.429882338,-0.429882338,-0.429882338,-0.484706311,-0.484706311,-0.484706311,-0.444352325,-0.444352325,-0.444352325,-0.479234805,-0.479234805,-0.479234805,-0.41513087,-0.41513087,-0.41513087,-0.31105146,-0.31105146,-0.31105146,-0.347239818,-0.347239818,-0.347239818,-0.307515335,-0.307515335,-0.307515335,-0.339354238,-0.339354238,-0.339354238,-0.352422355,-0.352422355,-0.352422355,-0.339914144,-0.339914144,-0.339914144,-0.265882145,-0.265882145,-0.265882145,0.091827094,0.091827094,0.091827094,-0.459338328,-0.459338328,-0.459338328,-0.503060437,-0.503060437,-0.503060437,-0.600878379,-0.600878379,-0.600878379,-0.572105467,-0.572105467,-0.572105467,-0.653132026,-0.653132026,-0.653132026,-0.702193569,-0.702193569,-0.702193569
APH UN Equity,1,1.197200701,1.197200701,1.197200701,1.124224509,1.124224509,1.124224509,1.150481148,1.150481148,1.150481148,1.348584283,1.348584283,1.348584283,0.58038844,0.58038844,0.58038844,0.716070402,0.716070402,0.716070402,0.282930829,0.282930829,0.282930829,0.271221043,0.271221043,0.271221043,0.349048598,0.349048598,0.349048598,0.297919852,0.297919852,0.297919852,0.767391717,0.767391717,0.767391717,0.777024023,0.777024023,0.777024023,-0.01820321,-0.01820321,-0.01820321,-0.061522327,-0.061522327,-0.061522327,-0.081063034,-0.081063034,-0.081063034,0.110071762,0.110071762,0.110071762,0.587850528,0.587850528,0.587850528,0.264389456,0.264389456,0.264389456,0.213900495,0.213900495,0.213900495,0.225332199,0.225332199,0.225332199,0.647293853,0.647293853,0.647293853,0.56531251,0.56531251,0.56531251,0.400879327,0.400879327,0.400879327,0.587643265,0.587643265,0.587643265
WU UN Equity,1,-0.505925203,-0.505925203,-0.505925203,-0.530284499,-0.530284499,-0.530284499,-0.568005219,-0.568005219,-0.568005219,-0.545031649,-0.545031649,-0.545031649,-0.563883392,-0.563883392,-0.563883392,-0.567396666,-0.567396666,-0.567396666,-0.5479002,-0.5479002,-0.5479002,-0.68710894,-0.68710894,-0.68710894,-0.652812787,-0.652812787,-0.652812787,-0.622781508,-0.622781508,-0.622781508,-0.587018729,-0.587018729,-0.587018729,-0.705260384,-0.705260384,-0.705260384,-0.677718426,-0.677718426,-0.677718426,-0.661686758,-0.661686758,-0.661686758,-0.693694895,-0.693694895,-0.693694895,-0.673714528,-0.673714528,-0.673714528,-0.503063196,-0.503063196,-0.503063196,-0.589199718,-0.589199718,-0.589199718,-0.553256183,-0.553256183,-0.553256183,-0.544149252,-0.544149252,-0.544149252,-0.641035321,-0.641035321,-0.641035321,-0.643768313,-0.643768313,-0.643768313,-0.717905596,-0.717905596,-0.717905596,-0.686168463,-0.686168463,-0.686168463
ACN UN Equity,1,-0.350646204,-0.350646204,-0.350646204,-0.395087207,-0.395087207,-0.395087207,-0.479380563,-0.479380563,-0.479380563,-0.451519751,-0.451519751,-0.451519751,-0.347381427,-0.347381427,-0.347381427,-0.340825439,-0.340825439,-0.340825439,-0.377672577,-0.377672577,-0.377672577,-0.422732041,-0.422732041,-0.422732041,-0.399598946,-0.399598946,-0.399598946,-0.433256475,-0.433256475,-0.433256475,-0.430679321,-0.430679321,-0.430679321,-0.405368619,-0.405368619,-0.405368619,-0.350363855,-0.350363855,-0.350363855,-0.359613542,-0.359613542,-0.359613542,-0.332270469,-0.332270469,-0.332270469,-0.304965291,-0.304965291,-0.304965291,-0.26751993,-0.26751993,-0.26751993,-0.281727736,-0.281727736,-0.281727736,-0.229480874,-0.229480874,-0.229480874,-0.217649445,-0.217649445,-0.217649445,-0.269386763,-0.269386763,-0.269386763,-0.332641314,-0.332641314,-0.332641314,-0.349479037,-0.349479037,-0.349479037,-0.268686823,-0.268686823,-0.268686823
PTC UW Equity,1,-0.539867769,-0.539867769,-0.539867769,-0.621363356,-0.621363356,-0.621363356,-0.666148036,-0.666148036,-0.666148036,-0.530288782,-0.530288782,-0.530288782,-0.52938509,-0.52938509,-0.52938509,-0.501113305,-0.501113305,-0.501113305,-0.595258962,-0.595258962,-0.595258962,-0.609841817,-0.609841817,-0.609841817,-0.658168827,-0.658168827,-0.658168827,-0.593343937,-0.593343937,-0.593343937,-0.62658488,-0.62658488,-0.62658488,-0.590115296,-0.590115296,-0.590115296,-0.544231409,-0.544231409,-0.544231409,-0.603842951,-0.603842951,-0.603842951,-0.662412185,-0.662412185,-0.662412185,-0.668899353,-0.668899353,-0.668899353,-0.174389517,-0.174389517,-0.174389517,-0.29620956,-0.29620956,-0.29620956,-0.336985264,-0.336985264,-0.336985264,-0.345032395,-0.345032395,-0.345032395,-0.432927876,-0.432927876,-0.432927876,-0.508968663,-0.508968663,-0.508968663,-0.461391937,-0.461391937,-0.461391937,-0.479315658,-0.479315658,-0.479315658
VRSN UW Equity,1,-0.653558887,-0.653558887,-0.653558887,-0.673195751,-0.673195751,-0.673195751,-0.676653265,-0.676653265,-0.676653265,-0.41255646,-0.41255646,-0.41255646,-0.412157851,-0.412157851,-0.412157851,-0.414311932,-0.414311932,-0.414311932,-0.478841449,-0.478841449,-0.478841449,-0.443917018,-0.443917018,-0.443917018,-0.453652666,-0.453652666,-0.453652666,-0.442120823,-0.442120823,-0.442120823,-0.207953753,-0.207953753,-0.207953753,-0.182866034,-0.182866034,-0.182866034,-0.185535819,-0.185535819,-0.185535819,-0.329783463,-0.329783463,-0.329783463,-0.321648898,-0.321648898,-0.321648898,-0.258910468,-0.258910468,-0.258910468,-0.235062008,-0.235062008,-0.235062008,-0.246895139,-0.246895139,-0.246895139,-0.263410091,-0.263410091,-0.263410091,-0.270096764,-0.270096764,-0.270096764,-0.377810506,-0.377810506,-0.377810506,-0.433998302,-0.433998302,-0.433998302,-0.494423877,-0.494423877,-0.494423877,-0.472316187,-0.472316187,-0.472316187
CSCO UW Equity,1,0.914389925,0.914389925,0.914389925,0.673566867,0.673566867,0.673566867,0.908860865,0.908860865,0.908860865,1.017291005,1.017291005,1.017291005,0.9117731,0.9117731,0.9117731,1.008852233,1.008852233,1.008852233,0.950132205,0.950132205,0.950132205,1.275911299,1.275911299,1.275911299,1.280294824,1.280294824,1.280294824,1.085391399,1.085391399,1.085391399,0.766395925,0.766395925,0.766395925,0.723623402,0.723623402,0.723623402,0.409063551,0.409063551,0.409063551,0.375869071,0.375869071,0.375869071,0.358204414,0.358204414,0.358204414,0.2989509,0.2989509,0.2989509,0.066141549,0.066141549,0.066141549,-0.011374955,-0.011374955,-0.011374955,-0.14840712,-0.14840712,-0.14840712,0.01295105,0.01295105,0.01295105,0.073207066,0.073207066,0.073207066,-0.165428009,-0.165428009,-0.165428009,-0.075589202,-0.075589202,-0.075589202,-0.140025483,-0.140025483,-0.140025483
