,industry,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06,2020-07,2020-08,2020-09,2020-10,2020-11,2020-12
CDW UW Equity,1,-0.445244427,-0.445244427,-0.445244427,-0.547967286,-0.547967286,-0.547967286,-0.678592162,-0.678592162,-0.678592162,-0.711342616,-0.711342616,-0.711342616,-0.585325438,-0.585325438,-0.585325438,-0.679254468,-0.679254468,-0.679254468,-0.665713586,-0.665713586,-0.665713586,-0.599511385,-0.599511385,-0.599511385,-0.603766591,-0.603766591,-0.603766591,-0.664731431,-0.664731431,-0.664731431,-0.65500965,-0.65500965,-0.65500965,-0.64248829,-0.64248829,-0.64248829,-0.603394092,-0.603394092,-0.603394092,-0.632227149,-0.632227149,-0.632227149,-0.597119527,-0.597119527,-0.597119527,-0.603037085,-0.603037085,-0.603037085,-0.558886669,-0.558886669,-0.558886669,-0.59456815,-0.59456815,-0.59456815,-0.597350811,-0.597350811,-0.597350811,-0.610421638,-0.610421638,-0.610421638,-0.67838344,-0.67838344,-0.67838344,-0.529367589,-0.529367589,-0.529367589,-0.541893642,-0.541893642,-0.541893642,-0.487180021,-0.487180021,-0.487180021
HPQ UN Equity,1,-0.453952726,-0.453952726,-0.453952726,-0.42098299,-0.42098299,-0.42098299,-0.399407038,-0.399407038,-0.399407038,-0.56163619,-0.56163619,-0.56163619,-0.505385802,-0.505385802,-0.505385802,-0.469660876,-0.469660876,-0.469660876,-0.424464415,-0.424464415,-0.424464415,-0.391383313,-0.391383313,-0.391383313,-0.391866324,-0.391866324,-0.391866324,-0.395786322,-0.395786322,-0.395786322,-0.414943131,-0.414943131,-0.414943131,-0.414200076,-0.414200076,-0.414200076,-0.466016757,-0.466016757,-0.466016757,-0.489863906,-0.489863906,-0.489863906,-0.446821681,-0.446821681,-0.446821681,-0.461253093,-0.461253093,-0.461253093,-0.506667782,-0.506667782,-0.506667782,-0.496112822,-0.496112822,-0.496112822,-0.446696973,-0.446696973,-0.446696973,-0.470331907,-0.470331907,-0.470331907,-0.5518339,-0.5518339,-0.5518339,-0.63543416,-0.63543416,-0.63543416,-0.699804123,-0.699804123,-0.699804123,-0.706335841,-0.706335841,-0.706335841
TDY UN Equity,1,-0.520222877,-0.520222877,-0.520222877,-0.62322071,-0.62322071,-0.62322071,-0.564614203,-0.564614203,-0.564614203,-0.527556679,-0.527556679,-0.527556679,-0.51179483,-0.51179483,-0.51179483,-0.56371053,-0.56371053,-0.56371053,-0.540603938,-0.540603938,-0.540603938,-0.52252208,-0.52252208,-0.52252208,-0.600971073,-0.600971073,-0.600971073,-0.575348818,-0.575348818,-0.575348818,-0.552235227,-0.552235227,-0.552235227,-0.576239946,-0.576239946,-0.576239946,-0.549605653,-0.549605653,-0.549605653,-0.488805085,-0.488805085,-0.488805085,-0.474922134,-0.474922134,-0.474922134,-0.469725813,-0.469725813,-0.469725813,-0.498809098,-0.498809098,-0.498809098,-0.497430968,-0.497430968,-0.497430968,-0.493636897,-0.493636897,-0.493636897,-0.38542904,-0.38542904,-0.38542904,-0.413427077,-0.413427077,-0.413427077,-0.29537712,-0.29537712,-0.29537712,-0.141823396,-0.141823396,-0.141823396,-0.358858106,-0.358858106,-0.358858106
IBM UN Equity,1,-0.503415861,-0.503415861,-0.503415861,-0.510481147,-0.510481147,-0.510481147,-0.461781172,-0.461781172,-0.461781172,-0.506116546,-0.506116546,-0.506116546,-0.324460667,-0.324460667,-0.324460667,-0.429590082,-0.429590082,-0.429590082,-0.444954071,-0.444954071,-0.444954071,-0.485787999,-0.485787999,-0.485787999,-0.436035509,-0.436035509,-0.436035509,-0.389231007,-0.389231007,-0.389231007,-0.373850664,-0.373850664,-0.373850664,-0.392266502,-0.392266502,-0.392266502,-0.350782176,-0.350782176,-0.350782176,-0.348655739,-0.348655739,-0.348655739,-0.297612232,-0.297612232,-0.297612232,-0.345209009,-0.345209009,-0.345209009,-0.171536276,-0.171536276,-0.171536276,0.45629799,0.45629799,0.45629799,-0.336697367,-0.336697367,-0.336697367,-0.412556541,-0.412556541,-0.412556541,-0.427332436,-0.427332436,-0.427332436,-0.433936947,-0.433936947,-0.433936947,-0.445462368,-0.445462368,-0.445462368,-0.50621001,-0.50621001,-0.50621001
APH UN Equity,1,0.55246533,0.55246533,0.55246533,0.588237585,0.588237585,0.588237585,0.656457801,0.656457801,0.656457801,0.904438179,0.904438179,0.904438179,-0.118072636,-0.118072636,-0.118072636,-0.007874159,-0.007874159,-0.007874159,-0.083788482,-0.083788482,-0.083788482,-0.026707149,-0.026707149,-0.026707149,0.043861752,0.043861752,0.043861752,0.010908999,0.010908999,0.010908999,0.210700493,0.210700493,0.210700493,0.300386797,0.300386797,0.300386797,-0.249755862,-0.249755862,-0.249755862,-0.259041013,-0.259041013,-0.259041013,-0.290389228,-0.290389228,-0.290389228,-0.116660078,-0.116660078,-0.116660078,-0.03132081,-0.03132081,-0.03132081,-0.158971765,-0.158971765,-0.158971765,-0.178237105,-0.178237105,-0.178237105,-0.215002066,-0.215002066,-0.215002066,0.442129739,0.442129739,0.442129739,-0.073681396,-0.073681396,-0.073681396,-0.164251921,-0.164251921,-0.164251921,0.001131982,0.001131982,0.001131982
WU UN Equity,1,-0.357900193,-0.357900193,-0.357900193,-0.382372267,-0.382372267,-0.382372267,-0.413267957,-0.413267957,-0.413267957,-0.431403771,-0.431403771,-0.431403771,-0.452468014,-0.452468014,-0.452468014,-0.460032214,-0.460032214,-0.460032214,-0.429091111,-0.429091111,-0.429091111,-0.551547714,-0.551547714,-0.551547714,-0.469302174,-0.469302174,-0.469302174,-0.505189224,-0.505189224,-0.505189224,-0.509153019,-0.509153019,-0.509153019,-0.571853231,-0.571853231,-0.571853231,-0.538534276,-0.538534276,-0.538534276,-0.509885241,-0.509885241,-0.509885241,-0.553682559,-0.553682559,-0.553682559,-0.495143972,-0.495143972,-0.495143972,-0.482057693,-0.482057693,-0.482057693,-0.418747822,-0.418747822,-0.418747822,-0.360623549,-0.360623549,-0.360623549,-0.350743113,-0.350743113,-0.350743113,-0.492655282,-0.492655282,-0.492655282,-0.561080225,-0.561080225,-0.561080225,-0.626256776,-0.626256776,-0.626256776,-0.598747995,-0.598747995,-0.598747995
ACN UN Equity,1,-0.246259807,-0.246259807,-0.246259807,-0.2628852,-0.2628852,-0.2628852,-0.24609404,-0.24609404,-0.24609404,-0.390021507,-0.390021507,-0.390021507,-0.348537827,-0.348537827,-0.348537827,-0.319784437,-0.319784437,-0.319784437,-0.196245532,-0.196245532,-0.196245532,-0.286129702,-0.286129702,-0.286129702,-0.347603956,-0.347603956,-0.347603956,-0.364515695,-0.364515695,-0.364515695,-0.324453193,-0.324453193,-0.324453193,-0.359410905,-0.359410905,-0.359410905,-0.327993592,-0.327993592,-0.327993592,-0.270399271,-0.270399271,-0.270399271,-0.193521821,-0.193521821,-0.193521821,-0.221550202,-0.221550202,-0.221550202,-0.198421247,-0.198421247,-0.198421247,-0.19293936,-0.19293936,-0.19293936,-0.087702867,-0.087702867,-0.087702867,-0.11860625,-0.11860625,-0.11860625,-0.217135158,-0.217135158,-0.217135158,-0.260151699,-0.260151699,-0.260151699,-0.147629766,-0.147629766,-0.147629766,-0.095137373,-0.095137373,-0.095137373
PTC UW Equity,1,-0.332559045,-0.332559045,-0.332559045,-0.361661176,-0.361661176,-0.361661176,-0.323733915,-0.323733915,-0.323733915,-0.315215107,-0.315215107,-0.315215107,-0.252229186,-0.252229186,-0.252229186,-0.157945116,-0.157945116,-0.157945116,-0.239774247,-0.239774247,-0.239774247,-0.278230923,-0.278230923,-0.278230923,-0.381056988,-0.381056988,-0.381056988,-0.346444285,-0.346444285,-0.346444285,-0.316061679,-0.316061679,-0.316061679,-0.300235018,-0.300235018,-0.300235018,-0.206300708,-0.206300708,-0.206300708,-0.21611065,-0.21611065,-0.21611065,-0.257341512,-0.257341512,-0.257341512,-0.264879047,-0.264879047,-0.264879047,-0.072165286,-0.072165286,-0.072165286,-0.109794799,-0.109794799,-0.109794799,-0.142145068,-0.142145068,-0.142145068,-0.173482493,-0.173482493,-0.173482493,-0.287308711,-0.287308711,-0.287308711,-0.087244647,-0.087244647,-0.087244647,-0.223681821,-0.223681821,-0.223681821,-0.382328513,-0.382328513,-0.382328513
VRSN UW Equity,1,0.129242024,0.129242024,0.129242024,0.166424807,0.166424807,0.166424807,0.167111182,0.167111182,0.167111182,0.463183405,0.463183405,0.463183405,0.412231147,0.412231147,0.412231147,0.519465264,0.519465264,0.519465264,0.401353687,0.401353687,0.401353687,0.414672822,0.414672822,0.414672822,0.400942588,0.400942588,0.400942588,0.359669504,0.359669504,0.359669504,0.644723456,0.644723456,0.644723456,0.691610129,0.691610129,0.691610129,0.72120389,0.72120389,0.72120389,0.557213419,0.557213419,0.557213419,0.589629893,0.589629893,0.589629893,0.755279296,0.755279296,0.755279296,0.726008148,0.726008148,0.726008148,0.677239453,0.677239453,0.677239453,0.648229981,0.648229981,0.648229981,0.650593017,0.650593017,0.650593017,0.542485465,0.542485465,0.542485465,0.352731593,0.352731593,0.352731593,0.426403866,0.426403866,0.426403866,0.530986576,0.530986576,0.530986576
CSCO UW Equity,1,1.586227443,1.586227443,1.586227443,1.452480518,1.452480518,1.452480518,1.667836585,1.667836585,1.667836585,1.774027472,1.774027472,1.774027472,1.597554937,1.597554937,1.597554937,1.836452192,1.836452192,1.836452192,1.774160613,1.774160613,1.774160613,2.199416243,2.199416243,2.199416243,2.23899569,2.23899569,2.23899569,1.958457821,1.958457821,1.958457821,1.522718084,1.522718084,1.522718084,1.494826545,1.494826545,1.494826545,1.239990158,1.239990158,1.239990158,1.162666294,1.162666294,1.162666294,1.016479735,1.016479735,1.016479735,1.047641748,1.047641748,1.047641748,0.766025393,0.766025393,0.766025393,0.606870763,0.606870763,0.606870763,0.418599467,0.418599467,0.418599467,0.524067037,0.524067037,0.524067037,0.57891966,0.57891966,0.57891966,0.28306137,0.28306137,0.28306137,0.409554009,0.409554009,0.409554009,0.445911331,0.445911331,0.445911331
