,industry,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06,2020-07,2020-08,2020-09,2020-10,2020-11,2020-12
CDW UW Equity,1,1.24825296,1.24825296,1.24825296,1.149091967,1.149091967,1.149091967,0.982808466,0.982808466,0.982808466,0.939142954,0.939142954,0.939142954,0.923196153,0.923196153,0.923196153,0.865537203,0.865537203,0.865537203,0.913748526,0.913748526,0.913748526,0.79605521,0.79605521,0.79605521,0.875766723,0.875766723,0.875766723,0.794596237,0.794596237,0.794596237,0.855377878,0.855377878,0.855377878,0.77826666,0.77826666,0.77826666,0.748234149,0.748234149,0.748234149,0.654316138,0.654316138,0.654316138,0.630253571,0.630253571,0.630253571,0.682842605,0.682842605,0.682842605,0.60027893,0.60027893,0.60027893,0.497184598,0.497184598,0.497184598,0.516966511,0.516966511,0.516966511,0.506817807,0.506817807,0.506817807,0.408021409,0.408021409,0.408021409,0.484336508,0.484336508,0.484336508,0.437243915,0.437243915,0.437243915,0.504734035,0.504734035,0.504734035
HPQ UN Equity,1,-0.485302707,-0.485302707,-0.485302707,-0.396978529,-0.396978529,-0.396978529,-0.267962826,-0.267962826,-0.267962826,-1.084332709,-1.084332709,-1.084332709,-0.184803003,-0.184803003,-0.184803003,-0.184033276,-0.184033276,-0.184033276,-0.257207328,-0.257207328,-0.257207328,-0.344564013,-0.344564013,-0.344564013,-0.325890273,-0.325890273,-0.325890273,-0.352563419,-0.352563419,-0.352563419,-0.311236408,-0.311236408,-0.311236408,-0.34174578,-0.34174578,-0.34174578,-0.421154955,-0.421154955,-0.421154955,-0.572391503,-0.572391503,-0.572391503,-0.480636026,-0.480636026,-0.480636026,-0.64802496,-0.64802496,-0.64802496,-0.852875421,-0.852875421,-0.852875421,-0.867398912,-0.867398912,-0.867398912,-0.892044833,-0.892044833,-0.892044833,-0.888209442,-0.888209442,-0.888209442,-0.774921394,-0.774921394,-0.774921394,-0.743907323,-0.743907323,-0.743907323,-0.633789377,-0.633789377,-0.633789377,-0.632350079,-0.632350079,-0.632350079
TDY UN Equity,1,0.070171645,0.070171645,0.070171645,-0.061541585,-0.061541585,-0.061541585,-0.171860905,-0.171860905,-0.171860905,-0.049688198,-0.049688198,-0.049688198,-0.189989808,-0.189989808,-0.189989808,-0.268767824,-0.268767824,-0.268767824,-0.420057095,-0.420057095,-0.420057095,-0.405724826,-0.405724826,-0.405724826,0.250248604,0.250248604,0.250248604,0.117841207,0.117841207,0.117841207,0.013192119,0.013192119,0.013192119,-0.137499447,-0.137499447,-0.137499447,-0.228450591,-0.228450591,-0.228450591,-0.30556627,-0.30556627,-0.30556627,-0.459861159,-0.459861159,-0.459861159,-0.531182498,-0.531182498,-0.531182498,-0.428321703,-0.428321703,-0.428321703,-0.551021292,-0.551021292,-0.551021292,-0.486047363,-0.486047363,-0.486047363,-0.578002299,-0.578002299,-0.578002299,-0.659401018,-0.659401018,-0.659401018,-0.693129012,-0.693129012,-0.693129012,-0.755392466,-0.755392466,-0.755392466,-0.098448079,-0.098448079,-0.098448079
IBM UN Equity,1,0.029745222,0.029745222,0.029745222,-0.001678468,-0.001678468,-0.001678468,0.015273188,0.015273188,0.015273188,-0.040536669,-0.040536669,-0.040536669,0.037540388,0.037540388,0.037540388,0.025820445,0.025820445,0.025820445,-0.032553597,-0.032553597,-0.032553597,-0.061661224,-0.061661224,-0.061661224,-0.052246148,-0.052246148,-0.052246148,-0.090446269,-0.090446269,-0.090446269,-0.13334387,-0.13334387,-0.13334387,0.074651126,0.074651126,0.074651126,0.040321545,0.040321545,0.040321545,0.068253311,0.068253311,0.068253311,0.123397763,0.123397763,0.123397763,0.067165816,0.067165816,0.067165816,0.218462155,0.218462155,0.218462155,0.654607659,0.654607659,0.654607659,0.499041329,0.499041329,0.499041329,0.571350294,0.571350294,0.571350294,0.478516033,0.478516033,0.478516033,0.4425248,0.4425248,0.4425248,0.503915414,0.503915414,0.503915414,0.430263026,0.430263026,0.430263026
APH UN Equity,1,0.56049029,0.56049029,0.56049029,0.502052803,0.502052803,0.502052803,0.457341008,0.457341008,0.457341008,0.405781465,0.405781465,0.405781465,0.315685953,0.315685953,0.315685953,0.265411331,0.265411331,0.265411331,0.278442471,0.278442471,0.278442471,0.245503952,0.245503952,0.245503952,0.320709289,0.320709289,0.320709289,0.307430216,0.307430216,0.307430216,0.305696734,0.305696734,0.305696734,0.233698639,0.233698639,0.233698639,0.176601416,0.176601416,0.176601416,0.260867518,0.260867518,0.260867518,0.130373337,0.130373337,0.130373337,0.236318278,0.236318278,0.236318278,0.191238668,0.191238668,0.191238668,0.282636701,0.282636701,0.282636701,0.250591572,0.250591572,0.250591572,0.095609762,0.095609762,0.095609762,0.329822559,0.329822559,0.329822559,-0.096351797,-0.096351797,-0.096351797,-0.122067731,-0.122067731,-0.122067731,-0.038518524,-0.038518524,-0.038518524
WU UN Equity,1,0.393593297,0.393593297,0.393593297,0.44246341,0.44246341,0.44246341,0.324020336,0.324020336,0.324020336,0.218952503,0.218952503,0.218952503,0.210968836,0.210968836,0.210968836,0.216666325,0.216666325,0.216666325,0.194246213,0.194246213,0.194246213,-0.043927211,-0.043927211,-0.043927211,0.302095822,0.302095822,0.302095822,0.383473968,0.383473968,0.383473968,0.243511869,0.243511869,0.243511869,0.107783762,0.107783762,0.107783762,0.165006802,0.165006802,0.165006802,0.281096251,0.281096251,0.281096251,0.287500107,0.287500107,0.287500107,0.363164458,0.363164458,0.363164458,0.282417694,0.282417694,0.282417694,0.17769458,0.17769458,0.17769458,0.300820664,0.300820664,0.300820664,0.316041629,0.316041629,0.316041629,0.199811356,0.199811356,0.199811356,0.092053437,0.092053437,0.092053437,0.073415739,0.073415739,0.073415739,0.038777402,0.038777402,0.038777402
ACN UN Equity,1,-1.447470056,-1.447470056,-1.447470056,-1.461448153,-1.461448153,-1.461448153,-1.469457589,-1.469457589,-1.469457589,-1.496890966,-1.496890966,-1.496890966,-1.504117928,-1.504117928,-1.504117928,-1.533891818,-1.533891818,-1.533891818,-1.542507465,-1.542507465,-1.542507465,-1.50125422,-1.50125422,-1.50125422,-1.507601095,-1.507601095,-1.507601095,-1.529934418,-1.529934418,-1.529934418,-1.501410902,-1.501410902,-1.501410902,-1.509208341,-1.509208341,-1.509208341,-1.516103775,-1.516103775,-1.516103775,-1.494907556,-1.494907556,-1.494907556,-1.502988734,-1.502988734,-1.502988734,-1.48127899,-1.48127899,-1.48127899,-1.605231372,-1.605231372,-1.605231372,-1.642449977,-1.642449977,-1.642449977,-1.660324881,-1.660324881,-1.660324881,-1.143731314,-1.143731314,-1.143731314,-1.198835439,-1.198835439,-1.198835439,-1.18975368,-1.18975368,-1.18975368,-1.21495043,-1.21495043,-1.21495043,-1.249524635,-1.249524635,-1.249524635
PTC UW Equity,1,-0.000642632,-0.000642632,-0.000642632,-0.169926313,-0.169926313,-0.169926313,-0.001006844,-0.001006844,-0.001006844,0.026476637,0.026476637,0.026476637,0.118330788,0.118330788,0.118330788,0.236666769,0.236666769,0.236666769,0.162682909,0.162682909,0.162682909,0.078008356,0.078008356,0.078008356,0.129717644,0.129717644,0.129717644,-0.017280736,-0.017280736,-0.017280736,0.013133426,0.013133426,0.013133426,-0.024529551,-0.024529551,-0.024529551,0.066011186,0.066011186,0.066011186,-0.15511598,-0.15511598,-0.15511598,-0.002887564,-0.002887564,-0.002887564,-0.147732464,-0.147732464,-0.147732464,-0.219983404,-0.219983404,-0.219983404,-0.302899031,-0.302899031,-0.302899031,-0.358869578,-0.358869578,-0.358869578,-0.404143897,-0.404143897,-0.404143897,0.281317479,0.281317479,0.281317479,0.569044257,0.569044257,0.569044257,0.22174525,0.22174525,0.22174525,0.103805401,0.103805401,0.103805401
VRSN UW Equity,1,2.256931491,2.256931491,2.256931491,2.265543497,2.265543497,2.265543497,2.188226067,2.188226067,2.188226067,2.511453768,2.511453768,2.511453768,2.526281132,2.526281132,2.526281132,2.589735078,2.589735078,2.589735078,2.624327256,2.624327256,2.624327256,2.450223325,2.450223325,2.450223325,2.458118725,2.458118725,2.458118725,2.429429834,2.429429834,2.429429834,2.540052641,2.540052641,2.540052641,2.531032957,2.531032957,2.531032957,2.575478293,2.575478293,2.575478293,3.048668785,3.048668785,3.048668785,3.130105413,3.130105413,3.130105413,3.031095595,3.031095595,3.031095595,2.982186618,2.982186618,2.982186618,3.04670703,3.04670703,3.04670703,3.047582837,3.047582837,3.047582837,3.155932165,3.155932165,3.155932165,3.19904934,3.19904934,3.19904934,2.912316397,2.912316397,2.912316397,3.160111346,3.160111346,3.160111346,3.391604866,3.391604866,3.391604866
CSCO UW Equity,1,-0.451361559,-0.451361559,-0.451361559,-0.448242553,-0.448242553,-0.448242553,-0.343283347,-0.343283347,-0.343283347,-0.389084862,-0.389084862,-0.389084862,-0.413414831,-0.413414831,-0.413414831,-0.308538468,-0.308538468,-0.308538468,-0.337569466,-0.337569466,-0.337569466,-0.14440675,-0.14440675,-0.14440675,-0.149005573,-0.149005573,-0.149005573,-0.252702152,-0.252702152,-0.252702152,-0.236486424,-0.236486424,-0.236486424,-0.155815954,-0.155815954,-0.155815954,-0.045984602,-0.045984602,-0.045984602,-0.300446924,-0.300446924,-0.300446924,-0.35661874,-0.35661874,-0.35661874,-0.311091005,-0.311091005,-0.311091005,-0.380366106,-0.380366106,-0.380366106,-0.443253313,-0.443253313,-0.443253313,-0.416513087,-0.416513087,-0.416513087,-0.596204278,-0.596204278,-0.596204278,-0.781889609,-0.781889609,-0.781889609,-0.787901599,-0.787901599,-0.787901599,-0.881739862,-0.881739862,-0.881739862,-0.877538926,-0.877538926,-0.877538926
