,industry,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06,2020-07,2020-08,2020-09,2020-10,2020-11,2020-12
CDW UW Equity,1,-0.480153415,-0.480153415,-0.480153415,-0.516405993,-0.516405993,-0.516405993,-0.342570412,-0.342570412,-0.342570412,-0.215175269,-0.215175269,-0.215175269,-0.394069986,-0.394069986,-0.394069986,-0.468784902,-0.468784902,-0.468784902,-0.692546008,-0.692546008,-0.692546008,-0.342574605,-0.342574605,-0.342574605,-0.70495353,-0.70495353,-0.70495353,-0.580953022,-0.580953022,-0.580953022,-0.726543367,-0.726543367,-0.726543367,-0.187400879,-0.187400879,-0.187400879,-0.5451304,-0.5451304,-0.5451304,-0.669219692,-0.669219692,-0.669219692,-0.61551009,-0.61551009,-0.61551009,-0.390230906,-0.390230906,-0.390230906,-0.533243552,-0.533243552,-0.533243552,-0.459678937,-0.459678937,-0.459678937,-0.502074708,-0.502074708,-0.502074708,-0.451818517,-0.451818517,-0.451818517,-0.11349382,-0.11349382,-0.11349382,0.111131353,0.111131353,0.111131353,0.034124678,0.034124678,0.034124678,0.038169134,0.038169134,0.038169134
HPQ UN Equity,1,-0.022343526,-0.022343526,-0.022343526,-0.220150614,-0.220150614,-0.220150614,-0.195380672,-0.195380672,-0.195380672,0.116049328,0.116049328,0.116049328,-0.271932103,-0.271932103,-0.271932103,-0.334003423,-0.334003423,-0.334003423,-0.431171547,-0.431171547,-0.431171547,-0.298970033,-0.298970033,-0.298970033,-0.501050863,-0.501050863,-0.501050863,-0.519635891,-0.519635891,-0.519635891,-0.575105757,-0.575105757,-0.575105757,-0.202384002,-0.202384002,-0.202384002,-0.000670908,-0.000670908,-0.000670908,-0.430093227,-0.430093227,-0.430093227,-0.508993918,-0.508993918,-0.508993918,-0.132016839,-0.132016839,-0.132016839,-0.443427494,-0.443427494,-0.443427494,-0.399596667,-0.399596667,-0.399596667,-0.276937037,-0.276937037,-0.276937037,-0.524626781,-0.524626781,-0.524626781,-0.093876158,-0.093876158,-0.093876158,0.1279812,0.1279812,0.1279812,0.039531333,0.039531333,0.039531333,0.035925874,0.035925874,0.035925874
TDY UN Equity,1,-0.145790167,-0.145790167,-0.145790167,-0.178924392,-0.178924392,-0.178924392,-0.090775232,-0.090775232,-0.090775232,0.051264073,0.051264073,0.051264073,-0.140422304,-0.140422304,-0.140422304,-0.144978103,-0.144978103,-0.144978103,-0.161806113,-0.161806113,-0.161806113,-0.035972705,-0.035972705,-0.035972705,-0.462647489,-0.462647489,-0.462647489,-0.214636381,-0.214636381,-0.214636381,-0.197542676,-0.197542676,-0.197542676,-0.041639706,-0.041639706,-0.041639706,-0.210612769,-0.210612769,-0.210612769,-0.138660467,-0.138660467,-0.138660467,-0.136030383,-0.136030383,-0.136030383,-0.004638699,-0.004638699,-0.004638699,-0.181932576,-0.181932576,-0.181932576,-0.045722935,-0.045722935,-0.045722935,0.019959789,0.019959789,0.019959789,0.000915921,0.000915921,0.000915921,0.047043726,0.047043726,0.047043726,0.188773708,0.188773708,0.188773708,0.076823697,0.076823697,0.076823697,-0.021773575,-0.021773575,-0.021773575
IBM UN Equity,1,0.095514111,0.095514111,0.095514111,0.354627237,0.354627237,0.354627237,0.280059975,0.280059975,0.280059975,0.498844398,0.498844398,0.498844398,0.038641863,0.038641863,0.038641863,0.087328234,0.087328234,0.087328234,0.245397448,0.245397448,0.245397448,0.448135324,0.448135324,0.448135324,-0.176506681,-0.176506681,-0.176506681,0.000227634,0.000227634,0.000227634,0.0852625,0.0852625,0.0852625,-0.513909215,-0.513909215,-0.513909215,-0.252525801,-0.252525801,-0.252525801,-0.118316414,-0.118316414,-0.118316414,-0.024817874,-0.024817874,-0.024817874,-0.154270799,-0.154270799,-0.154270799,-0.258161119,-0.258161119,-0.258161119,-0.061098301,-0.061098301,-0.061098301,-0.208733465,-0.208733465,-0.208733465,0.139022912,0.139022912,0.139022912,-0.044419279,-0.044419279,-0.044419279,0.140954748,0.140954748,0.140954748,0.062378744,0.062378744,0.062378744,0.047814999,0.047814999,0.047814999
APH UN Equity,1,0.192330102,0.192330102,0.192330102,0.136850929,0.136850929,0.136850929,0.206974961,0.206974961,0.206974961,0.245814352,0.245814352,0.245814352,0.039258299,0.039258299,0.039258299,0.145891684,0.145891684,0.145891684,0.152931652,0.152931652,0.152931652,0.16175163,0.16175163,0.16175163,0.144968462,0.144968462,0.144968462,0.206694018,0.206694018,0.206694018,0.147727362,0.147727362,0.147727362,-0.535209207,-0.535209207,-0.535209207,0.04790633,0.04790633,0.04790633,0.046245462,0.046245462,0.046245462,0.004673726,0.004673726,0.004673726,0.136519257,0.136519257,0.136519257,0.018092068,0.018092068,0.018092068,-0.003351129,-0.003351129,-0.003351129,0.022669075,0.022669075,0.022669075,0.044750886,0.044750886,0.044750886,0.107996536,0.107996536,0.107996536,0.192152686,0.192152686,0.192152686,0.088820515,0.088820515,0.088820515,0.089843409,0.089843409,0.089843409
WU UN Equity,1,0.302138641,0.302138641,0.302138641,0.165469703,0.165469703,0.165469703,0.353790806,0.353790806,0.353790806,0.302385452,0.302385452,0.302385452,0.223081561,0.223081561,0.223081561,0.243386209,0.243386209,0.243386209,0.319422537,0.319422537,0.319422537,-1.629262001,-1.629262001,-1.629262001,0.010348012,0.010348012,0.010348012,-0.000445275,-0.000445275,-0.000445275,0.273613862,0.273613862,0.273613862,-2.937972117,-2.937972117,-2.937972117,0.111429558,0.111429558,0.111429558,0.11938485,0.11938485,0.11938485,0.013985027,0.013985027,0.013985027,0.133490777,0.133490777,0.133490777,-0.021955638,-0.021955638,-0.021955638,1.427315129,1.427315129,1.427315129,-0.148794068,-0.148794068,-0.148794068,-0.161844764,-0.161844764,-0.161844764,0.152565895,0.152565895,0.152565895,0.206773027,0.206773027,0.206773027,0.10517853,0.10517853,0.10517853,0.08572042,0.08572042,0.08572042
ACN UN Equity,1,-0.089144059,-0.089144059,-0.089144059,-0.102278181,-0.102278181,-0.102278181,-0.087166585,-0.087166585,-0.087166585,0.070942386,0.070942386,0.070942386,0.300789047,0.300789047,0.300789047,-0.056395804,-0.056395804,-0.056395804,0.006618997,0.006618997,0.006618997,0.023276324,0.023276324,0.023276324,-0.181002554,-0.181002554,-0.181002554,-0.338266273,-0.338266273,-0.338266273,-0.253020848,-0.253020848,-0.253020848,0.0169725,0.0169725,0.0169725,-0.25736746,-0.25736746,-0.25736746,-0.276611594,-0.276611594,-0.276611594,-0.289980719,-0.289980719,-0.289980719,-0.011787591,-0.011787591,-0.011787591,-0.145273305,-0.145273305,-0.145273305,-0.141792902,-0.141792902,-0.141792902,-0.154752224,-0.154752224,-0.154752224,-0.088133688,-0.088133688,-0.088133688,0.061660429,0.061660429,0.061660429,0.175340372,0.175340372,0.175340372,0.073547257,0.073547257,0.073547257,0.079618083,0.079618083,0.079618083
PTC UW Equity,1,-0.054423601,-0.054423601,-0.054423601,-0.617763063,-0.617763063,-0.617763063,-0.260885828,-0.260885828,-0.260885828,-0.39302978,-0.39302978,-0.39302978,-0.953354924,-0.953354924,-0.953354924,-0.778431637,-0.778431637,-0.778431637,-0.883558934,-0.883558934,-0.883558934,-0.915221512,-0.915221512,-0.915221512,-1.040124934,-1.040124934,-1.040124934,-0.856619186,-0.856619186,-0.856619186,-0.994581559,-0.994581559,-0.994581559,-0.170892309,-0.170892309,-0.170892309,-0.489517799,-0.489517799,-0.489517799,-0.778177748,-0.778177748,-0.778177748,-0.545814825,-0.545814825,-0.545814825,-0.375699802,-0.375699802,-0.375699802,-0.397773672,-0.397773672,-0.397773672,-1.331486229,-1.331486229,-1.331486229,-1.01919046,-1.01919046,-1.01919046,-0.505422363,-0.505422363,-0.505422363,0.034480989,0.034480989,0.034480989,0.089160023,0.089160023,0.089160023,0.063335023,0.063335023,0.063335023,0.084335137,0.084335137,0.084335137
VRSN UW Equity,1,1.390191731,1.390191731,1.390191731,1.588933005,1.588933005,1.588933005,1.383966027,1.383966027,1.383966027,1.188132445,1.188132445,1.188132445,1.467017771,1.467017771,1.467017771,1.73428194,1.73428194,1.73428194,2.290586428,2.290586428,2.290586428,1.170841396,1.170841396,1.170841396,1.889414473,1.889414473,1.889414473,2.099752283,2.099752283,2.099752283,1.943825779,1.943825779,1.943825779,0.792362377,0.792362377,0.792362377,1.744924366,1.744924366,1.744924366,2.006812806,2.006812806,2.006812806,1.757401233,1.757401233,1.757401233,2.192623716,2.192623716,2.192623716,2.234888814,2.234888814,2.234888814,1.531814115,1.531814115,1.531814115,2.098930508,2.098930508,2.098930508,1.570117828,1.570117828,1.570117828,2.374521966,2.374521966,2.374521966,0.525619583,0.525619583,0.525619583,0.284659212,0.284659212,0.284659212,0.26926984,0.26926984,0.26926984
CSCO UW Equity,1,0.572324291,0.572324291,0.572324291,0.584238575,0.584238575,0.584238575,0.436172193,0.436172193,0.436172193,0.455439452,0.455439452,0.455439452,0.85391485,0.85391485,0.85391485,0.524276002,0.524276002,0.524276002,0.853448977,0.853448977,0.853448977,0.364397767,0.364397767,0.364397767,0.539407324,0.539407324,0.539407324,0.616770354,0.616770354,0.616770354,0.5114209,0.5114209,0.5114209,0.293548121,0.293548121,0.293548121,-4.830990055,-4.830990055,-4.830990055,0.55052928,0.55052928,0.55052928,0.861313446,0.861313446,0.861313446,0.694244842,0.694244842,0.694244842,0.525546885,0.525546885,0.525546885,0.412921834,0.412921834,0.412921834,0.197596922,0.197596922,0.197596922,0.388249778,0.388249778,0.388249778,0.372796357,0.372796357,0.372796357,0.287708971,0.287708971,0.287708971,0.122932672,0.122932672,0.122932672,0.108144681,0.108144681,0.108144681
